Centro Nacional de Control de Energia
Estimacion de la Demanda Real del Sistema -Por Balance
Sistema Electrico Nacional
Reporte Diario
Fecha de Publicacion: 29/ene/2018
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 29/ene/2018 12:25:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema.
Nota 2: La variable Exportacion se refiere a los valores programados para el MDA.
LIQUIDACION 0 (Dia de Operacion: 15/01/2018)
Sistema, Area, Hora, Generacion (MWh), Exportacion (MWh), Estimacion de Demanda por Balance (MWh) 
BCA,BCA,1,1032.379,53.201,979.178,
BCA,BCA,2,1027.386,77.974,949.412,
BCA,BCA,3,1001.442,63.567,937.875,
BCA,BCA,4,1030.663,95.741,934.922,
BCA,BCA,5,1045.094,86.156,958.938,
BCA,BCA,6,1084.384,55.934,1028.45,
BCA,BCA,7,1231.459,77.648,1153.811,
BCA,BCA,8,1269.428,10.144,1259.284,
BCA,BCA,9,1342.089,29.678,1312.411,
BCA,BCA,10,1376.596,32.121,1344.475,
BCA,BCA,11,1396.522,20.829,1375.693,
BCA,BCA,12,1414.617,18.94,1395.677,
BCA,BCA,13,1422.101,21.893,1400.208,
BCA,BCA,14,1441.376,29.51,1411.866,
BCA,BCA,15,1449.304,32.121,1417.183,
BCA,BCA,16,1448.651,37.256,1411.395,
BCA,BCA,17,1450.603,34.209,1416.394,
BCA,BCA,18,1548.78,52.264,1496.516,
BCA,BCA,19,1606.578,100.013,1506.565,
BCA,BCA,20,1564.849,76.353,1488.496,
BCA,BCA,21,1518.245,57.212,1461.033,
BCA,BCA,22,1434.604,42.97,1391.634,
BCA,BCA,23,1311.786,20.019,1291.767,
BCA,BCA,24,1211.995,4.543,1207.452,
BCS,BCS,1,197.661,0,197.661,
BCS,BCS,2,191.143,0,191.143,
BCS,BCS,3,186.92,0,186.92,
BCS,BCS,4,183.543,0,183.543,
BCS,BCS,5,183.237,0,183.237,
BCS,BCS,6,192.779,0,192.779,
BCS,BCS,7,209.255,0,209.255,
BCS,BCS,8,215,0,215,
BCS,BCS,9,225.46,0,225.46,
BCS,BCS,10,236.836,0,236.836,
BCS,BCS,11,246.262,0,246.262,
BCS,BCS,12,248.199,0,248.199,
BCS,BCS,13,250.245,0,250.245,
BCS,BCS,14,253.516,0,253.516,
BCS,BCS,15,254.509,0,254.509,
BCS,BCS,16,255.92,0,255.92,
BCS,BCS,17,254.129,0,254.129,
BCS,BCS,18,255.353,0,255.353,
BCS,BCS,19,275.096,0,275.096,
BCS,BCS,20,274.984,0,274.984,
BCS,BCS,21,268.564,0,268.564,
BCS,BCS,22,255.747,0,255.747,
BCS,BCS,23,237.167,0,237.167,
BCS,BCS,24,216.037,0,216.037,
SIN,CEN,1,2417.161,0,2417.161,
SIN,CEN,2,2383.849,0,2383.849,
SIN,CEN,3,2386.501,0,2386.501,
SIN,CEN,4,2407.783,0,2407.783,
SIN,CEN,5,2448.3,0,2448.3,
SIN,CEN,6,2391.937,0,2391.937,
SIN,CEN,7,2473.311,0,2473.311,
SIN,CEN,8,3040.041,0,3040.041,
SIN,CEN,9,3930.586,0,3930.586,
SIN,CEN,10,4283.469,0,4283.469,
SIN,CEN,11,4576.066,0,4576.066,
SIN,CEN,12,4636.132,0,4636.132,
SIN,CEN,13,4662.694,0,4662.694,
SIN,CEN,14,4733.609,0,4733.609,
SIN,CEN,15,4748.524,0,4748.524,
SIN,CEN,16,4741.197,0,4741.197,
SIN,CEN,17,4750.267,0,4750.267,
SIN,CEN,18,4826.83,0,4826.83,
SIN,CEN,19,5147.974,0,5147.974,
SIN,CEN,20,5192.555,0,5192.555,
SIN,CEN,21,4917.644,0,4917.644,
SIN,CEN,22,4864.671,0,4864.671,
SIN,CEN,23,4032.346,0,4032.346,
SIN,CEN,24,3164.686,0,3164.686,
SIN,NES,1,8115.442,.596,8114.846,
SIN,NES,2,7957.716,.663,7957.053,
SIN,NES,3,7766.376,.682,7765.694,
SIN,NES,4,7646.607,.645,7645.962,
SIN,NES,5,7726.332,.589,7725.743,
SIN,NES,6,8203.565,.596,8202.969,
SIN,NES,7,8930.877,87,8843.877,
SIN,NES,8,9278.839,87.224,9191.615,
SIN,NES,9,9485.915,87.059,9398.856,
SIN,NES,10,9385.384,1.109,9384.275,
SIN,NES,11,9475.968,0,9475.968,
SIN,NES,12,9643.945,.275,9643.67,
SIN,NES,13,9664.611,.246,9664.365,
SIN,NES,14,9777.108,.247,9776.861,
SIN,NES,15,9790.232,.262,9789.97,
SIN,NES,16,9914.153,.305,9913.848,
SIN,NES,17,10095.652,5.12,10090.532,
SIN,NES,18,10182.158,144.244,10037.914,
SIN,NES,19,10256.991,163.414,10093.577,
SIN,NES,20,10088.977,1.714,10087.263,
SIN,NES,21,10106.87,.111,10106.759,
SIN,NES,22,10162.213,.111,10162.102,
SIN,NES,23,9996.969,1.105,9995.864,
SIN,NES,24,9805.05,1.039,9804.011,
SIN,NOR,1,1765.835,0,1765.835,
SIN,NOR,2,1594.31,0,1594.31,
SIN,NOR,3,1591.451,0,1591.451,
SIN,NOR,4,1586.42,0,1586.42,
SIN,NOR,5,1650.356,0,1650.356,
SIN,NOR,6,1748.053,0,1748.053,
SIN,NOR,7,1808.896,0,1808.896,
SIN,NOR,8,1888.645,0,1888.645,
SIN,NOR,9,1988.979,0,1988.979,
SIN,NOR,10,2015.07,0,2015.07,
SIN,NOR,11,2141.181,0,2141.181,
SIN,NOR,12,2152.29,0,2152.29,
SIN,NOR,13,2075.68,0,2075.68,
SIN,NOR,14,2072.13,0,2072.13,
SIN,NOR,15,2112.425,0,2112.425,
SIN,NOR,16,2139.327,0,2139.327,
SIN,NOR,17,2143.56,0,2143.56,
SIN,NOR,18,2153.321,0,2153.321,
SIN,NOR,19,2195.933,0,2195.933,
SIN,NOR,20,2286.855,0,2286.855,
SIN,NOR,21,2308.791,0,2308.791,
SIN,NOR,22,2296.527,0,2296.527,
SIN,NOR,23,2292.619,0,2292.619,
SIN,NOR,24,2220.615,0,2220.615,
SIN,NTE,1,2106.379,0,2106.379,
SIN,NTE,2,1674.933,0,1674.933,
