Centro Nacional de Control de Energia
Estimacion de la Demanda Real del Sistema -Por Balance
Sistema Electrico Nacional
Reporte Diario
Fecha de Publicacion: 11/feb/2018
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 11/feb/2018 12:25:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema.
Nota 2: La variable Exportacion se refiere a los valores programados para el MDA.
LIQUIDACION 0 (Dia de Operacion: 28/01/2018)
Sistema, Area, Hora, Generacion (MWh), Exportacion (MWh), Estimacion de Demanda por Balance (MWh) 
BCA,BCA,1,1116.98,44.414,1072.566,
BCA,BCA,2,1062.052,29.104,1032.948,
BCA,BCA,3,1049.036,35.363,1013.673,
BCA,BCA,4,1028.431,50.73,977.701,
BCA,BCA,5,1022.023,56.033,965.99,
BCA,BCA,6,1021.16,54.72,966.44,
BCA,BCA,7,1003.115,45.311,957.804,
BCA,BCA,8,1057.144,81.935,975.209,
BCA,BCA,9,1116.615,94,1022.615,
BCA,BCA,10,1140.882,85.908,1054.974,
BCA,BCA,11,1147.9,72.103,1075.797,
BCA,BCA,12,1160.847,70.608,1090.239,
BCA,BCA,13,1164.822,68.784,1096.038,
BCA,BCA,14,1164.282,68.215,1096.067,
BCA,BCA,15,1141.7,48.601,1093.099,
BCA,BCA,16,1119.706,30.788,1088.918,
BCA,BCA,17,1140.43,38.317,1102.113,
BCA,BCA,18,1210.086,20.601,1189.485,
BCA,BCA,19,1265.234,9.138,1256.096,
BCA,BCA,20,1259.804,8.516,1251.288,
BCA,BCA,21,1246.533,12.117,1234.416,
BCA,BCA,22,1208.162,23.355,1184.807,
BCA,BCA,23,1186.392,78.653,1107.739,
BCA,BCA,24,1146.144,112.257,1033.887,
BCS,BCS,1,195.517,0,195.517,
BCS,BCS,2,188.614,0,188.614,
BCS,BCS,3,184.874,0,184.874,
BCS,BCS,4,181.148,0,181.148,
BCS,BCS,5,181.264,0,181.264,
BCS,BCS,6,183.064,0,183.064,
BCS,BCS,7,185.832,0,185.832,
BCS,BCS,8,189.291,0,189.291,
BCS,BCS,9,203.896,0,203.896,
