Centro Nacional de Control de Energia
Estimacion de la Demanda Real del Sistema -Por Balance
Sistema Electrico Nacional
Reporte Diario
Fecha de Publicacion: 17/mar/2018
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 17/mar/2018 12:25:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema.
Nota 2: La variable Exportacion se refiere a los valores programados para el MDA.
LIQUIDACION 0 (Dia de Operacion: 03/03/2018)
Sistema, Area, Hora, Generacion (MWh), Exportacion (MWh), Estimacion de Demanda por Balance (MWh) 
BCA,BCA,1,1271.442,118.218,1153.224,
BCA,BCA,2,1214.431,111.612,1102.819,
BCA,BCA,3,1153.903,79.615,1074.288,
BCA,BCA,4,1179.189,119.425,1059.764,
BCA,BCA,5,1182.912,118.545,1064.367,
BCA,BCA,6,1194.717,121.443,1073.274,
BCA,BCA,7,1186.314,102.689,1083.625,
BCA,BCA,8,1193.439,35.748,1157.691,
BCA,BCA,9,1264.602,47.334,1217.268,
BCA,BCA,10,1329.108,69.927,1259.181,
BCA,BCA,11,1402.049,112.741,1289.308,
BCA,BCA,12,1411.027,106.592,1304.435,
BCA,BCA,13,1396.527,76.273,1320.254,
BCA,BCA,14,1372.869,67.432,1305.437,
BCA,BCA,15,1297.42,25.611,1271.809,
BCA,BCA,16,1281.547,37.234,1244.313,
BCA,BCA,17,1269.988,40.836,1229.152,
BCA,BCA,18,1292.414,49.277,1243.137,
BCA,BCA,19,1375.641,35.261,1340.38,
BCA,BCA,20,1386.246,38.851,1347.395,
BCA,BCA,21,1347.696,31.559,1316.137,
BCA,BCA,22,1302.027,35.823,1266.204,
BCA,BCA,23,1288.904,90.778,1198.126,
BCA,BCA,24,1244.028,115.31,1128.718,
BCS,BCS,1,199.597,0,199.597,
BCS,BCS,2,192.111,0,192.111,
BCS,BCS,3,187.989,0,187.989,
BCS,BCS,4,185.606,0,185.606,
BCS,BCS,5,185.437,0,185.437,
BCS,BCS,6,190.358,0,190.358,
BCS,BCS,7,197.14,0,197.14,
BCS,BCS,8,209.089,0,209.089,
BCS,BCS,9,226.393,0,226.393,
BCS,BCS,10,238.8,0,238.8,
BCS,BCS,11,245.644,0,245.644,
BCS,BCS,12,250.132,0,250.132,
BCS,BCS,13,251.713,0,251.713,
BCS,BCS,14,253.813,0,253.813,
BCS,BCS,15,251.8,0,251.8,
BCS,BCS,16,251.301,0,251.301,
BCS,BCS,17,250.111,0,250.111,
BCS,BCS,18,250.142,0,250.142,
BCS,BCS,19,261.338,0,261.338,
BCS,BCS,20,271.038,0,271.038,
BCS,BCS,21,264.909,0,264.909,
BCS,BCS,22,253.151,0,253.151,
BCS,BCS,23,237.759,0,237.759,
BCS,BCS,24,219.581,0,219.581,
SIN,CEN,1,4898.456,0,4898.456,
SIN,CEN,2,3741.862,0,3741.862,
SIN,CEN,3,3672.287,0,3672.287,
SIN,CEN,4,3360.787,0,3360.787,
SIN,CEN,5,3175.314,0,3175.314,
SIN,CEN,6,3150.338,0,3150.338,
SIN,CEN,7,3625.879,0,3625.879,
SIN,CEN,8,4045.574,0,4045.574,
SIN,CEN,9,4728.729,0,4728.729,
SIN,CEN,10,5330.165,0,5330.165,
SIN,CEN,11,5655.154,0,5655.154,
SIN,CEN,12,5881.707,0,5881.707,
SIN,CEN,13,5859.07,0,5859.07,
SIN,CEN,14,5920.998,0,5920.998,
SIN,CEN,15,5829.835,0,5829.835,
SIN,CEN,16,5638.975,0,5638.975,
SIN,CEN,17,5594.57,0,5594.57,
SIN,CEN,18,5427.235,0,5427.235,
SIN,CEN,19,5851.43,0,5851.43,
SIN,CEN,20,5880.575,0,5880.575,
SIN,CEN,21,5279.46,0,5279.46,
