Centro Nacional de Control de Energia
Estimacion de la Demanda Real del Sistema -Por Balance
Sistema Electrico Nacional
Reporte Diario
Fecha de Publicacion: 19/abr/2018
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/abr/2018 12:25:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema.
Nota 2: La variable Exportacion se refiere a los valores programados para el MDA.
LIQUIDACION 0 (Dia de Operacion: 05/04/2018)
Sistema, Area, Hora, Generacion (MWh), Exportacion (MWh), Estimacion de Demanda por Balance (MWh) 
BCA,BCA,1,1433.094,89.067,1344.027,
BCA,BCA,2,1457.977,175.226,1282.751,
BCA,BCA,3,1478.831,231.496,1247.335,
BCA,BCA,4,1487.785,263.57,1224.215,
BCA,BCA,5,1490.231,259.664,1230.567,
BCA,BCA,6,1497.47,247.189,1250.281,
BCA,BCA,7,1467.926,167.539,1300.387,
BCA,BCA,8,1457.446,67.622,1389.824,
BCA,BCA,9,1548.076,87.955,1460.121,
BCA,BCA,10,1582.358,81.935,1500.423,
BCA,BCA,11,1632.517,78.706,1553.811,
BCA,BCA,12,1665.535,78.758,1586.777,
BCA,BCA,13,1718.673,101.627,1617.046,
BCA,BCA,14,1761.07,102.427,1658.643,
BCA,BCA,15,1788.334,110.937,1677.397,
BCA,BCA,16,1816.544,133.964,1682.58,
BCA,BCA,17,1856.205,186.155,1670.05,
BCA,BCA,18,1800.765,174.028,1626.737,
BCA,BCA,19,1734.852,143.438,1591.414,
BCA,BCA,20,1755.748,97.05,1658.698,
BCA,BCA,21,1765.719,95.816,1669.903,
BCA,BCA,22,1740.783,105.098,1635.685,
BCA,BCA,23,1635.102,85.422,1549.68,
BCA,BCA,24,1555.342,98.954,1456.388,
BCS,BCS,1,242.109,0,242.109,
BCS,BCS,2,229.878,0,229.878,
BCS,BCS,3,220.651,0,220.651,
BCS,BCS,4,214.606,0,214.606,
BCS,BCS,5,214.051,0,214.051,
BCS,BCS,6,216.983,0,216.983,
BCS,BCS,7,223.77,0,223.77,
BCS,BCS,8,230.292,0,230.292,
BCS,BCS,9,243.583,0,243.583,
BCS,BCS,10,258.505,0,258.505,
BCS,BCS,11,270.571,0,270.571,
BCS,BCS,12,282.795,0,282.795,
BCS,BCS,13,288.648,0,288.648,
BCS,BCS,14,293.933,0,293.933,
BCS,BCS,15,296.856,0,296.856,
BCS,BCS,16,300.489,0,300.489,
BCS,BCS,17,303.347,0,303.347,
BCS,BCS,18,301.844,0,301.844,
BCS,BCS,19,296.694,0,296.694,
BCS,BCS,20,295.893,0,295.893,
BCS,BCS,21,308.951,0,308.951,
BCS,BCS,22,301.507,0,301.507,
BCS,BCS,23,285.95,0,285.95,
BCS,BCS,24,264.628,0,264.628,
SIN,CEN,1,4195.281,0,4195.281,
SIN,CEN,2,3877.466,0,3877.466,
SIN,CEN,3,3492.513,0,3492.513,
SIN,CEN,4,3449.244,0,3449.244,
SIN,CEN,5,3435.432,0,3435.432,
