Centro Nacional de Control de Energia
Estimacion de la Demanda Real del Sistema -Por Balance
Sistema Electrico Nacional
Reporte Diario
Fecha de Publicacion: 12/may/2018
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 12/may/2018 12:25:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema.
Nota 2: La variable Exportacion se refiere a los valores programados para el MDA.
LIQUIDACION 0 (Dia de Operacion: 28/04/2018)
Sistema, Area, Hora, Generacion (MWh), Exportacion (MWh), Estimacion de Demanda por Balance (MWh) 
BCA,BCA,1,1486.455,3.866,1482.589,
BCA,BCA,2,1412.452,0,1412.452,
BCA,BCA,3,1368.24,18.7,1349.54,
BCA,BCA,4,1346.324,34.009,1312.315,
BCA,BCA,5,1322.87,37.114,1285.756,
BCA,BCA,6,1301.541,47.248,1254.293,
BCA,BCA,7,1244.195,29.58,1214.615,
BCA,BCA,8,1353.742,69.763,1283.979,
BCA,BCA,9,1439.564,89.619,1349.945,
BCA,BCA,10,1488.31,83.383,1404.927,
BCA,BCA,11,1553.356,80.476,1472.88,
BCA,BCA,12,1582.323,64.968,1517.355,
BCA,BCA,13,1595.415,41.461,1553.954,
BCA,BCA,14,1614.773,28.801,1585.972,
BCA,BCA,15,1619.408,13.916,1605.492,
BCA,BCA,16,1608.097,3.6,1604.497,
BCA,BCA,17,1609.771,40.521,1569.25,
BCA,BCA,18,1570.852,33.115,1537.737,
BCA,BCA,19,1532.448,28.794,1503.654,
BCA,BCA,20,1520.74,32.695,1488.045,
BCA,BCA,21,1561.371,40.421,1520.95,
BCA,BCA,22,1500.418,27.442,1472.976,
BCA,BCA,23,1426.252,23.352,1402.9,
BCA,BCA,24,1330.299,7.016,1323.283,
BCS,BCS,1,306.997,0,306.997,
BCS,BCS,2,293.031,0,293.031,
BCS,BCS,3,279.31,0,279.31,
BCS,BCS,4,268.276,0,268.276,
BCS,BCS,5,259.971,0,259.971,
BCS,BCS,6,256.75,0,256.75,
BCS,BCS,7,253.135,0,253.135,
BCS,BCS,8,256.135,0,256.135,
BCS,BCS,9,270.724,0,270.724,
BCS,BCS,10,285.974,0,285.974,
BCS,BCS,11,294.925,0,294.925,
BCS,BCS,12,301.386,0,301.386,
BCS,BCS,13,306.109,0,306.109,
BCS,BCS,14,311.458,0,311.458,
BCS,BCS,15,313.867,0,313.867,
BCS,BCS,16,319.529,0,319.529,
BCS,BCS,17,324.58,0,324.58,
BCS,BCS,18,321.686,0,321.686,
BCS,BCS,19,314.242,0,314.242,
BCS,BCS,20,309.177,0,309.177,
BCS,BCS,21,320.9,0,320.9,
BCS,BCS,22,316.55,0,316.55,
BCS,BCS,23,307.583,0,307.583,
BCS,BCS,24,293.41,0,293.41,
SIN,CEN,1,4371.57,0,4371.57,
SIN,CEN,2,4249.728,0,4249.728,
SIN,CEN,3,4271.456,0,4271.456,
SIN,CEN,4,4146.241,0,4146.241,
SIN,CEN,5,4116.287,0,4116.287,
SIN,CEN,6,4131.545,0,4131.545,
SIN,CEN,7,4160.457,0,4160.457,
SIN,CEN,8,4089.934,0,4089.934,
SIN,CEN,9,4612.95,0,4612.95,
SIN,CEN,10,4720.99,0,4720.99,
SIN,CEN,11,4923.572,0,4923.572,
SIN,CEN,12,4921.609,0,4921.609,
SIN,CEN,13,4948.065,0,4948.065,
SIN,CEN,14,5036.455,0,5036.455,
SIN,CEN,15,4732.778,0,4732.778,
SIN,CEN,16,4503.059,0,4503.059,
SIN,CEN,17,4396.863,0,4396.863,
SIN,CEN,18,4315.325,0,4315.325,
SIN,CEN,19,4198.69,0,4198.69,
SIN,CEN,20,4268.964,0,4268.964,
SIN,CEN,21,4919.441,0,4919.441,
SIN,CEN,22,4863.605,0,4863.605,
SIN,CEN,23,4713.817,0,4713.817,
SIN,CEN,24,4657.16,0,4657.16,
SIN,NES,1,10559.267,0,10559.267,
SIN,NES,2,10404.872,7.196,10397.676,
SIN,NES,3,10269.056,.677,10268.379,
SIN,NES,4,10366.293,1.292,10365.001,
SIN,NES,5,10317.19,.932,10316.258,
SIN,NES,6,10321.396,2.071,10319.325,
SIN,NES,7,10350.353,.455,10349.898,
SIN,NES,8,10275.564,1.995,10273.569,
SIN,NES,9,10430.488,.46,10430.028,
SIN,NES,10,10873.72,1.148,10872.572,
SIN,NES,11,10877.731,1.408,10876.323,
SIN,NES,12,10877.43,6.382,10871.048,
SIN,NES,13,10958.785,1.502,10957.283,
SIN,NES,14,10786.182,.044,10786.138,
SIN,NES,15,10738.725,2.059,10736.666,
SIN,NES,16,10620.994,.043,10620.951,
SIN,NES,17,10639.075,.043,10639.032,
SIN,NES,18,10627.872,.043,10627.829,
SIN,NES,19,10673.506,.176,10673.33,
SIN,NES,20,10683.996,.043,10683.953,
SIN,NES,21,10826.306,.043,10826.263,
SIN,NES,22,10848.332,1.259,10847.073,
SIN,NES,23,10736.281,.044,10736.237,
SIN,NES,24,10196.566,.044,10196.522,
SIN,NOR,1,2432.168,0,2432.168,
SIN,NOR,2,2351.179,0,2351.179,
SIN,NOR,3,2352.341,0,2352.341,
SIN,NOR,4,2233.774,0,2233.774,
SIN,NOR,5,2212.263,0,2212.263,
SIN,NOR,6,2207.469,0,2207.469,
SIN,NOR,7,2207.356,0,2207.356,
SIN,NOR,8,2200.756,0,2200.756,
SIN,NOR,9,2244.785,0,2244.785,
SIN,NOR,10,2189.795,0,2189.795,
SIN,NOR,11,2194.668,0,2194.668,
SIN,NOR,12,2251.599,0,2251.599,
SIN,NOR,13,2256.384,0,2256.384,
SIN,NOR,14,2341.469,0,2341.469,
SIN,NOR,15,2333.734,0,2333.734,
SIN,NOR,16,2311.905,0,2311.905,
SIN,NOR,17,2347.275,0,2347.275,
SIN,NOR,18,2366.126,0,2366.126,
SIN,NOR,19,2459.263,0,2459.263,
SIN,NOR,20,2379.549,0,2379.549,
SIN,NOR,21,2416.69,0,2416.69,
SIN,NOR,22,2429.688,0,2429.688,
SIN,NOR,23,2380.499,0,2380.499,
SIN,NOR,24,2431.732,0,2431.732,
SIN,NTE,1,2500.061,0,2500.061,
SIN,NTE,2,2445.426,0,2445.426,
SIN,NTE,3,2446.964,0,2446.964,
SIN,NTE,4,2448.628,0,2448.628,
SIN,NTE,5,2438.291,0,2438.291,
SIN,NTE,6,2430.091,0,2430.091,
SIN,NTE,7,2445.93,0,2445.93,
SIN,NTE,8,2469.526,0,2469.526,
SIN,NTE,9,2668.671,0,2668.671,
SIN,NTE,10,2760.048,0,2760.048,
SIN,NTE,11,2942.064,0,2942.064,
SIN,NTE,12,2996.578,0,2996.578,
SIN,NTE,13,3179.462,0,3179.462,
SIN,NTE,14,3204.82,0,3204.82,
