"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 21/jun/2018"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/jun/2018 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 0 (Dia de Operacion: 07/06/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1922.66394","172.59918","1750.06476"
"BCA","BCA","2","1831.32384","166.85184","1664.472"
"BCA","BCA","3","1762.61415","161.0621","1601.55205"
"BCA","BCA","4","1712.96747","164.57954","1548.38793"
"BCA","BCA","5","1681.02704","164.90619","1516.12085"
"BCA","BCA","6","1667.139","184.24456","1482.89444"
"BCA","BCA","7","1709.82197","203.67784","1506.14413"
"BCA","BCA","8","1839.41936","203.77506","1635.6443"
"BCA","BCA","9","1929.93347","202.27233","1727.66114"
"BCA","BCA","10","2016.7554","216.15504","1800.60036"
"BCA","BCA","11","2087.50233","203.26235","1884.23998"
"BCA","BCA","12","2174.98026","211.21379","1963.76647"
"BCA","BCA","13","2227.04029","214.70221","2012.33808"
"BCA","BCA","14","2255.41871","219.23048","2036.18823"
"BCA","BCA","15","2247.57272","206.91474","2040.65798"
"BCA","BCA","16","2279.68869","192.71296","2086.97573"
"BCA","BCA","17","2305.74349","211.19393","2094.54956"
"BCA","BCA","18","2328.95658","271.23404","2057.72254"
"BCA","BCA","19","2288.47113","217.3841","2071.08703"
"BCA","BCA","20","2245.47047","200.57745","2044.89302"
"BCA","BCA","21","2400.73917","296.54365","2104.19552"
"BCA","BCA","22","2282.38751","198.64131","2083.7462"
"BCA","BCA","23","2186.29848","212.60047","1973.69801"
"BCA","BCA","24","2056.8934","208.23991","1848.65349"
"BCS","BCS","1","308.83487","0","308.83487"
"BCS","BCS","2","291.9821","0","291.9821"
"BCS","BCS","3","279.49431","0","279.49431"
"BCS","BCS","4","268.52911","0","268.52911"
"BCS","BCS","5","261.85279","0","261.85279"
"BCS","BCS","6","260.4214","0","260.4214"
"BCS","BCS","7","259.91653","0","259.91653"
"BCS","BCS","8","261.59281","0","261.59281"
"BCS","BCS","9","280.42274","0","280.42274"
"BCS","BCS","10","301.128","0","301.128"
"BCS","BCS","11","317.31205","0","317.31205"
"BCS","BCS","12","330.87814","0","330.87814"
"BCS","BCS","13","340.9917","0","340.9917"
"BCS","BCS","14","352.17361","0","352.17361"
"BCS","BCS","15","366.48133","0","366.48133"
"BCS","BCS","16","382.8146","0","382.8146"
"BCS","BCS","17","393.21339","0","393.21339"
"BCS","BCS","18","391.54255","0","391.54255"
"BCS","BCS","19","374.29496","0","374.29496"
"BCS","BCS","20","358.00282","0","358.00282"
"BCS","BCS","21","363.98694","0","363.98694"
"BCS","BCS","22","374.1846","0","374.1846"
"BCS","BCS","23","374.06873","0","374.06873"
"BCS","BCS","24","358.91653","0","358.91653"
"SIN","CEN","1","4847.43168","0","4847.43168"
"SIN","CEN","2","4737.5256","0","4737.5256"
"SIN","CEN","3","4575.20016","0","4575.20016"
"SIN","CEN","4","4506.57952","0","4506.57952"
"SIN","CEN","5","4620.9263","0","4620.9263"
"SIN","CEN","6","4600.44785","0","4600.44785"
"SIN","CEN","7","4978.97493","0","4978.97493"
"SIN","CEN","8","5261.35614","0","5261.35614"
"SIN","CEN","9","5471.76994","0","5471.76994"
"SIN","CEN","10","5691.00123","0","5691.00123"
"SIN","CEN","11","5831.20736","0","5831.20736"
"SIN","CEN","12","5945.441","0","5945.441"
"SIN","CEN","13","5927.36496","0","5927.36496"
"SIN","CEN","14","5940.31647","0","5940.31647"
"SIN","CEN","15","5936.9162","0","5936.9162"
"SIN","CEN","16","5963.12597","0","5963.12597"
"SIN","CEN","17","5995.16139","0","5995.16139"
"SIN","CEN","18","5935.17697","0","5935.17697"
"SIN","CEN","19","5934.93761","0","5934.93761"
"SIN","CEN","20","5942.84196","0","5942.84196"
"SIN","CEN","21","5948.22829","0","5948.22829"
"SIN","CEN","22","5970.91041","0","5970.91041"
"SIN","CEN","23","5969.90695","0","5969.90695"
"SIN","CEN","24","5635.41553","0","5635.41553"
"SIN","NES","1","11362.09755","4.048","11358.04955"
"SIN","NES","2","10902.25815","4.01","10898.24815"
"SIN","NES","3","10712.73879","4.061","10708.67779"
"SIN","NES","4","10625.91785","4.021","10621.89685"
"SIN","NES","5","10695.60205","3.955","10691.64705"
"SIN","NES","6","10595.81054","3.897","10591.91354"
"SIN","NES","7","10601.57339","4.078","10597.49539"
"SIN","NES","8","10498.57922","4.249","10494.33022"
"SIN","NES","9","10729.32921","4.395","10724.93421"
"SIN","NES","10","11150.51416","5.141","11145.37316"
"SIN","NES","11","11307.25524","2.6","11304.65524"
"SIN","NES","12","11309.80447","1.019","11308.78547"
"SIN","NES","13","11269.1499","0.981","11268.1689"
"SIN","NES","14","11262.84234","0.36","11262.48234"
"SIN","NES","15","11266.34713","0.79","11265.55713"
"SIN","NES","16","11262.09338","0.349","11261.74438"
"SIN","NES","17","11400.76137","0.225","11400.53637"
"SIN","NES","18","11322.01838","0.183","11321.83538"
"SIN","NES","19","11353.04886","0.252","11352.79686"
"SIN","NES","20","11306.78657","2.812","11303.97457"
"SIN","NES","21","11248.94585","0.155","11248.79085"
"SIN","NES","22","11377.1048","0.205","11376.8998"
"SIN","NES","23","11522.55743","12.558","11509.99943"
"SIN","NES","24","11421.26704","5.148","11416.11904"
"SIN","NOR","1","2943.05689","0","2943.05689"
"SIN","NOR","2","2843.48692","0","2843.48692"
"SIN","NOR","3","2779.9411","0","2779.9411"
"SIN","NOR","4","2659.3582","0","2659.3582"
"SIN","NOR","5","2657.95327","0","2657.95327"
"SIN","NOR","6","2616.418","0","2616.418"
"SIN","NOR","7","2528.95175","0","2528.95175"
"SIN","NOR","8","2490.58507","0","2490.58507"
"SIN","NOR","9","2511.23664","0","2511.23664"
"SIN","NOR","10","2547.07948","0","2547.07948"
"SIN","NOR","11","2661.23841","0","2661.23841"
"SIN","NOR","12","2754.44443","0","2754.44443"
"SIN","NOR","13","2771.88934","0","2771.88934"
"SIN","NOR","14","2784.16225","0","2784.16225"
"SIN","NOR","15","2798.31299","0","2798.31299"
"SIN","NOR","16","3041.63426","0","3041.63426"
"SIN","NOR","17","3102.68415","0","3102.68415"
"SIN","NOR","18","3081.68153","0","3081.68153"
"SIN","NOR","19","3121.33769","0","3121.33769"
"SIN","NOR","20","3020.55539","0","3020.55539"
"SIN","NOR","21","2808.4305","0","2808.4305"
"SIN","NOR","22","2858.19911","0","2858.19911"
"SIN","NOR","23","2974.23174","0","2974.23174"
"SIN","NOR","24","3023.06348","0","3023.06348"
"SIN","NTE","1","3234.25803","0","3234.25803"
"SIN","NTE","2","3203.93237","0","3203.93237"
"SIN","NTE","3","3202.00317","0","3202.00317"
"SIN","NTE","4","3208.77892","0","3208.77892"
"SIN","NTE","5","3219.90919","0","3219.90919"
"SIN","NTE","6","3220.07804","0","3220.07804"
"SIN","NTE","7","3222.4243","0","3222.4243"
"SIN","NTE","8","3268.00364","0","3268.00364"
"SIN","NTE","9","3513.41095","0","3513.41095"
"SIN","NTE","10","3632.34941","0","3632.34941"
"SIN","NTE","11","3684.09919","0","3684.09919"
"SIN","NTE","12","3714.62634","0","3714.62634"
"SIN","NTE","13","3739.2002","0","3739.2002"
"SIN","NTE","14","3735.39132","0","3735.39132"
"SIN","NTE","15","3736.54425","0","3736.54425"
"SIN","NTE","16","3730.78785","0","3730.78785"
"SIN","NTE","17","3688.98186","0","3688.98186"
"SIN","NTE","18","3616.24531","0","3616.24531"
"SIN","NTE","19","3522.45789","0","3522.45789"
"SIN","NTE","20","3382.76052","0","3382.76052"
"SIN","NTE","21","3286.6278","0","3286.6278"
"SIN","NTE","22","3296.22669","0","3296.22669"
"SIN","NTE","23","3307.14556","0","3307.14556"
"SIN","NTE","24","3281.25022","0","3281.25022"
"SIN","OCC","1","7358.94508","0","7358.94508"
"SIN","OCC","2","7032.50242","0","7032.50242"
"SIN","OCC","3","6396.47653","0","6396.47653"
"SIN","OCC","4","6113.30388","0","6113.30388"
"SIN","OCC","5","5757.70746","0","5757.70746"
"SIN","OCC","6","5667.43134","0","5667.43134"
"SIN","OCC","7","5493.42185","0","5493.42185"
"SIN","OCC","8","5762.13373","0","5762.13373"
"SIN","OCC","9","5936.82484","0","5936.82484"
"SIN","OCC","10","6206.51421","0","6206.51421"
"SIN","OCC","11","6404.28385","0","6404.28385"
"SIN","OCC","12","6880.85624","0","6880.85624"
"SIN","OCC","13","7475.81562","0","7475.81562"
"SIN","OCC","14","7855.159","0","7855.159"
"SIN","OCC","15","8031.58008","0","8031.58008"
"SIN","OCC","16","8137.94381","0","8137.94381"
"SIN","OCC","17","8058.34165","0","8058.34165"
"SIN","OCC","18","7982.29151","0","7982.29151"
"SIN","OCC","19","7833.0717","0","7833.0717"
"SIN","OCC","20","7793.00784","0","7793.00784"
"SIN","OCC","21","7861.08357","0","7861.08357"
"SIN","OCC","22","7983.81268","0","7983.81268"
"SIN","OCC","23","7975.83666","0","7975.83666"
"SIN","OCC","24","7863.31134","0","7863.31134"
"SIN","ORI","1","9314.83098324768073","121.538164","9193.29281924768073"
"SIN","ORI","2","8990.6914672841093","122.813543","8867.8779242841093"
"SIN","ORI","3","8934.17922908069878","120","8814.17922908069878"
"SIN","ORI","4","8759.990177459620576","120","8639.990177459620576"
"SIN","ORI","5","8567.49658472903269","120","8447.49658472903269"
"SIN","ORI","6","8798.91161195951863","127.023939","8671.88767295951863"
