"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 18/ago/2018"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 18/ago/2018 16:49:55 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 0 (Dia de Operacion: 04/08/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","2610.06171","329.2627","2280.79901"
"BCA","BCA","2","2504.47572","314.15771","2190.31801"
"BCA","BCA","3","2403.38336","275.94972","2127.43364"
"BCA","BCA","4","2324.54042","252.80106","2071.73936"
"BCA","BCA","5","2274.90026","247.1809","2027.71936"
"BCA","BCA","6","2236.42827","260.00573","1976.42254"
"BCA","BCA","7","2188.88469","261.3787","1927.50599"
"BCA","BCA","8","2268.47438","274.42719","1994.04719"
"BCA","BCA","9","2429.67107","296.48266","2133.18841"
"BCA","BCA","10","2642.48435","361.76223","2280.72212"
"BCA","BCA","11","2777.76456","380.80258","2396.96198"
"BCA","BCA","12","2937.49863","427.02797","2510.47066"
"BCA","BCA","13","2998.7283","413.69805","2585.03025"
"BCA","BCA","14","3069.06655","450.60489","2618.46166"
"BCA","BCA","15","3100.97627","467.85009","2633.12618"
"BCA","BCA","16","3050.79508","440.52933","2610.26575"
"BCA","BCA","17","3040.90854","441.45715","2599.45139"
"BCA","BCA","18","3018.43703","444.79879","2573.63824"
"BCA","BCA","19","2921.81942","403.49292","2518.3265"
"BCA","BCA","20","2822.94483","364.48613","2458.4587"
"BCA","BCA","21","2853.76886","371.08199","2482.68687"
"BCA","BCA","22","2765.20012","342.54784","2422.65228"
"BCA","BCA","23","2667.78536","343.12353","2324.66183"
"BCA","BCA","24","2577.31286","352.62951","2224.68335"
"BCS","BCS","1","444.18156","0","444.18156"
"BCS","BCS","2","430.26151","0","430.26151"
"BCS","BCS","3","413.24685","0","413.24685"
"BCS","BCS","4","398.61655","0","398.61655"
"BCS","BCS","5","386.10817","0","386.10817"
"BCS","BCS","6","377.02196","0","377.02196"
"BCS","BCS","7","367.96332","0","367.96332"
"BCS","BCS","8","357.40983","0","357.40983"
"BCS","BCS","9","368.5784","0","368.5784"
"BCS","BCS","10","387.70156","0","387.70156"
"BCS","BCS","11","402.86102","0","402.86102"
"BCS","BCS","12","413.41903","0","413.41903"
"BCS","BCS","13","422.50921","0","422.50921"
"BCS","BCS","14","430.44445","0","430.44445"
