"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 08/oct/2018"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/oct/2018 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 0 (Dia de Operacion: 24/09/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1924.50185","171.08368","1753.41817"
"BCA","BCA","2","1875.23894","191.26148","1683.97746"
"BCA","BCA","3","1818.03288","188.43913","1629.59375"
"BCA","BCA","4","1790.92839","197.75972","1593.16867"
"BCA","BCA","5","1779.30384","201.38965","1577.91419"
"BCA","BCA","6","1796.68608","195.94755","1600.73853"
"BCA","BCA","7","1840.34639","171.88417","1668.46222"
"BCA","BCA","8","2019.61117","211.88519","1807.72598"
"BCA","BCA","9","2203.06539","255.36073","1947.70466"
"BCA","BCA","10","2270.79762","231.8222","2038.97542"
"BCA","BCA","11","2346.51092","220.39766","2126.11326"
"BCA","BCA","12","2422.62221","207.49468","2215.12753"
"BCA","BCA","13","2442.348","192.25916","2250.08884"
"BCA","BCA","14","2521.85321","219.92425","2301.92896"
"BCA","BCA","15","2602.53625","260.14745","2342.3888"
"BCA","BCA","16","2614.79895","247.42149","2367.37746"
"BCA","BCA","17","2593.67599","245.92424","2347.75175"
"BCA","BCA","18","2466.08366","207.13353","2258.95013"
"BCA","BCA","19","2364.8477","163.27285","2201.57485"
"BCA","BCA","20","2412.49593","157.08704","2255.40889"
"BCA","BCA","21","2375.62913","147.97511","2227.65402"
"BCA","BCA","22","2312.56999","165.80522","2146.76477"
"BCA","BCA","23","2235.61982","192.30731","2043.31251"
"BCA","BCA","24","2115.68093","192.19252","1923.48841"
"BCS","BCS","1","376.18783","0","376.18783"
"BCS","BCS","2","359.71152","0","359.71152"
"BCS","BCS","3","342.70086","0","342.70086"
"BCS","BCS","4","329.76651","0","329.76651"
"BCS","BCS","5","319.68608","0","319.68608"
"BCS","BCS","6","313.14311","0","313.14311"
"BCS","BCS","7","311.17119","0","311.17119"
"BCS","BCS","8","311.76253","0","311.76253"
"BCS","BCS","9","336.95762","0","336.95762"
"BCS","BCS","10","360.85622","0","360.85622"
"BCS","BCS","11","378.66247","0","378.66247"
"BCS","BCS","12","386.3358","0","386.3358"
"BCS","BCS","13","393.33449","0","393.33449"
"BCS","BCS","14","406.10643","0","406.10643"
"BCS","BCS","15","423.50396","0","423.50396"
"BCS","BCS","16","440.29494","0","440.29494"
"BCS","BCS","17","446.31305","0","446.31305"
"BCS","BCS","18","437.41693","0","437.41693"
"BCS","BCS","19","417.32279","0","417.32279"
"BCS","BCS","20","416.5322","0","416.5322"
"BCS","BCS","21","432.64597","0","432.64597"
"BCS","BCS","22","440.01396","0","440.01396"
"BCS","BCS","23","435.40514","0","435.40514"
"BCS","BCS","24","414.43809","0","414.43809"
"SIN","CEN","1","3310.61459","0","3310.61459"
"SIN","CEN","2","3487.38318","0","3487.38318"
"SIN","CEN","3","3649.17873","0","3649.17873"
"SIN","CEN","4","3485.80537","0","3485.80537"
"SIN","CEN","5","3180.11828","0","3180.11828"
"SIN","CEN","6","3241.95949","0","3241.95949"
"SIN","CEN","7","3584.21783","0","3584.21783"
"SIN","CEN","8","3690.35074","0","3690.35074"
"SIN","CEN","9","3723.63646","0","3723.63646"
"SIN","CEN","10","3828.46585","0","3828.46585"
"SIN","CEN","11","3946.64518","0","3946.64518"
"SIN","CEN","12","4238.50444","0","4238.50444"
"SIN","CEN","13","4264.45279","0","4264.45279"
"SIN","CEN","14","4454.30286","0","4454.30286"
"SIN","CEN","15","4455.84493","0","4455.84493"
"SIN","CEN","16","4442.78474","0","4442.78474"
"SIN","CEN","17","4351.91365","0","4351.91365"
"SIN","CEN","18","4378.75094","0","4378.75094"
"SIN","CEN","19","4403.24218","0","4403.24218"
"SIN","CEN","20","4244.7748","0","4244.7748"
"SIN","CEN","21","4312.64836","0","4312.64836"
"SIN","CEN","22","4390.30871","0","4390.30871"
"SIN","CEN","23","4186.32986","0","4186.32986"
"SIN","CEN","24","3971.44035","0","3971.44035"
