"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 21/nov/2018"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/nov/2018 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 0 (Dia de Operacion: 07/11/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1317.82775","13.07383","1304.75392"
"BCA","BCA","2","1278.66139","18.61961","1260.04178"
"BCA","BCA","3","1257.33999","22.98781","1234.35218"
"BCA","BCA","4","1236.42884","17.01456","1219.41428"
"BCA","BCA","5","1238.70201","6.20428","1232.49773"
"BCA","BCA","6","1310.37669","35.98489","1274.3918"
"BCA","BCA","7","1350.02134","35.87713","1314.14421"
"BCA","BCA","8","1438.18936","23.44557","1414.74379"
"BCA","BCA","9","1472.40237","3.30667","1469.0957"
"BCA","BCA","10","1536.24674","15.30145","1520.94529"
"BCA","BCA","11","1592.04588","23.06267","1568.98321"
"BCA","BCA","12","1613.00734","7.58541","1605.42193"
"BCA","BCA","13","1641.24368","11.21636","1630.02732"
"BCA","BCA","14","1648.96441","4.10045","1644.86396"
"BCA","BCA","15","1667.74662","1.14754","1666.59908"
"BCA","BCA","16","1667.34605","11.76005","1655.586"
"BCA","BCA","17","1673.31073","55.63996","1617.67077"
"BCA","BCA","18","1763.91976","81.55541","1682.36435"
"BCA","BCA","19","1726.41934","40.16708","1686.25226"
"BCA","BCA","20","1715.92649","52.37653","1663.54996"
"BCA","BCA","21","1667.36389","40.94992","1626.41397"
"BCA","BCA","22","1590.36314","43.42821","1546.93493"
"BCA","BCA","23","1568.63905","119.87393","1448.76512"
"BCA","BCA","24","1475.51148","100.87248","1374.639"
"BCS","BCS","1","272.6034","0","272.6034"
"BCS","BCS","2","260.19577","0","260.19577"
"BCS","BCS","3","251.41293","0","251.41293"
"BCS","BCS","4","243.74143","0","243.74143"
"BCS","BCS","5","240.18987","0","240.18987"
"BCS","BCS","6","245.84292","0","245.84292"
"BCS","BCS","7","251.26541","0","251.26541"
"BCS","BCS","8","259.0181","0","259.0181"
"BCS","BCS","9","281.511","0","281.511"
"BCS","BCS","10","304.08771","0","304.08771"
"BCS","BCS","11","319.21729","0","319.21729"
"BCS","BCS","12","332.03334","0","332.03334"
"BCS","BCS","13","339.86074","0","339.86074"
"BCS","BCS","14","345.1718","0","345.1718"
"BCS","BCS","15","352.27876","0","352.27876"
"BCS","BCS","16","357.80626","0","357.80626"
"BCS","BCS","17","355.91527","0","355.91527"
"BCS","BCS","18","349.74049","0","349.74049"
"BCS","BCS","19","360.0804","0","360.0804"
"BCS","BCS","20","357.19343","0","357.19343"
"BCS","BCS","21","349.37875","0","349.37875"
"BCS","BCS","22","338.59671","0","338.59671"
"BCS","BCS","23","321.40082","0","321.40082"
"BCS","BCS","24","298.7825","0","298.7825"
"SIN","CEN","1","4339.58819","0","4339.58819"
"SIN","CEN","2","3643.87864","0","3643.87864"
"SIN","CEN","3","3313.57357","0","3313.57357"
"SIN","CEN","4","3277.64408","0","3277.64408"
"SIN","CEN","5","3435.4508","0","3435.4508"
"SIN","CEN","6","3653.79482","0","3653.79482"
"SIN","CEN","7","3820.57758","0","3820.57758"
"SIN","CEN","8","4148.68683","0","4148.68683"
"SIN","CEN","9","4671.05988","0","4671.05988"
