"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 06/ene/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 06/ene/2019 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 0 (Dia de Operacion: 23/12/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1209.35858","104.31196","1105.04662"
"BCA","BCA","2","1174.55668","121.42192","1053.13476"
"BCA","BCA","3","1165.0431","144.75254","1020.29056"
"BCA","BCA","4","1149.1591","161.65835","987.50075"
"BCA","BCA","5","1154.41594","175.91008","978.50586"
"BCA","BCA","6","1158.98444","171.17092","987.81352"
"BCA","BCA","7","1142.10385","154.66836","987.43549"
"BCA","BCA","8","1160.22363","171.35023","988.8734"
"BCA","BCA","9","1162.91518","131.05501","1031.86017"
"BCA","BCA","10","1148.1439","96.38781","1051.75609"
"BCA","BCA","11","1148.2424","84.04111","1064.20129"
"BCA","BCA","12","1171.7988","98.98705","1072.81175"
"BCA","BCA","13","1181.14301","82.38137","1098.76164"
"BCA","BCA","14","1197.397","99.76903","1097.62797"
"BCA","BCA","15","1228.13976","138.76742","1089.37234"
"BCA","BCA","16","1341.0955","251.2278","1089.8677"
"BCA","BCA","17","1328.29964","210.43177","1117.86787"
"BCA","BCA","18","1501.94544","251.16973","1250.77571"
"BCA","BCA","19","1512.81312","225.02013","1287.79299"
"BCA","BCA","20","1470.37431","188.93693","1281.43738"
"BCA","BCA","21","1401.89443","129.76253","1272.1319"
"BCA","BCA","22","1315.99027","79.09205","1236.89822"
"BCA","BCA","23","1274.87405","97.16168","1177.71237"
"BCA","BCA","24","1252.68428","148.25671","1104.42757"
"BCS","BCS","1","219.94121","0","219.94121"
"BCS","BCS","2","210.12572","0","210.12572"
"BCS","BCS","3","203.49215","0","203.49215"
"BCS","BCS","4","199.14395","0","199.14395"
"BCS","BCS","5","197.87331","0","197.87331"
"BCS","BCS","6","200.85514","0","200.85514"
"BCS","BCS","7","205.37148","0","205.37148"
"BCS","BCS","8","208.63854","0","208.63854"
"BCS","BCS","9","222.3756","0","222.3756"
"BCS","BCS","10","235.01209","0","235.01209"
"BCS","BCS","11","241.02023","0","241.02023"
"BCS","BCS","12","244.53327","0","244.53327"
"BCS","BCS","13","247.31535","0","247.31535"
"BCS","BCS","14","250.25278","0","250.25278"
"BCS","BCS","15","252.94136","0","252.94136"
"BCS","BCS","16","252.91732","0","252.91732"
"BCS","BCS","17","250.4338","0","250.4338"
"BCS","BCS","18","258.54187","0","258.54187"
"BCS","BCS","19","277.81247","0","277.81247"
"BCS","BCS","20","275.20598","0","275.20598"
"BCS","BCS","21","269.51051","0","269.51051"
"BCS","BCS","22","260.87236","0","260.87236"
"BCS","BCS","23","247.09601","0","247.09601"
"BCS","BCS","24","227.75071","0","227.75071"
"SIN","CEN","1","2022.86781","0","2022.86781"
"SIN","CEN","2","1566.33771","0","1566.33771"
"SIN","CEN","3","1442.01608","0","1442.01608"
"SIN","CEN","4","1430.73468","0","1430.73468"
"SIN","CEN","5","1433.84347","0","1433.84347"
"SIN","CEN","6","1463.29883","0","1463.29883"
"SIN","CEN","7","1419.70205","0","1419.70205"
"SIN","CEN","8","1424.12526","0","1424.12526"
"SIN","CEN","9","1424.18348","0","1424.18348"
"SIN","CEN","10","1563.65905","0","1563.65905"
"SIN","CEN","11","1704.70339","0","1704.70339"
"SIN","CEN","12","1706.23964","0","1706.23964"
"SIN","CEN","13","1680.99225","0","1680.99225"
"SIN","CEN","14","1675.48685","0","1675.48685"
"SIN","CEN","15","1703.3031","0","1703.3031"
"SIN","CEN","16","1737.3349","0","1737.3349"
"SIN","CEN","17","1711.23981","0","1711.23981"
"SIN","CEN","18","2476.26633","0","2476.26633"
"SIN","CEN","19","3562.25504","0","3562.25504"
"SIN","CEN","20","3949.63118","0","3949.63118"
"SIN","CEN","21","3853.86247","0","3853.86247"
"SIN","CEN","22","3744.59591","0","3744.59591"
"SIN","CEN","23","2996.06981","0","2996.06981"
"SIN","CEN","24","2224.25913","0","2224.25913"
"SIN","NES","1","8542.84888","0.09471","8542.75417"
"SIN","NES","2","8485.31553","0.09507","8485.22046"
"SIN","NES","3","8246.01964","0.09611","8245.92353"
"SIN","NES","4","8086.23495","0.09723","8086.13772"
"SIN","NES","5","8052.52742","0.09784","8052.42958"
"SIN","NES","6","8061.94959","0.09768","8061.85191"
"SIN","NES","7","8049.76527","0.10375","8049.66152"
"SIN","NES","8","7999.13168","0.10196","7999.02972"
"SIN","NES","9","7826.81361","0.09482","7826.71879"
"SIN","NES","10","7844.0137","0.0924","7843.9213"
"SIN","NES","11","7887.99118","0.09058","7887.9006"
"SIN","NES","12","8134.89427","0.08958","8134.80469"
"SIN","NES","13","8203.84809","0.08938","8203.75871"
"SIN","NES","14","8112.53967","0.08818","8112.45149"
"SIN","NES","15","8033.68569","0.08871","8033.59698"
"SIN","NES","16","8059.82658","0.08829","8059.73829"
"SIN","NES","17","8191.73431","0.08841","8191.6459"
"SIN","NES","18","8559.32557","0.08793","8559.23764"
"SIN","NES","19","8816.82874","0.08981","8816.73893"
"SIN","NES","20","8919.01276","0.09299","8918.91977"
"SIN","NES","21","8774.39688","0.09357","8774.30331"
"SIN","NES","22","8875.80111","0.09267","8875.70844"
"SIN","NES","23","8892.15414","0.09247","8892.06167"
"SIN","NES","24","8721.16024","0.09249","8721.06775"
"SIN","NOR","1","1936.75223","0","1936.75223"
"SIN","NOR","2","1884.56212","0","1884.56212"
"SIN","NOR","3","1877.08214","0","1877.08214"
"SIN","NOR","4","1890.64626","0","1890.64626"
"SIN","NOR","5","1879.80212","0","1879.80212"
"SIN","NOR","6","1881.65925","0","1881.65925"
"SIN","NOR","7","1874.17226","0","1874.17226"
"SIN","NOR","8","1876.41477","0","1876.41477"
"SIN","NOR","9","1812.04411","0","1812.04411"
"SIN","NOR","10","1779.53604","0","1779.53604"
"SIN","NOR","11","1801.20585","0","1801.20585"
"SIN","NOR","12","1821.79565","0","1821.79565"
"SIN","NOR","13","1809.29337","0","1809.29337"
"SIN","NOR","14","1804.04308","0","1804.04308"
"SIN","NOR","15","1759.49624","0","1759.49624"
"SIN","NOR","16","1760.92285","0","1760.92285"
"SIN","NOR","17","1807.19711","0","1807.19711"
"SIN","NOR","18","1905.22571","0","1905.22571"
"SIN","NOR","19","2183.74713","0","2183.74713"
"SIN","NOR","20","2213.16274","0","2213.16274"
"SIN","NOR","21","2266.82076","0","2266.82076"
"SIN","NOR","22","2296.33748","0","2296.33748"
"SIN","NOR","23","2225.6679","0","2225.6679"
"SIN","NOR","24","2041.84922","0","2041.84922"
"SIN","NTE","1","2564.55051","0","2564.55051"
"SIN","NTE","2","2341.99142","0","2341.99142"
"SIN","NTE","3","2335.95988","0","2335.95988"
"SIN","NTE","4","2199.12341","0","2199.12341"
"SIN","NTE","5","2192.31662","0","2192.31662"
"SIN","NTE","6","2119.56968","0","2119.56968"
"SIN","NTE","7","2084.12521","0","2084.12521"
"SIN","NTE","8","2098.71009","0","2098.71009"
"SIN","NTE","9","2412.69191","0","2412.69191"
"SIN","NTE","10","2767.70391","0","2767.70391"
"SIN","NTE","11","2836.33913","0","2836.33913"
"SIN","NTE","12","2719.26856","0","2719.26856"
"SIN","NTE","13","2748.5395","0","2748.5395"
"SIN","NTE","14","2784.30589","0","2784.30589"
"SIN","NTE","15","2799.75671","0","2799.75671"
"SIN","NTE","16","2765.87618","0","2765.87618"
"SIN","NTE","17","2698.53301","0","2698.53301"
"SIN","NTE","18","2419.31751","0","2419.31751"
"SIN","NTE","19","2418.42261","0","2418.42261"
"SIN","NTE","20","2499.45324","0","2499.45324"
"SIN","NTE","21","2483.75564","0","2483.75564"
"SIN","NTE","22","2487.86227","0","2487.86227"
"SIN","NTE","23","2460.88732","0","2460.88732"
"SIN","NTE","24","2365.26023","0","2365.26023"
"SIN","OCC","1","2933.66232","0","2933.66232"
"SIN","OCC","2","3049.45929","0","3049.45929"
"SIN","OCC","3","2705.84427","0","2705.84427"
"SIN","OCC","4","2823.78639","0","2823.78639"
"SIN","OCC","5","2848.32415","0","2848.32415"
"SIN","OCC","6","2951.85018","0","2951.85018"
"SIN","OCC","7","2928.52911","0","2928.52911"
"SIN","OCC","8","3001.19235","0","3001.19235"
"SIN","OCC","9","3437.71614","0","3437.71614"
"SIN","OCC","10","3707.01605","0","3707.01605"
"SIN","OCC","11","3816.09337","0","3816.09337"
"SIN","OCC","12","3895.59814","0","3895.59814"
"SIN","OCC","13","3828.23782","0","3828.23782"
"SIN","OCC","14","3789.43584","0","3789.43584"
"SIN","OCC","15","3765.65891","0","3765.65891"
"SIN","OCC","16","3777.37114","0","3777.37114"
"SIN","OCC","17","3767.63158","0","3767.63158"
"SIN","OCC","18","3239.81347","0","3239.81347"
"SIN","OCC","19","3818.57525","0","3818.57525"
"SIN","OCC","20","3452.53117","0","3452.53117"
"SIN","OCC","21","3653.03881","0","3653.03881"
"SIN","OCC","22","3791.85375","0","3791.85375"
