Centro Nacional de Control de Energia
Estimacion de la Demanda Real del Sistema -Por Balance
Sistema Electrico Nacional
Reporte Diario
Fecha de Publicacion: 04/jun/2018
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 04/jun/2018 12:30:01 hrs.
Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema.
Nota 2: La variable Exportacion se refiere a los valores programados para el MDA.
LIQUIDACION 1 (Dia de Operacion: 09/04/2018)
Sistema, Area, Hora, Generacion (MWh), Exportacion (MWh), Estimacion de Demanda por Balance (MWh) 
BCA,BCA,1,1311.88541,105.11965,1206.76576,
BCA,BCA,2,1224.12057,68.25943,1155.86114,
BCA,BCA,3,1148.10202,28.1316,1119.97042,
BCA,BCA,4,1144.14182,45.22992,1098.9119,
BCA,BCA,5,1139.81328,31.69394,1108.11934,
BCA,BCA,6,1197.07622,35.88598,1161.19024,
BCA,BCA,7,1261.55212,6.69828,1254.85384,
BCA,BCA,8,1356.30332,.7005,1355.60282,
BCA,BCA,9,1446.912,8.46149,1438.45051,
BCA,BCA,10,1554.90526,51.1663,1503.73896,
BCA,BCA,11,1624.28786,33.62164,1590.66622,
BCA,BCA,12,1681.36369,34.72964,1646.63405,
BCA,BCA,13,1727.26261,42.08867,1685.17394,
BCA,BCA,14,1780.82094,46.06494,1734.756,
BCA,BCA,15,1853.70791,72.1861,1781.52181,
BCA,BCA,16,1899.87739,96.77034,1803.10705,
BCA,BCA,17,1902.31837,93.97898,1808.33939,
BCA,BCA,18,1847.75479,85.21801,1762.53678,
BCA,BCA,19,1752.13879,33.30286,1718.83593,
BCA,BCA,20,1771.31716,.33903,1770.97813,
BCA,BCA,21,1822.49721,18.33706,1804.16015,
BCA,BCA,22,1765.176,9.0202,1756.1558,
BCA,BCA,23,1657.66695,1.08678,1656.58017,
BCA,BCA,24,1535.73492,0,1535.73492,
BCS,BCS,1,230.33765,0,230.33765,
BCS,BCS,2,221.13098,0,221.13098,
BCS,BCS,3,213.61098,0,213.61098,
BCS,BCS,4,209.34371,0,209.34371,
BCS,BCS,5,207.00374,0,207.00374,
BCS,BCS,6,213.84429,0,213.84429,
BCS,BCS,7,225.46241,0,225.46241,
BCS,BCS,8,227.40326,0,227.40326,
BCS,BCS,9,237.89044,0,237.89044,
BCS,BCS,10,253.09252,0,253.09252,
BCS,BCS,11,263.74253,0,263.74253,
BCS,BCS,12,270.31818,0,270.31818,
BCS,BCS,13,276.41012,0,276.41012,
BCS,BCS,14,280.89349,0,280.89349,
BCS,BCS,15,284.0676,0,284.0676,
BCS,BCS,16,287.26192,0,287.26192,
BCS,BCS,17,289.86631,0,289.86631,
BCS,BCS,18,290.73486,0,290.73486,
BCS,BCS,19,283.96663,0,283.96663,
BCS,BCS,20,282.92335,0,282.92335,
BCS,BCS,21,298.69718,0,298.69718,
BCS,BCS,22,293.82219,0,293.82219,
BCS,BCS,23,274.7104,0,274.7104,
BCS,BCS,24,249.25429,0,249.25429,
SIN,CEN,1,3716.75036,0,3716.75036,
SIN,CEN,2,3040.379,0,3040.379,
SIN,CEN,3,2950.37937,0,2950.37937,
SIN,CEN,4,2740.61168,0,2740.61168,
SIN,CEN,5,2836.33728,0,2836.33728,
SIN,CEN,6,3302.79781,0,3302.79781,
SIN,CEN,7,3841.30332,0,3841.30332,
SIN,CEN,8,3933.07084,0,3933.07084,
SIN,CEN,9,4059.22325,0,4059.22325,
SIN,CEN,10,4343.17364,0,4343.17364,
SIN,CEN,11,4529.4364,0,4529.4364,
SIN,CEN,12,4670.38477,0,4670.38477,
SIN,CEN,13,4836.3374,0,4836.3374,
SIN,CEN,14,4863.05326,0,4863.05326,
SIN,CEN,15,4770.43335,0,4770.43335,
SIN,CEN,16,4714.42036,0,4714.42036,
SIN,CEN,17,4724.80475,0,4724.80475,
SIN,CEN,18,4722.57608,0,4722.57608,
SIN,CEN,19,4702.92558,0,4702.92558,
SIN,CEN,20,4477.64633,0,4477.64633,
SIN,CEN,21,4770.17427,0,4770.17427,
SIN,CEN,22,4748.10998,0,4748.10998,
SIN,CEN,23,4782.01602,0,4782.01602,
SIN,CEN,24,4653.04845,0,4653.04845,
SIN,NES,1,10021.084866908325,1,10020.084866908325,
SIN,NES,2,10116.6600440853,0,10116.6600440853,
SIN,NES,3,9854.002692788425,0,9854.002692788425,
SIN,NES,4,9424.568678638275,0,9424.568678638275,
SIN,NES,5,9357.480149029275,1,9356.480149029275,
SIN,NES,6,9386.4196870113,0,9386.4196870113,
SIN,NES,7,9528.10210428059,2,9526.10210428059,
SIN,NES,8,9685.150959656908,3,9682.150959656908,
SIN,NES,9,9479.858647221645,1,9478.858647221645,
SIN,NES,10,9145.1790893363,3,9142.1790893363,
SIN,NES,11,9296.510980038225,3,9293.510980038225,
SIN,NES,12,9388.855487840375,2,9386.855487840375,
SIN,NES,13,9317.58772289525,2,9315.58772289525,
SIN,NES,14,9358.1412024723,2,9356.1412024723,
SIN,NES,15,9308.846830419525,2,9306.846830419525,
SIN,NES,16,9374.40832182803,1,9373.40832182803,
SIN,NES,17,9477.6484193052,1,9476.6484193052,
SIN,NES,18,9514.67807189677,1,9513.67807189677,
SIN,NES,19,9523.4119364843,1,9522.4119364843,
SIN,NES,20,9532.327398384255,1,9531.327398384255,
SIN,NES,21,9380.643710344945,1,9379.643710344945,
SIN,NES,22,9328.23523024935,1,9327.23523024935,
SIN,NES,23,9310.4997790889,1,9309.4997790889,
SIN,NES,24,9333.068848456025,1,9332.068848456025,
SIN,NOR,1,2160.994,0,2160.994,
SIN,NOR,2,2137.4064,0,2137.4064,
SIN,NOR,3,2130.61554,0,2130.61554,
SIN,NOR,4,2141.2268,0,2141.2268,
SIN,NOR,5,2133.63604,0,2133.63604,
SIN,NOR,6,2129.02419,0,2129.02419,
SIN,NOR,7,2271.21809,0,2271.21809,
SIN,NOR,8,2321.97189,0,2321.97189,
SIN,NOR,9,2344.6192,0,2344.6192,
SIN,NOR,10,2390.64568,0,2390.64568,
SIN,NOR,11,2469.3599,0,2469.3599,
SIN,NOR,12,2566.91487,0,2566.91487,
SIN,NOR,13,2799.58599,0,2799.58599,
SIN,NOR,14,2944.11791,0,2944.11791,
SIN,NOR,15,2951.45526,0,2951.45526,
SIN,NOR,16,2955.97034,0,2955.97034,
SIN,NOR,17,2959.91585,0,2959.91585,
SIN,NOR,18,2973.00535,0,2973.00535,
SIN,NOR,19,3048.29436,0,3048.29436,
SIN,NOR,20,3191.90179,0,3191.90179,
SIN,NOR,21,3128.08488,0,3128.08488,
SIN,NOR,22,3103.22315,0,3103.22315,
SIN,NOR,23,3112.52097,0,3112.52097,
SIN,NOR,24,2933.10239,0,2933.10239,
SIN,NTE,1,2519.86213,0,2519.86213,
