"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 19/sep/2018"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/sep/2018 12:30:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 1 (Dia de Operacion: 25/07/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","2586.10359","310.88093","2275.22266"
"BCA","BCA","2","2499.03918","310.59963","2188.43955"
"BCA","BCA","3","2395.06016","278.95933","2116.10083"
"BCA","BCA","4","2319.67185","249.80117","2069.87068"
"BCA","BCA","5","2303.28278","265.26396","2038.01882"
"BCA","BCA","6","2278.40038","275.63145","2002.76893"
"BCA","BCA","7","2317.20097","312.70445","2004.49652"
"BCA","BCA","8","2444.4191","293.75657","2150.66253"
"BCA","BCA","9","2570.50438","278.78019","2291.72419"
"BCA","BCA","10","2654.34098","238.73124","2415.60974"
"BCA","BCA","11","2852.01983","309.42224","2542.59759"
"BCA","BCA","12","3029.34488","389.23858","2640.1063"
"BCA","BCA","13","3024.37683","390.71252","2633.66431"
"BCA","BCA","14","3069.31708","373.5351","2695.78198"
"BCA","BCA","15","3112.77139","385.27908","2727.49231"
"BCA","BCA","16","3090.0985","346.79701","2743.30149"
"BCA","BCA","17","3072.95216","357.37679","2715.57537"
"BCA","BCA","18","2913.81485","267.93625","2645.8786"
"BCA","BCA","19","2822.45963","242.20749","2580.25214"
"BCA","BCA","20","2797.50911","262.62551","2534.8836"
"BCA","BCA","21","2811.4097","232.561","2578.8487"
"BCA","BCA","22","2785.21617","248.53879","2536.67738"
"BCA","BCA","23","2764.6053","267.62394","2496.98136"
"BCA","BCA","24","2697.72667","288.70248","2409.02419"
"BCS","BCS","1","411.47516","0","411.47516"
"BCS","BCS","2","394.50169","0","394.50169"
"BCS","BCS","3","378.69964","0","378.69964"
"BCS","BCS","4","362.56021","0","362.56021"
"BCS","BCS","5","350.77413","0","350.77413"
"BCS","BCS","6","344.30065","0","344.30065"
"BCS","BCS","7","337.51172","0","337.51172"
"BCS","BCS","8","333.78564","0","333.78564"
