"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 01/feb/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 01/feb/2019 12:30:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 1 (Dia de Operacion: 07/12/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1454.2071","231.21188","1222.99522"
"BCA","BCA","2","1430.6455","248.69467","1181.95083"
"BCA","BCA","3","1413.3315","261.17612","1152.15538"
"BCA","BCA","4","1445.78702","307.41919","1138.36783"
"BCA","BCA","5","1410.7721","259.58248","1151.18962"
"BCA","BCA","6","1494.46586","306.08987","1188.37599"
"BCA","BCA","7","1496.13885","248.84531","1247.29354"
"BCA","BCA","8","1506.75319","202.83021","1303.92298"
"BCA","BCA","9","1563.76863","203.47132","1360.29731"
"BCA","BCA","10","1526.40657","142.27359","1384.13298"
"BCA","BCA","11","1559.04777","150.54377","1408.504"
"BCA","BCA","12","1562.09788","142.77713","1419.32075"
"BCA","BCA","13","1541.35103","126.48663","1414.8644"
"BCA","BCA","14","1544.27445","130.00717","1414.26728"
"BCA","BCA","15","1499.04441","85.17761","1413.8668"
"BCA","BCA","16","1502.42254","99.10646","1403.31608"
"BCA","BCA","17","1556.74759","136.77293","1419.97466"
"BCA","BCA","18","1626.55631","122.69505","1503.86126"
"BCA","BCA","19","1564.44858","60.36598","1504.0826"
"BCA","BCA","20","1553.29244","66.9319","1486.36054"
"BCA","BCA","21","1533.90715","69.91825","1463.9889"
"BCA","BCA","22","1504.28002","87","1417.28002"
"BCA","BCA","23","1444.31691","97.0527","1347.26421"
"BCA","BCA","24","1395.76731","124.16971","1271.5976"
"BCS","BCS","1","233.11302","0","233.11302"
"BCS","BCS","2","225.7763","0","225.7763"
"BCS","BCS","3","220.51874","0","220.51874"
"BCS","BCS","4","217.51137","0","217.51137"
"BCS","BCS","5","215.31493","0","215.31493"
"BCS","BCS","6","222.60369","0","222.60369"
"BCS","BCS","7","236.97964","0","236.97964"
"BCS","BCS","8","242.54325","0","242.54325"
"BCS","BCS","9","251.0651","0","251.0651"
"BCS","BCS","10","266.55773","0","266.55773"
