"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 26/jul/2018"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/jul/2018 12:35:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 2 (Dia de Operacion: 05/04/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1433.09489","89.06704","1344.02785"
"BCA","BCA","2","1457.97805","175.22601","1282.75204"
"BCA","BCA","3","1478.83062","231.49589","1247.33473"
"BCA","BCA","4","1487.78545","263.56988","1224.21557"
"BCA","BCA","5","1490.23108","259.66365","1230.56743"
"BCA","BCA","6","1497.46947","247.18904","1250.28043"
"BCA","BCA","7","1467.92693","167.5391","1300.38783"
"BCA","BCA","8","1457.44582","67.62227","1389.82355"
"BCA","BCA","9","1548.07578","87.95508","1460.1207"
"BCA","BCA","10","1582.35961","81.9351","1500.42451"
"BCA","BCA","11","1632.51721","78.70568","1553.81153"
"BCA","BCA","12","1665.53413","78.7585","1586.77563"
"BCA","BCA","13","1718.67382","101.62679","1617.04703"
"BCA","BCA","14","1761.06781","102.42669","1658.64112"
"BCA","BCA","15","1788.33201","110.93736","1677.39465"
"BCA","BCA","16","1816.54465","133.9643","1682.58035"
"BCA","BCA","17","1856.20531","186.15517","1670.05014"
"BCA","BCA","18","1800.76641","174.02793","1626.73848"
"BCA","BCA","19","1734.85164","143.43771","1591.41393"
"BCA","BCA","20","1755.74786","97.0505","1658.69736"
"BCA","BCA","21","1765.71827","95.81641","1669.90186"
"BCA","BCA","22","1740.78181","105.09801","1635.6838"
"BCA","BCA","23","1635.10079","85.42158","1549.67921"
"BCA","BCA","24","1555.34081","98.95404","1456.38677"
"BCS","BCS","1","242.10859","0","242.10859"
"BCS","BCS","2","229.87739","0","229.87739"
"BCS","BCS","3","220.65088","0","220.65088"
"BCS","BCS","4","214.60559","0","214.60559"
"BCS","BCS","5","214.05138","0","214.05138"
"BCS","BCS","6","216.98251","0","216.98251"
"BCS","BCS","7","223.76934","0","223.76934"
"BCS","BCS","8","230.29372","0","230.29372"
"BCS","BCS","9","243.58326","0","243.58326"
"BCS","BCS","10","258.50805","0","258.50805"
"BCS","BCS","11","270.57082","0","270.57082"
"BCS","BCS","12","282.79493","0","282.79493"
"BCS","BCS","13","288.64735","0","288.64735"
"BCS","BCS","14","293.93412","0","293.93412"
"BCS","BCS","15","296.8543","0","296.8543"
"BCS","BCS","16","300.48873","0","300.48873"
"BCS","BCS","17","303.34726","0","303.34726"
"BCS","BCS","18","301.84353","0","301.84353"
"BCS","BCS","19","296.69455","0","296.69455"
"BCS","BCS","20","295.89408","0","295.89408"
"BCS","BCS","21","308.95147","0","308.95147"
"BCS","BCS","22","301.50493","0","301.50493"
"BCS","BCS","23","285.95067","0","285.95067"
"BCS","BCS","24","264.62991","0","264.62991"
"SIN","CEN","1","4169.57349","0","4169.57349"
"SIN","CEN","2","3860.42045","0","3860.42045"
"SIN","CEN","3","3475.6301","0","3475.6301"
"SIN","CEN","4","3432.96624","0","3432.96624"
"SIN","CEN","5","3418.49243","0","3418.49243"
"SIN","CEN","6","3722.71557","0","3722.71557"
"SIN","CEN","7","3940.20391","0","3940.20391"
"SIN","CEN","8","3898.41615","0","3898.41615"
"SIN","CEN","9","3998.77025","0","3998.77025"
"SIN","CEN","10","4268.93699","0","4268.93699"
"SIN","CEN","11","4455.1659","0","4455.1659"
"SIN","CEN","12","4472.83471","0","4472.83471"
"SIN","CEN","13","4474.621","0","4474.621"
"SIN","CEN","14","4645.12185","0","4645.12185"
"SIN","CEN","15","4637.79085","0","4637.79085"
"SIN","CEN","16","4661.66521","0","4661.66521"
"SIN","CEN","17","4675.27829","0","4675.27829"
"SIN","CEN","18","4654.83796","0","4654.83796"
"SIN","CEN","19","4655.70929","0","4655.70929"
"SIN","CEN","20","4684.26862","0","4684.26862"
"SIN","CEN","21","4668.36702","0","4668.36702"
"SIN","CEN","22","4692.33818","0","4692.33818"
"SIN","CEN","23","4663.59879","0","4663.59879"
"SIN","CEN","24","4116.31109","0","4116.31109"
"SIN","NES","1","10039.9256785598","1","10038.9256785598"
"SIN","NES","2","10069.016303008","1","10068.016303008"
"SIN","NES","3","9844.977526235","1","9843.977526235"
"SIN","NES","4","9365.64044517873","3","9362.64044517873"
"SIN","NES","5","9331.62345162468","3","9328.62345162468"
"SIN","NES","6","9322.75040425","1","9321.75040425"
"SIN","NES","7","9305.60441873186","1","9304.60441873186"
"SIN","NES","8","9617.991658826","1","9616.991658826"
"SIN","NES","9","9709.59847426","1","9708.59847426"
"SIN","NES","10","9628.951920725","1","9627.951920725"
"SIN","NES","11","9366.205488781","1","9365.205488781"
"SIN","NES","12","9374.869684922","1","9373.869684922"
"SIN","NES","13","9318.851501863","1","9317.851501863"
"SIN","NES","14","9413.5361645991","1","9412.5361645991"
"SIN","NES","15","9655.988543249","1","9654.988543249"
"SIN","NES","16","9878.528513588","1","9877.528513588"
"SIN","NES","17","10006.8326427006","1","10005.8326427006"
"SIN","NES","18","10074.0996340432","5","10069.0996340432"
"SIN","NES","19","10176.8489899899","2","10174.8489899899"
"SIN","NES","20","10383.675848317","3","10380.675848317"
