"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 04/dic/2018"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 04/dic/2018 12:40:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 3 (Dia de Operacion: 01/05/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1295.42298","112.63359","1182.78939"
"BCA","BCA","2","1330.34634","190.54221","1139.80413"
"BCA","BCA","3","1133.93634","24.05137","1109.88497"
"BCA","BCA","4","1183.06452","100.61344","1082.45108"
"BCA","BCA","5","1132.04589","65.16832","1066.87757"
"BCA","BCA","6","1151.99252","76.99307","1074.99945"
"BCA","BCA","7","1245.82624","159.17454","1086.6517"
"BCA","BCA","8","1231.89375","62.02288","1169.87087"
"BCA","BCA","9","1258.75293","31.52888","1227.22405"
"BCA","BCA","10","1300.45518","27.38997","1273.06521"
"BCA","BCA","11","1357.31497","39.70052","1317.61445"
"BCA","BCA","12","1391.06905","44.57885","1346.4902"
"BCA","BCA","13","1399.88082","40.65146","1359.22936"
"BCA","BCA","14","1407.22764","42.47181","1364.75583"
"BCA","BCA","15","1388.30963","40.71291","1347.59672"
"BCA","BCA","16","1389.324","49.5829","1339.7411"
"BCA","BCA","17","1402.84633","72.32735","1330.51898"
"BCA","BCA","18","1365.92757","58.17114","1307.75643"
"BCA","BCA","19","1369.926","56.83216","1313.09384"
"BCA","BCA","20","1445.29947","61.10381","1384.19566"
"BCA","BCA","21","1572.537","138.93086","1433.60614"
"BCA","BCA","22","1504.7758","115.33836","1389.43744"
"BCA","BCA","23","1316.45824","16.57021","1299.88803"
"BCA","BCA","24","1260.54666","42.8252","1217.72146"
"BCS","BCS","1","253.58402","0","253.58402"
"BCS","BCS","2","241.55799","0","241.55799"
"BCS","BCS","3","232.03352","0","232.03352"
"BCS","BCS","4","224.50743","0","224.50743"
"BCS","BCS","5","220.71577","0","220.71577"
"BCS","BCS","6","220.38226","0","220.38226"
"BCS","BCS","7","219.00691","0","219.00691"
"BCS","BCS","8","219.7134","0","219.7134"
"BCS","BCS","9","234.39555","0","234.39555"
"BCS","BCS","10","248.50145","0","248.50145"
"BCS","BCS","11","257.12363","0","257.12363"
"BCS","BCS","12","262.79487","0","262.79487"
"BCS","BCS","13","266.90466","0","266.90466"
"BCS","BCS","14","272.22024","0","272.22024"
"BCS","BCS","15","276.42117","0","276.42117"
"BCS","BCS","16","281.16428","0","281.16428"
"BCS","BCS","17","283.90195","0","283.90195"
"BCS","BCS","18","284.00593","0","284.00593"
"BCS","BCS","19","278.7301","0","278.7301"
"BCS","BCS","20","276.38673","0","276.38673"
"BCS","BCS","21","294.67125","0","294.67125"
"BCS","BCS","22","291.76709","0","291.76709"
"BCS","BCS","23","277.52871","0","277.52871"
"BCS","BCS","24","254.55406","0","254.55406"
"SIN","CEN","1","4417.35155","0","4417.35155"
"SIN","CEN","2","4345.6927","0","4345.6927"
"SIN","CEN","3","3918.17808","0","3918.17808"
"SIN","CEN","4","3856.28835","0","3856.28835"
"SIN","CEN","5","3868.47958","0","3868.47958"
"SIN","CEN","6","3886.49188","0","3886.49188"
"SIN","CEN","7","3875.80595","0","3875.80595"
"SIN","CEN","8","3817.24606","0","3817.24606"
"SIN","CEN","9","3805.2442","0","3805.2442"
"SIN","CEN","10","3844.54003","0","3844.54003"
"SIN","CEN","11","4214.23871","0","4214.23871"
"SIN","CEN","12","4797.18734","0","4797.18734"
"SIN","CEN","13","4897.79978","0","4897.79978"
"SIN","CEN","14","4768.12123","0","4768.12123"
"SIN","CEN","15","4676.26087","0","4676.26087"
"SIN","CEN","16","4730.00081","0","4730.00081"
"SIN","CEN","17","4860.99296","0","4860.99296"
"SIN","CEN","18","4847.35125","0","4847.35125"
"SIN","CEN","19","4869.12102","0","4869.12102"
"SIN","CEN","20","4978.32745","0","4978.32745"
"SIN","CEN","21","5064.34954","0","5064.34954"
"SIN","CEN","22","5071.33919","0","5071.33919"
"SIN","CEN","23","4981.2593","0","4981.2593"
"SIN","CEN","24","4750.61452","0","4750.61452"
"SIN","NES","1","10406.04198","0","10406.04198"
"SIN","NES","2","10387.53037","0","10387.53037"
"SIN","NES","3","10635.34569","0","10635.34569"
"SIN","NES","4","10706.8601","0","10706.8601"
"SIN","NES","5","10736.6455","0","10736.6455"
"SIN","NES","6","10773.70635","4","10769.70635"
"SIN","NES","7","10610.22466","0","10610.22466"
"SIN","NES","8","10612.73179","0","10612.73179"
"SIN","NES","9","10589.21017","0","10589.21017"
"SIN","NES","10","10674.07278","0","10674.07278"
"SIN","NES","11","10713.19613","0","10713.19613"
"SIN","NES","12","10771.43152","6","10765.43152"
"SIN","NES","13","10819.74683","0","10819.74683"
"SIN","NES","14","10764.01292","0","10764.01292"
"SIN","NES","15","10729.4624","2","10727.4624"
"SIN","NES","16","10710.44312","0","10710.44312"
"SIN","NES","17","10761.22855","0","10761.22855"
"SIN","NES","18","10677.8963","0","10677.8963"
"SIN","NES","19","10608.79302","0","10608.79302"
"SIN","NES","20","10604.93198","0","10604.93198"
"SIN","NES","21","11256.9012","0","11256.9012"
"SIN","NES","22","11405.0241","0","11405.0241"
"SIN","NES","23","11470.56731","1","11469.56731"
"SIN","NES","24","11290.67075","0","11290.67075"
"SIN","NOR","1","2514.58324","0","2514.58324"
"SIN","NOR","2","2449.86548","0","2449.86548"
"SIN","NOR","3","2424.29456","0","2424.29456"
"SIN","NOR","4","2275.32092","0","2275.32092"
"SIN","NOR","5","2227.83513","0","2227.83513"
"SIN","NOR","6","2167.12535","0","2167.12535"
"SIN","NOR","7","2090.48092","0","2090.48092"
"SIN","NOR","8","2069.14985","0","2069.14985"
"SIN","NOR","9","2083.32231","0","2083.32231"
"SIN","NOR","10","2149.86516","0","2149.86516"
"SIN","NOR","11","2335.48069","0","2335.48069"
"SIN","NOR","12","2360.4394","0","2360.4394"
"SIN","NOR","13","2353.63025","0","2353.63025"
"SIN","NOR","14","2372.48355","0","2372.48355"
"SIN","NOR","15","2400.43985","0","2400.43985"
"SIN","NOR","16","2408.76819","0","2408.76819"
"SIN","NOR","17","2426.92262","0","2426.92262"
"SIN","NOR","18","2430.49635","0","2430.49635"
"SIN","NOR","19","2420.66713","0","2420.66713"
"SIN","NOR","20","2417.03746","0","2417.03746"
"SIN","NOR","21","2417.87762","0","2417.87762"
"SIN","NOR","22","2503.53037","0","2503.53037"
"SIN","NOR","23","2449.88227","0","2449.88227"
"SIN","NOR","24","2464.95757","0","2464.95757"
"SIN","NTE","1","2564.17195","0","2564.17195"
"SIN","NTE","2","2564.73593","0","2564.73593"
"SIN","NTE","3","2544.87737","0","2544.87737"
"SIN","NTE","4","2490.29156","0","2490.29156"
"SIN","NTE","5","2421.03931","0","2421.03931"
"SIN","NTE","6","2413.25283","0","2413.25283"
"SIN","NTE","7","2424.48947","0","2424.48947"
"SIN","NTE","8","2433.03223","0","2433.03223"
"SIN","NTE","9","2617.57088","0","2617.57088"
"SIN","NTE","10","2816.0818","0","2816.0818"
"SIN","NTE","11","2888.7558","0","2888.7558"
"SIN","NTE","12","2910.9579","0","2910.9579"
"SIN","NTE","13","3098.98866","0","3098.98866"
"SIN","NTE","14","3128.78533","0","3128.78533"
"SIN","NTE","15","3134.79797","0","3134.79797"
"SIN","NTE","16","3138.30574","0","3138.30574"
"SIN","NTE","17","3110.25678","0","3110.25678"
"SIN","NTE","18","3078.83471","0","3078.83471"
"SIN","NTE","19","3023.35991","0","3023.35991"
"SIN","NTE","20","2883.27693","0","2883.27693"
"SIN","NTE","21","2788.33861","0","2788.33861"
"SIN","NTE","22","2782.83294","0","2782.83294"
"SIN","NTE","23","2777.29762","0","2777.29762"
"SIN","NTE","24","2598.99474","0","2598.99474"
"SIN","OCC","1","4948.29612","0","4948.29612"
"SIN","OCC","2","4701.09606","0","4701.09606"
"SIN","OCC","3","4594.48143","0","4594.48143"
"SIN","OCC","4","4516.36911","0","4516.36911"
"SIN","OCC","5","4310.39439","0","4310.39439"
"SIN","OCC","6","4165.69568","0","4165.69568"
"SIN","OCC","7","3971.66409","0","3971.66409"
"SIN","OCC","8","3763.86699","0","3763.86699"
"SIN","OCC","9","4098.83428","0","4098.83428"
"SIN","OCC","10","4565.5258","0","4565.5258"
"SIN","OCC","11","4833.55938","0","4833.55938"
"SIN","OCC","12","4934.10375","0","4934.10375"
"SIN","OCC","13","4955.50534","0","4955.50534"
"SIN","OCC","14","4947.89611","0","4947.89611"
"SIN","OCC","15","5030.15404","0","5030.15404"
"SIN","OCC","16","5028.79004","0","5028.79004"
"SIN","OCC","17","4897.32267","0","4897.32267"
"SIN","OCC","18","4661.7345","0","4661.7345"
"SIN","OCC","19","4602.39844","0","4602.39844"
"SIN","OCC","20","4493.86987","0","4493.86987"
"SIN","OCC","21","4886.15981","0","4886.15981"
"SIN","OCC","22","5546.0069","0","5546.0069"
"SIN","OCC","23","5514.46513","0","5514.46513"
"SIN","OCC","24","5165.04853","0","5165.04853"
"SIN","ORI","1","7029.25414","120.85675","6908.39739"
"SIN","ORI","2","6463.11668","120","6343.11668"
"SIN","ORI","3","5954.22039","120","5834.22039"
"SIN","ORI","4","5740.34945","120","5620.34945"
"SIN","ORI","5","5582.50552","120","5462.50552"
"SIN","ORI","6","5644.81154","120","5524.81154"
"SIN","ORI","7","5925.46769","120","5805.46769"
"SIN","ORI","8","5944.72639","120","5824.72639"
"SIN","ORI","9","6001.74629","120","5881.74629"
"SIN","ORI","10","6253.16785","120","6133.16785"
"SIN","ORI","11","6323.94008","120.23742","6203.70266"
"SIN","ORI","12","6297.87598","130.99419","6166.88179"
"SIN","ORI","13","6616.60664","120","6496.60664"
"SIN","ORI","14","7010.65263","120.24326","6890.40937"
"SIN","ORI","15","7138.12136","125.66594","7012.45542"
"SIN","ORI","16","7314.88882","120","7194.88882"
"SIN","ORI","17","7235.26581","120","7115.26581"
"SIN","ORI","18","7371.75334","120","7251.75334"
"SIN","ORI","19","7396.78976","120","7276.78976"
"SIN","ORI","20","8113.37674","120","7993.37674"
"SIN","ORI","21","9194.37327","120","9074.37327"
"SIN","ORI","22","9176.29142","120","9056.29142"
"SIN","ORI","23","8568.98524","120","8448.98524"
"SIN","ORI","24","7508.64467","121.34915","7387.29552"
"SIN","PEN","1","585.033204246","2.096253815","582.936950431"
"SIN","PEN","2","521.999534971","1.626484087","520.373050884"
"SIN","PEN","3","472.348242239","1.345626525","471.002615714"
"SIN","PEN","4","415.888802463","1.817270233","414.07153223"
"SIN","PEN","5","427.249731848","10.444508835","416.805223013"
"SIN","PEN","6","346.775744141","27.306268493","319.469475648"
"SIN","PEN","7","326.881444422","28.882582275","297.998862147"
"SIN","PEN","8","326.13551677","28.566972902","297.568543868"
"SIN","PEN","9","388.347311817","30.719196534","357.628115283"
"SIN","PEN","10","489.772394176","33.823450682","455.948943494"
"SIN","PEN","11","520.318009072","36.381724853","483.936284219"
"SIN","PEN","12","526.850146637","37.887430664","488.962715973"
"SIN","PEN","13","539.686880113","39.603431396","500.083448717"
"SIN","PEN","14","540.586034195","39.571670653","501.014363542"
"SIN","PEN","15","551.926620951","39.11481006","512.811810891"
"SIN","PEN","16","547.458415696","34.87975586","512.578659836"
"SIN","PEN","17","628.946357347","34.146081057","594.80027629"
"SIN","PEN","18","656.243623183","32.712636474","623.530986709"
"SIN","PEN","19","670.969092618","30.87800049","640.091092128"
"SIN","PEN","20","681.698662274","35.960026856","645.738635418"
"SIN","PEN","21","679.812150692","3.669873933","676.142276759"
"SIN","PEN","22","679.090220086","3.728527405","675.361692681"
"SIN","PEN","23","693.303556422","2.622450173","690.681106249"
"SIN","PEN","24","701.398407357","1.81649276","699.581914597"
