"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 09/mar/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 09/mar/2019 12:40:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"Nota 2: La variable Exportacion se refiere a los valores programados para el MDA."
"LIQUIDACION 3 (Dia de Operacion: 04/08/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","2609.38096","329.2627","2280.11826"
"BCA","BCA","2","2504.48421","314.15771","2190.3265"
"BCA","BCA","3","2403.39184","275.94972","2127.44212"
"BCA","BCA","4","2324.5489","252.80106","2071.74784"
"BCA","BCA","5","2274.90875","247.1809","2027.72785"
"BCA","BCA","6","2236.43676","260.00573","1976.43103"
"BCA","BCA","7","2188.89317","261.3787","1927.51447"
"BCA","BCA","8","2268.48286","274.42719","1994.05567"
"BCA","BCA","9","2429.67955","296.48266","2133.19689"
"BCA","BCA","10","2642.49283","361.76223","2280.7306"
"BCA","BCA","11","2777.77305","380.80258","2396.97047"
"BCA","BCA","12","2937.50711","427.02797","2510.47914"
"BCA","BCA","13","2999.81105","413.69805","2586.113"
"BCA","BCA","14","3069.39912","450.60489","2618.79423"
"BCA","BCA","15","3101.31071","467.85009","2633.46062"
"BCA","BCA","16","3051.19556","440.52933","2610.66623"
"BCA","BCA","17","3041.29667","441.45715","2599.83952"
"BCA","BCA","18","3017.46474","444.79879","2572.66595"
"BCA","BCA","19","2922.17063","403.49292","2518.67771"
"BCA","BCA","20","2822.95331","364.48613","2458.46718"
"BCA","BCA","21","2855.05583","371.08199","2483.97384"
"BCA","BCA","22","2765.3388","342.54784","2422.79096"
"BCA","BCA","23","2667.96169","343.12353","2324.83816"
"BCA","BCA","24","2577.29689","352.62951","2224.66738"
"BCS","BCS","1","444.18156","0","444.18156"
"BCS","BCS","2","430.26151","0","430.26151"
"BCS","BCS","3","413.24685","0","413.24685"
"BCS","BCS","4","398.61655","0","398.61655"
"BCS","BCS","5","386.10817","0","386.10817"
"BCS","BCS","6","377.02196","0","377.02196"
"BCS","BCS","7","367.96332","0","367.96332"
"BCS","BCS","8","357.40982","0","357.40982"
"BCS","BCS","9","368.5784","0","368.5784"
"BCS","BCS","10","387.70156","0","387.70156"
"BCS","BCS","11","402.86102","0","402.86102"
"BCS","BCS","12","413.41903","0","413.41903"
"BCS","BCS","13","422.50921","0","422.50921"
"BCS","BCS","14","430.44445","0","430.44445"
"BCS","BCS","15","438.97801","0","438.97801"
"BCS","BCS","16","450.01304","0","450.01304"
"BCS","BCS","17","455.96048","0","455.96048"
"BCS","BCS","18","455.5499","0","455.5499"
"BCS","BCS","19","445.16607","0","445.16607"
"BCS","BCS","20","429.13298","0","429.13298"
"BCS","BCS","21","434.35181","0","434.35181"
"BCS","BCS","22","437.34503","0","437.34503"
"BCS","BCS","23","437.54845","0","437.54845"
"BCS","BCS","24","432.89978","0","432.89978"
"SIN","CEN","1","3867.41276","0","3867.41276"
"SIN","CEN","2","3684.5313","0","3684.5313"
"SIN","CEN","3","3631.39593","0","3631.39593"
"SIN","CEN","4","3715.92903","0","3715.92903"
"SIN","CEN","5","3780.22012","0","3780.22012"
"SIN","CEN","6","3979.00379","0","3979.00379"
"SIN","CEN","7","4040.4606","0","4040.4606"
"SIN","CEN","8","4025.79579","0","4025.79579"
"SIN","CEN","9","3961.84711","0","3961.84711"
"SIN","CEN","10","3640.98647","0","3640.98647"
"SIN","CEN","11","3600.79025","0","3600.79025"
"SIN","CEN","12","3566.50735","0","3566.50735"
"SIN","CEN","13","3676.60775","0","3676.60775"
"SIN","CEN","14","3665.46337","0","3665.46337"
"SIN","CEN","15","3642.15125","0","3642.15125"
"SIN","CEN","16","3680.39425","0","3680.39425"
"SIN","CEN","17","3640.71268","0","3640.71268"
"SIN","CEN","18","3659.36303","0","3659.36303"
"SIN","CEN","19","3610.91221","0","3610.91221"
"SIN","CEN","20","3854.67491","0","3854.67491"
"SIN","CEN","21","4074.16378","0","4074.16378"
"SIN","CEN","22","4086.49176","0","4086.49176"
"SIN","CEN","23","3599.49341","0","3599.49341"
"SIN","CEN","24","3450.30406","0","3450.30406"
"SIN","NES","1","11920.38933","1","11919.38933"
"SIN","NES","2","11580.69117","1","11579.69117"
"SIN","NES","3","11420.75977","1","11419.75977"
"SIN","NES","4","11396.70987","1","11395.70987"
"SIN","NES","5","11652.66912","1","11651.66912"
"SIN","NES","6","11583.65851","1","11582.65851"
"SIN","NES","7","11460.95287","1","11459.95287"
"SIN","NES","8","11474.94598","1","11473.94598"
"SIN","NES","9","11423.41081","1","11422.41081"
"SIN","NES","10","11469.14659","2","11467.14659"
"SIN","NES","11","11570.90297","2","11568.90297"
"SIN","NES","12","11606.85821","1","11605.85821"
"SIN","NES","13","11601.43017","1","11600.43017"
"SIN","NES","14","11621.45858","0","11621.45858"
"SIN","NES","15","11712.50279","0","11712.50279"
"SIN","NES","16","11742.34306","0","11742.34306"
"SIN","NES","17","11625.56605","0","11625.56605"
"SIN","NES","18","11678.48202","0","11678.48202"
"SIN","NES","19","11799.72902","0","11799.72902"
"SIN","NES","20","11749.35196","0","11749.35196"
"SIN","NES","21","11720.75288","0","11720.75288"
"SIN","NES","22","11517.08441","0","11517.08441"
"SIN","NES","23","11405.96505","0","11405.96505"
"SIN","NES","24","11378.01574","1","11377.01574"
"SIN","NOR","1","3358.06244","0","3358.06244"
"SIN","NOR","2","3178.12609","0","3178.12609"
"SIN","NOR","3","3119.03097","0","3119.03097"
"SIN","NOR","4","3051.92329","0","3051.92329"
"SIN","NOR","5","3056.19068","0","3056.19068"
"SIN","NOR","6","2974.77195","0","2974.77195"
"SIN","NOR","7","3101.96651","0","3101.96651"
"SIN","NOR","8","2629.7328","0","2629.7328"
"SIN","NOR","9","2706.78778","0","2706.78778"
"SIN","NOR","10","2709.94544","0","2709.94544"
"SIN","NOR","11","2731.82748","0","2731.82748"
"SIN","NOR","12","2779.89896","0","2779.89896"
"SIN","NOR","13","2892.22849","0","2892.22849"
"SIN","NOR","14","2965.47723","0","2965.47723"
"SIN","NOR","15","3112.7843","0","3112.7843"
"SIN","NOR","16","3300.24367","0","3300.24367"
"SIN","NOR","17","3275.80699","0","3275.80699"
"SIN","NOR","18","3264.8895","0","3264.8895"
"SIN","NOR","19","3306.29152","0","3306.29152"
"SIN","NOR","20","3283.1295","0","3283.1295"
"SIN","NOR","21","3115.4617","0","3115.4617"
"SIN","NOR","22","3103.34885","0","3103.34885"
"SIN","NOR","23","3173.61716","0","3173.61716"
"SIN","NOR","24","3244.59025","0","3244.59025"
"SIN","NTE","1","3276.38572","0","3276.38572"
"SIN","NTE","2","3269.22279","0","3269.22279"
"SIN","NTE","3","3260.2896","0","3260.2896"
"SIN","NTE","4","3225.82521","0","3225.82521"
"SIN","NTE","5","3206.88133","0","3206.88133"
"SIN","NTE","6","3128.58922","0","3128.58922"
"SIN","NTE","7","3169.10694","0","3169.10694"
"SIN","NTE","8","3213.78307","0","3213.78307"
"SIN","NTE","9","3485.27258","0","3485.27258"
"SIN","NTE","10","3737.1163","0","3737.1163"
"SIN","NTE","11","3811.18061","0","3811.18061"
"SIN","NTE","12","3853.16811","0","3853.16811"
"SIN","NTE","13","3871.98729","0","3871.98729"
"SIN","NTE","14","3897.63739","0","3897.63739"
"SIN","NTE","15","3872.38221","0","3872.38221"
"SIN","NTE","16","3859.28123","0","3859.28123"
"SIN","NTE","17","3840.00525","0","3840.00525"
"SIN","NTE","18","3721.73826","0","3721.73826"
"SIN","NTE","19","3639.13175","0","3639.13175"
"SIN","NTE","20","3477.49674","0","3477.49674"
"SIN","NTE","21","3260.16832","0","3260.16832"
"SIN","NTE","22","3252.89581","0","3252.89581"
"SIN","NTE","23","3262.46259","0","3262.46259"
"SIN","NTE","24","3282.60467","0","3282.60467"
"SIN","OCC","1","7270.96225","0","7270.96225"
