"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 17/may/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 17/may/2019 12:40:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 3 (Dia de Operacion: 12/10/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1386.95884","144.22657","95.86449","1435.32092"
"BCA","BCA","2","1331.39782","143.72111","98.73033","1376.3886"
"BCA","BCA","3","1288.11197","130.44949","84.10884","1334.45262"
"BCA","BCA","4","1251.66329","126.46876","68.79822","1309.33383"
"BCA","BCA","5","1262.53987","124.02644","73.01969","1313.54662"
"BCA","BCA","6","1315.29819","135.77496","109.41617","1341.65698"
"BCA","BCA","7","1360.14547","144.90862","93.5978","1411.45629"
"BCA","BCA","8","1439.06774","171.3629","124.20831","1486.22233"
"BCA","BCA","9","1464.29668","218.22114","142.98926","1539.52856"
"BCA","BCA","10","1462.5637","257.65477","136.47964","1583.73883"
"BCA","BCA","11","1466.72622","323.20286","157.17132","1632.75776"
"BCA","BCA","12","1494.32632","290.10035","141.40135","1643.02532"
"BCA","BCA","13","1529.12138","156.91332","90.4328","1595.6019"
"BCA","BCA","14","1542.93224","120.62575","65.25282","1598.30517"
"BCA","BCA","15","1552.12293","119.36587","58.79692","1612.69188"
"BCA","BCA","16","1556.54264","117.60166","57.7906","1616.3537"
"BCA","BCA","17","1541.92841","109.20432","57.13708","1593.99565"
"BCA","BCA","18","1498.60167","100.35249","44.92342","1554.03074"
"BCA","BCA","19","1573.95759","88.07005","45.57632","1616.45132"
"BCA","BCA","20","1613.25067","90.67627","41.76574","1662.1612"
"BCA","BCA","21","1580.26097","93.96335","31.66367","1642.56065"
"BCA","BCA","22","1535.68972","92.76697","33.04842","1595.40827"
"BCA","BCA","23","1542.37803","106.19164","53.95702","1594.61265"
"BCA","BCA","24","1518.89621","98.75706","55.62269","1562.03058"
"BCS","BCS","1","293.40391","0","0","293.40391"
"BCS","BCS","2","282.2328","0","0","282.2328"
"BCS","BCS","3","276.42421","0","0","276.42421"
"BCS","BCS","4","266.0703","0","0","266.0703"
"BCS","BCS","5","241.03963","0","0","241.03963"
"BCS","BCS","6","255.90238","0","0","255.90238"
"BCS","BCS","7","266.04971","0","0","266.04971"
"BCS","BCS","8","270.34974","0","0","270.34974"
"BCS","BCS","9","290.06214","0","0","290.06214"
"BCS","BCS","10","310.32921","0","0","310.32921"
"BCS","BCS","11","326.17768","0","0","326.17768"
"BCS","BCS","12","333.15613","0","0","333.15613"
"BCS","BCS","13","335.31337","0","0","335.31337"
"BCS","BCS","14","339.28409","0","0","339.28409"
"BCS","BCS","15","342.70529","0","0","342.70529"
"BCS","BCS","16","350.75947","0","0","350.75947"
"BCS","BCS","17","354.1383","0","0","354.1383"
"BCS","BCS","18","348.21247","0","0","348.21247"
"BCS","BCS","19","336.4848","0","0","336.4848"
"BCS","BCS","20","346.98352","0","0","346.98352"
"BCS","BCS","21","346.58278","0","0","346.58278"
"BCS","BCS","22","341.42739","0","0","341.42739"
"BCS","BCS","23","331.24659","0","0","331.24659"
"BCS","BCS","24","312.28163","0","0","312.28163"
"SIN","CEN","1","4119.43696","0","0","4119.43696"
"SIN","CEN","2","3664.9357","0","0","3664.9357"
"SIN","CEN","3","3319.13567","0","0","3319.13567"
"SIN","CEN","4","3383.71859","0","0","3383.71859"
"SIN","CEN","5","3391.97172","0","0","3391.97172"
"SIN","CEN","6","3398.17874","0","0","3398.17874"
"SIN","CEN","7","3726.40627","0","0","3726.40627"
"SIN","CEN","8","3886.76477","0","0","3886.76477"
"SIN","CEN","9","4361.53889","0","0","4361.53889"
"SIN","CEN","10","4636.4815","0","0","4636.4815"
"SIN","CEN","11","4651.60885","0","0","4651.60885"
"SIN","CEN","12","4528.35717","0","0","4528.35717"
"SIN","CEN","13","4502.22911","0","0","4502.22911"
"SIN","CEN","14","4570.18585","0","0","4570.18585"
