"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 19/jun/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/jun/2019 12:40:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 3 (Dia de Operacion: 14/11/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1268.30439","58.63934","139.75242","1187.19131"
"BCA","BCA","2","1248.93265","28.247","128.99763","1148.18202"
"BCA","BCA","3","1248.0244","43.41248","165.52504","1125.91184"
"BCA","BCA","4","1257.72967","49.26481","182.04664","1124.94784"
"BCA","BCA","5","1293.073","101.32542","247.28531","1147.11311"
"BCA","BCA","6","1351.16359","109.52655","266.96763","1193.72251"
"BCA","BCA","7","1337.11092","86.05668","184.07194","1239.09566"
"BCA","BCA","8","1347.42373","37.54822","53.49189","1331.48006"
"BCA","BCA","9","1376.31114","54.21104","30.48235","1400.03983"
"BCA","BCA","10","1407.89146","21.86634","0.35113","1429.40667"
"BCA","BCA","11","1473.148","52.88981","63.69388","1462.34393"
"BCA","BCA","12","1466.47614","67.88419","54.32373","1480.0366"
"BCA","BCA","13","1471.83711","51.88572","31.07256","1492.65027"
"BCA","BCA","14","1471.43108","34.84149","10.54442","1495.72815"
"BCA","BCA","15","1486.07862","53.52808","51.75684","1487.84986"
"BCA","BCA","16","1501.01718","55.17134","80.67705","1475.51147"
"BCA","BCA","17","1562.19618","36.86258","117.77209","1481.28667"
"BCA","BCA","18","1624.77479","36.22063","77.00651","1583.98891"
"BCA","BCA","19","1633.61976","34.88935","85.48095","1583.02816"
"BCA","BCA","20","1633.51147","34.23586","112.57483","1555.1725"
"BCA","BCA","21","1610.90674","50.94779","141.95982","1519.89471"
"BCA","BCA","22","1499.96957","98.94667","144.33816","1454.57808"
"BCA","BCA","23","1404.92935","110.13659","155.28967","1359.77627"
"BCA","BCA","24","1339.74714","97.32299","166.31467","1270.75546"
"BCS","BCS","1","238.31094","0","0","238.31094"
"BCS","BCS","2","228.73846","0","0","228.73846"
"BCS","BCS","3","223.73182","0","0","223.73182"
"BCS","BCS","4","219.50235","0","0","219.50235"
"BCS","BCS","5","219.40927","0","0","219.40927"
"BCS","BCS","6","227.95213","0","0","227.95213"
"BCS","BCS","7","237.94185","0","0","237.94185"
"BCS","BCS","8","244.19679","0","0","244.19679"
"BCS","BCS","9","262.08518","0","0","262.08518"
"BCS","BCS","10","278.65927","0","0","278.65927"
"BCS","BCS","11","289.07273","0","0","289.07273"
"BCS","BCS","12","296.68744","0","0","296.68744"
"BCS","BCS","13","302.21062","0","0","302.21062"
"BCS","BCS","14","306.46289","0","0","306.46289"
"BCS","BCS","15","308.9196","0","0","308.9196"
"BCS","BCS","16","310.8315","0","0","310.8315"
"BCS","BCS","17","307.50161","0","0","307.50161"
"BCS","BCS","18","307.78231","0","0","307.78231"
"BCS","BCS","19","320.95823","0","0","320.95823"
"BCS","BCS","20","313.55918","0","0","313.55918"
"BCS","BCS","21","304.60257","0","0","304.60257"
"BCS","BCS","22","293.08566","0","0","293.08566"
"BCS","BCS","23","273.83999","0","0","273.83999"
"BCS","BCS","24","252.11573","0","0","252.11573"
"SIN","CEN","1","3840.62349","0","0","3840.62349"
"SIN","CEN","2","3057.69358","0","0","3057.69358"
"SIN","CEN","3","2703.19631","0","0","2703.19631"
"SIN","CEN","4","2717.47146","0","0","2717.47146"
