"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 04/jul/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 04/jul/2019 12:40:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 3 (Dia de Operacion: 29/11/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1334.47015","212.52865","313.5735","1233.4253"
"BCA","BCA","2","1349.69159","136.22624","283.67029","1202.24754"
"BCA","BCA","3","1357.48992","116.32386","295.0888","1178.72498"
"BCA","BCA","4","1344.46265","144.96503","324.58711","1164.84057"
"BCA","BCA","5","1330.9665","158.28097","312.13306","1177.11441"
"BCA","BCA","6","1325.44682","180.83886","287.48332","1218.80236"
"BCA","BCA","7","1396.96118","121.84325","236.06612","1282.73831"
"BCA","BCA","8","1369.90412","178.33438","167.63397","1380.60453"
"BCA","BCA","9","1404.1249","172.29997","153.01892","1423.40595"
"BCA","BCA","10","1412.29061","162.70249","150.53648","1424.45662"
"BCA","BCA","11","1429.14592","157.54135","135.4016","1451.28567"
"BCA","BCA","12","1454.45318","173.84593","146.73387","1481.56524"
"BCA","BCA","13","1459.06428","182.6175","161.70962","1479.97216"
"BCA","BCA","14","1465.2496","183.39921","165.7003","1482.94851"
"BCA","BCA","15","1474.84926","184.74677","172.77504","1486.82099"
"BCA","BCA","16","1539.022","197.6553","241.08631","1495.59099"
"BCA","BCA","17","1619.68863","193.15736","302.1332","1510.71279"
"BCA","BCA","18","1710.68886","60.25378","220.40434","1550.5383"
"BCA","BCA","19","1612.98947","106.63551","180.16709","1539.45789"
"BCA","BCA","20","1610.55987","163.40456","255.95493","1518.0095"
"BCA","BCA","21","1521.48419","153.7986","190.46229","1484.8205"
"BCA","BCA","22","1444.29044","187.52526","204.35361","1427.46209"
"BCA","BCA","23","1433.15655","129.64008","219.67968","1343.11695"
"BCA","BCA","24","1367.12991","101.75263","208.33954","1260.543"
"BCS","BCS","1","234.5453","0","0","234.5453"
"BCS","BCS","2","224.63354","0","0","224.63354"
"BCS","BCS","3","219.05205","0","0","219.05205"
"BCS","BCS","4","214.86253","0","0","214.86253"
