"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 05/ago/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/ago/2019 12:40:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 3 (Dia de Operacion: 31/12/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1103.74457","137.82448","158.94278","1082.62627"
"BCA","BCA","2","1082.49073","137.00545","182.15234","1037.34384"
"BCA","BCA","3","1072.70344","139.76842","205.69436","1006.7775"
"BCA","BCA","4","1073.65434","132.03055","219.14484","986.54005"
"BCA","BCA","5","1075.04224","125.25273","216.1852","984.10977"
"BCA","BCA","6","1089.81721","125.06523","219.96164","994.9208"
"BCA","BCA","7","1162.26529","67.92158","219.80849","1010.37838"
"BCA","BCA","8","1174.14331","16.41415","174.62794","1015.92952"
"BCA","BCA","9","1168.58295","16.47587","103.15661","1081.90221"
"BCA","BCA","10","1167.64738","32.85312","74.78065","1125.71985"
"BCA","BCA","11","1175.35012","74.99865","86.274","1164.07477"
"BCA","BCA","12","1180.40755","83.66894","83.09012","1180.98637"
"BCA","BCA","13","1174.83674","87.72967","81.19914","1181.36727"
"BCA","BCA","14","1189.17547","93.16258","87.92502","1194.41303"
"BCA","BCA","15","1197.04517","87.43225","95.51766","1188.95976"
"BCA","BCA","16","1205.45209","86.59026","84.33604","1207.70631"
"BCA","BCA","17","1279.36868","67.51197","87.36951","1259.51114"
"BCA","BCA","18","1320.13803","135.99101","84.64706","1371.48198"
"BCA","BCA","19","1340.17364","66.15807","59.65556","1346.67615"
"BCA","BCA","20","1291.99325","91.22769","98.48618","1284.73476"
"BCA","BCA","21","1257.68139","107.03782","152.71955","1211.99966"
"BCA","BCA","22","1242.44958","119.64569","208.5221","1153.57317"
"BCA","BCA","23","1177.73805","104.68894","172.24782","1110.17917"
"BCA","BCA","24","1170.13923","94.63416","189.39506","1075.37833"
"BCS","BCS","1","203.66526","0","0","203.66526"
"BCS","BCS","2","194.62384","0","0","194.62384"
"BCS","BCS","3","189.53246","0","0","189.53246"
"BCS","BCS","4","187.02816","0","0","187.02816"
"BCS","BCS","5","185.91802","0","0","185.91802"
"BCS","BCS","6","188.98751","0","0","188.98751"
"BCS","BCS","7","196.86767","0","0","196.86767"
"BCS","BCS","8","207.08527","0","0","207.08527"
"BCS","BCS","9","221.5336","0","0","221.5336"
"BCS","BCS","10","233.21462","0","0","233.21462"
"BCS","BCS","11","239.99376","0","0","239.99376"
"BCS","BCS","12","242.15713","0","0","242.15713"
"BCS","BCS","13","241.71434","0","0","241.71434"
"BCS","BCS","14","241.87104","0","0","241.87104"
"BCS","BCS","15","239.9747","0","0","239.9747"
"BCS","BCS","16","242.26969","0","0","242.26969"
"BCS","BCS","17","247.17765","0","0","247.17765"
"BCS","BCS","18","259.77311","0","0","259.77311"
"BCS","BCS","19","283.677","0","0","283.677"
"BCS","BCS","20","276.29653","0","0","276.29653"
"BCS","BCS","21","258.92752","0","0","258.92752"
"BCS","BCS","22","241.6206","0","0","241.6206"
"BCS","BCS","23","224.22021","0","0","224.22021"
"BCS","BCS","24","209.86922","0","0","209.86922"
"SIN","CEN","1","2320.7909","0","0","2320.7909"
"SIN","CEN","2","1625.77078","0","0","1625.77078"
"SIN","CEN","3","1416.1155","0","0","1416.1155"
"SIN","CEN","4","1435.07072","0","0","1435.07072"
"SIN","CEN","5","1415.69391","0","0","1415.69391"
"SIN","CEN","6","1425.27972","0","0","1425.27972"
"SIN","CEN","7","1422.60989","0","0","1422.60989"
"SIN","CEN","8","1633.59844","0","0","1633.59844"
"SIN","CEN","9","2247.84598","0","0","2247.84598"
"SIN","CEN","10","2988.59716","0","0","2988.59716"
"SIN","CEN","11","3078.58254","0","0","3078.58254"
"SIN","CEN","12","3239.83457","0","0","3239.83457"
"SIN","CEN","13","3216.71999","0","0","3216.71999"
"SIN","CEN","14","3053.46776","0","0","3053.46776"
"SIN","CEN","15","2715.94569","0","0","2715.94569"
"SIN","CEN","16","2628.12964","0","0","2628.12964"
"SIN","CEN","17","2529.95744","0","0","2529.95744"
"SIN","CEN","18","2849.8959","0","0","2849.8959"
"SIN","CEN","19","3509.99159","0","0","3509.99159"
"SIN","CEN","20","3622.88152","0","0","3622.88152"
"SIN","CEN","21","3300.48764","0","0","3300.48764"
"SIN","CEN","22","2892.59227","0","0","2892.59227"
"SIN","CEN","23","2221.50078","0","0","2221.50078"
"SIN","CEN","24","2000.70928","0","0","2000.70928"
"SIN","NES","1","9099.87304","0","0","9099.87304"
"SIN","NES","2","8884.44103","0","0","8884.44103"
"SIN","NES","3","8577.87011","0","0","8577.87011"
"SIN","NES","4","8474.74246","0","0","8474.74246"
"SIN","NES","5","8470.88622","0","0","8470.88622"
"SIN","NES","6","8573.5884","0","0","8573.5884"
"SIN","NES","7","8604.30839","0","0","8604.30839"
"SIN","NES","8","8746.74638","0","0","8746.74638"
"SIN","NES","9","9082.17523","0","0","9082.17523"
"SIN","NES","10","9118.88381","0","0","9118.88381"
"SIN","NES","11","9145.5344","0","0","9145.5344"
"SIN","NES","12","9014.06292","0","0","9014.06292"
"SIN","NES","13","8994.13636","0","0","8994.13636"
"SIN","NES","14","8939.37009","0","0","8939.37009"
"SIN","NES","15","8893.00807","0","0","8893.00807"
"SIN","NES","16","8791.62685","0","0","8791.62685"
"SIN","NES","17","8769.03244","0","0","8769.03244"
"SIN","NES","18","8862.06594","0","0","8862.06594"
"SIN","NES","19","8884.64662","0","0","8884.64662"
"SIN","NES","20","8933.84072","0","0","8933.84072"
"SIN","NES","21","8870.92519","0","0","8870.92519"
"SIN","NES","22","8878.09238","0","0","8878.09238"
"SIN","NES","23","8742.9664","0","0","8742.9664"
"SIN","NES","24","8493.24184","0","0","8493.24184"
"SIN","NOR","1","2071.15684","0","0","2071.15684"
"SIN","NOR","2","1883.27221","0","0","1883.27221"
"SIN","NOR","3","1855.00301","0","0","1855.00301"
"SIN","NOR","4","1855.51199","0","0","1855.51199"
"SIN","NOR","5","1853.2343","0","0","1853.2343"
"SIN","NOR","6","1858.89632","0","0","1858.89632"
"SIN","NOR","7","1855.59822","0","0","1855.59822"
"SIN","NOR","8","1858.74098","0","0","1858.74098"
"SIN","NOR","9","1861.15997","0","0","1861.15997"
"SIN","NOR","10","1866.99794","0","0","1866.99794"
"SIN","NOR","11","1851.39977","0","0","1851.39977"
"SIN","NOR","12","1841.8528","0","0","1841.8528"
"SIN","NOR","13","1832.76634","0","0","1832.76634"
"SIN","NOR","14","1832.28628","0","0","1832.28628"
"SIN","NOR","15","1790.97429","0","0","1790.97429"
"SIN","NOR","16","1800.81286","0","0","1800.81286"
"SIN","NOR","17","1796.4476","0","0","1796.4476"
"SIN","NOR","18","1795.51481","0","0","1795.51481"
"SIN","NOR","19","2155.56309","0","0","2155.56309"
"SIN","NOR","20","2384.32414","0","0","2384.32414"
"SIN","NOR","21","2200.49766","0","0","2200.49766"
"SIN","NOR","22","2016.83504","0","0","2016.83504"
"SIN","NOR","23","1918.2065","0","0","1918.2065"
"SIN","NOR","24","1808.54015","0","0","1808.54015"
"SIN","NTE","1","2336.76307","0","0","2336.76307"
"SIN","NTE","2","2328.20434","0","0","2328.20434"
"SIN","NTE","3","2256.04075","0","0","2256.04075"
"SIN","NTE","4","2094.46785","0","0","2094.46785"
"SIN","NTE","5","2070.94519","0","0","2070.94519"
"SIN","NTE","6","2082.19138","0","0","2082.19138"
"SIN","NTE","7","2039.73084","0","0","2039.73084"
"SIN","NTE","8","2046.55243","0","0","2046.55243"
"SIN","NTE","9","2143.08371","0","0","2143.08371"
"SIN","NTE","10","2668.16564","0","0","2668.16564"
"SIN","NTE","11","2749.39032","0","0","2749.39032"
"SIN","NTE","12","2801.55046","0","0","2801.55046"
"SIN","NTE","13","2815.46834","0","0","2815.46834"
"SIN","NTE","14","2812.51412","0","0","2812.51412"
"SIN","NTE","15","2831.86437","0","0","2831.86437"
"SIN","NTE","16","2837.36065","0","0","2837.36065"
"SIN","NTE","17","2761.31262","0","0","2761.31262"
"SIN","NTE","18","2417.73909","0","0","2417.73909"
"SIN","NTE","19","2443.58472","0","0","2443.58472"
"SIN","NTE","20","2529.37948","0","0","2529.37948"
"SIN","NTE","21","2533.81224","0","0","2533.81224"
"SIN","NTE","22","2482.87877","0","0","2482.87877"
"SIN","NTE","23","2470.89345","0","0","2470.89345"
"SIN","NTE","24","2421.69254","0","0","2421.69254"
"SIN","OCC","1","3551.6745","0","0","3551.6745"
"SIN","OCC","2","3492.49392","0","0","3492.49392"
"SIN","OCC","3","3368.75956","0","0","3368.75956"
"SIN","OCC","4","3326.23021","0","0","3326.23021"
"SIN","OCC","5","3392.05107","0","0","3392.05107"
"SIN","OCC","6","3391.5769","0","0","3391.5769"
"SIN","OCC","7","3454.9754","0","0","3454.9754"
"SIN","OCC","8","3507.11519","0","0","3507.11519"
"SIN","OCC","9","3593.10522","0","0","3593.10522"
"SIN","OCC","10","3717.83872","0","0","3717.83872"
"SIN","OCC","11","4099.57573","0","0","4099.57573"
"SIN","OCC","12","4335.2399","0","0","4335.2399"
"SIN","OCC","13","4321.31968","0","0","4321.31968"
"SIN","OCC","14","3970.24054","0","0","3970.24054"
"SIN","OCC","15","3808.66529","0","0","3808.66529"
"SIN","OCC","16","3798.93823","0","0","3798.93823"
"SIN","OCC","17","3787.06738","0","0","3787.06738"
"SIN","OCC","18","3690.72732","0","0","3690.72732"
"SIN","OCC","19","4201.5974","0","0","4201.5974"
"SIN","OCC","20","4252.2679","0","0","4252.2679"
"SIN","OCC","21","3849.1705","0","0","3849.1705"
"SIN","OCC","22","3320.52039","0","0","3320.52039"
"SIN","OCC","23","3298.45017","0","0","3298.45017"
"SIN","OCC","24","3267.4688","0","0","3267.4688"
"SIN","ORI","1","6146.32692","11.13017","90","6067.45709"
"SIN","ORI","2","6081.0443","3.32206","60","6024.36636"
"SIN","ORI","3","5872.49567","0","11.24042","5861.25525"
"SIN","ORI","4","5758.48768","0","10.72557","5747.76211"
"SIN","ORI","5","5579.55039","0","60.65984","5518.89055"
"SIN","ORI","6","5796.57916","5.52824","120","5682.1074"
"SIN","ORI","7","6349.77781","6.02139","120","6235.7992"
"SIN","ORI","8","6384.98624","1.57619","120","6266.56243"
"SIN","ORI","9","6253.51434","0","131.35098","6122.16336"
"SIN","ORI","10","6012.8003","0","134.1007","5878.6996"
"SIN","ORI","11","6045.88958","0","126.19192","5919.69766"
"SIN","ORI","12","5975.39227","0","122.21721","5853.17506"
"SIN","ORI","13","6051.1787","0","125.72026","5925.45844"
"SIN","ORI","14","6425.80191","6.83323","120","6312.63514"
"SIN","ORI","15","6597.37456","0","126.40432","6470.97024"
"SIN","ORI","16","6666.1165","3.34314","120","6549.45964"
"SIN","ORI","17","6772.63824","15.5073","120","6668.14554"
"SIN","ORI","18","7011.52848","111","139.78309","6982.74539"
"SIN","ORI","19","7478.77471","11.59545","120","7370.37016"
"SIN","ORI","20","7956.25283","14.76067","120","7851.0135"
"SIN","ORI","21","7685.91853","0","121.22762","7564.69091"
"SIN","ORI","22","7293.57227","9.28385","120","7182.85612"
"SIN","ORI","23","7002.44237","4","120.15453","6886.28784"
"SIN","ORI","24","6733.02796","0","120.10355","6612.92441"
"SIN","PEN","1","360.948182117","0","47.565622315","313.382559802"
"SIN","PEN","2","342.657816634","0","45.726830076","296.930986558"
"SIN","PEN","3","361.965060117","0","43.509402832","318.455657285"
"SIN","PEN","4","375.744765167","0","41.751590332","333.993174835"
"SIN","PEN","5","390.589355496","0","41.45222412","349.137131376"
"SIN","PEN","6","384.012326329","0","42.168058593","341.844267736"
"SIN","PEN","7","387.016491311","0","39.763005615","347.253485696"
"SIN","PEN","8","391.681397048","0","45.046376466","346.635020582"
"SIN","PEN","9","388.994790111","0","47.725698733","341.269091378"
"SIN","PEN","10","466.960364853","0","47.38534253","419.575022323"
"SIN","PEN","11","490.282083018","0","47.846109376","442.435973642"
"SIN","PEN","12","481.818046238","0","47.609088869","434.208957369"
"SIN","PEN","13","480.739642383","0","46.381731446","434.357910937"
"SIN","PEN","14","495.871956406","0","46.602263427","449.269692979"
"SIN","PEN","15","462.057742176","0","46.97742456","415.080317616"
"SIN","PEN","16","485.579362216","0","47.671221925","437.908140291"
"SIN","PEN","17","490.983769859","0","47.497137695","443.486632164"
"SIN","PEN","18","508.442387644","0","17.400797301","491.041590343"
"SIN","PEN","19","592.056783295","0","17.070957275","574.98582602"
"SIN","PEN","20","601.991874344","0","16.708704835","585.283169509"
"SIN","PEN","21","547.367383579","0","15.40695105","531.960432529"
"SIN","PEN","22","466.260641713","0","13.933671752","452.326969961"
"SIN","PEN","23","439.398471617","0","10.909225465","428.489246152"
"SIN","PEN","24","442.975289148","0","10.348696779","432.626592369"
