"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 30/mar/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 30/mar/2019 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 02/02/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1184.81047","84.02442","80.53292","1188.30197"
"BCA","BCA","2","1155.63695","75.19806","86.16922","1144.66579"
"BCA","BCA","3","1152.17769","62.78423","94.60779","1120.35413"
"BCA","BCA","4","1142.32101","61.133","98.11949","1105.33452"
"BCA","BCA","5","1150.48032","62.64878","90.36558","1122.76352"
"BCA","BCA","6","1180.70375","79.83081","91.02918","1169.50538"
"BCA","BCA","7","1210.34213","62.69126","26.56178","1246.47161"
"BCA","BCA","8","1279.78785","46.68885","0","1326.4767"
"BCA","BCA","9","1310.40255","48.47884","5.53276","1353.34863"
"BCA","BCA","10","1348.55834","72.02997","30.31363","1390.27468"
"BCA","BCA","11","1368.09003","105.58114","39.43549","1434.23568"
"BCA","BCA","12","1402.21848","90.66448","30.61611","1462.26685"
"BCA","BCA","13","1409.40059","93.09434","32.12509","1470.36984"
"BCA","BCA","14","1405.77303","76.1545","8.97151","1472.95602"
"BCA","BCA","15","1427.09277","74.45974","29.12335","1472.42916"
"BCA","BCA","16","1428.1801","80.80286","47.4114","1461.57156"
"BCA","BCA","17","1387.8828","68.59783","29.57709","1426.90354"
"BCA","BCA","18","1423.03927","70.88605","30.69012","1463.2352"
"BCA","BCA","19","1462.49376","83.74597","39.96057","1506.27916"
"BCA","BCA","20","1440.14869","63.77033","19.88686","1484.03216"
"BCA","BCA","21","1389.23355","49.7724","6.17015","1432.8358"
"BCA","BCA","22","1351.98545","43.86894","0.20664","1395.64775"
"BCA","BCA","23","1273.06147","44.56843","3.50483","1314.12507"
"BCA","BCA","24","1219.79244","75.38718","57.21332","1237.9663"
"BCS","BCS","1","198.82151","0","0","198.82151"
"BCS","BCS","2","190.93876","0","0","190.93876"
"BCS","BCS","3","187.49775","0","0","187.49775"
"BCS","BCS","4","186.1853","0","0","186.1853"
"BCS","BCS","5","187.90154","0","0","187.90154"
"BCS","BCS","6","196.79781","0","0","196.79781"
"BCS","BCS","7","212.49328","0","0","212.49328"
"BCS","BCS","8","222.25666","0","0","222.25666"
"BCS","BCS","9","234.99609","0","0","234.99609"
"BCS","BCS","10","247.6906","0","0","247.6906"
"BCS","BCS","11","255.95392","0","0","255.95392"
"BCS","BCS","12","261.16716","0","0","261.16716"
"BCS","BCS","13","264.8463","0","0","264.8463"
"BCS","BCS","14","265.3762","0","0","265.3762"
"BCS","BCS","15","267.59013","0","0","267.59013"
"BCS","BCS","16","268.63435","0","0","268.63435"
"BCS","BCS","17","265.48074","0","0","265.48074"
"BCS","BCS","18","264.58512","0","0","264.58512"
"BCS","BCS","19","280.77267","0","0","280.77267"
"BCS","BCS","20","285.00761","0","0","285.00761"
"BCS","BCS","21","276.88407","0","0","276.88407"
"BCS","BCS","22","264.73877","0","0","264.73877"
"BCS","BCS","23","247.18092","0","0","247.18092"
"BCS","BCS","24","227.81151","0","0","227.81151"
"SIN","CEN","1","3506.40154","0","0","3506.40154"
"SIN","CEN","2","2914.42295","0","0","2914.42295"
"SIN","CEN","3","2654.47629","0","0","2654.47629"
"SIN","CEN","4","2543.13913","0","0","2543.13913"
"SIN","CEN","5","2254.22831","0","0","2254.22831"
"SIN","CEN","6","2647.74457","0","0","2647.74457"
"SIN","CEN","7","3529.78761","0","0","3529.78761"
"SIN","CEN","8","3565.58418","0","0","3565.58418"
"SIN","CEN","9","3711.21494","0","0","3711.21494"
"SIN","CEN","10","3889.24237","0","0","3889.24237"
"SIN","CEN","11","4041.16616","0","0","4041.16616"
"SIN","CEN","12","4037.84287","0","0","4037.84287"
"SIN","CEN","13","4071.68048","0","0","4071.68048"
"SIN","CEN","14","4022.41279","0","0","4022.41279"
"SIN","CEN","15","4023.50446","0","0","4023.50446"
"SIN","CEN","16","4018.92728","0","0","4018.92728"
