"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 19/abr/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/abr/2019 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 08/03/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1175.21594","96.60673","84.2096","1187.61307"
"BCA","BCA","2","1138.28017","104.88486","98.42859","1144.73644"
"BCA","BCA","3","1126.7655","101.19837","112.1034","1115.86047"
"BCA","BCA","4","1130.53306","90.60999","110.12988","1111.01317"
"BCA","BCA","5","1152.32896","87.01433","107.49306","1131.85023"
"BCA","BCA","6","1213.05684","96.8966","128.91823","1181.03521"
"BCA","BCA","7","1268.49171","100.26555","122.25988","1246.49738"
"BCA","BCA","8","1321.57789","129.09464","115.05367","1335.61886"
"BCA","BCA","9","1378.25348","159.20845","142.721","1394.74093"
"BCA","BCA","10","1414.79246","138.51782","126.76467","1426.54561"
"BCA","BCA","11","1450.66511","124.00264","110.16791","1464.49984"
"BCA","BCA","12","1471.90961","120.25014","109.48042","1482.67933"
"BCA","BCA","13","1472.02797","121.86621","107.08403","1486.81015"
"BCA","BCA","14","1480.6787","119.86653","109.65837","1490.88686"
"BCA","BCA","15","1485.33164","101.35678","90.62869","1496.05973"
"BCA","BCA","16","1484.61492","67.46629","61.82911","1490.2521"
"BCA","BCA","17","1468.25652","120.54033","112.64591","1476.15094"
"BCA","BCA","18","1465.33716","118.76933","110.29475","1473.81174"
"BCA","BCA","19","1547.98913","114.37554","99.57393","1562.79074"
"BCA","BCA","20","1546.61675","95.4881","82.2588","1559.84605"
"BCA","BCA","21","1505.48686","88.78903","77.54174","1516.73415"
"BCA","BCA","22","1451.15484","94.9207","87.61229","1458.46325"
"BCA","BCA","23","1351.31663","96.61638","88.51464","1359.41837"
"BCA","BCA","24","1266.62211","110.78789","105.64502","1271.76498"
"BCS","BCS","1","207.11124","0","0","207.11124"
"BCS","BCS","2","198.30264","0","0","198.30264"
"BCS","BCS","3","191.88366","0","0","191.88366"
"BCS","BCS","4","189.8403","0","0","189.8403"
"BCS","BCS","5","190.25703","0","0","190.25703"
"BCS","BCS","6","199.40967","0","0","199.40967"
"BCS","BCS","7","213.24342","0","0","213.24342"
"BCS","BCS","8","222.90149","0","0","222.90149"
"BCS","BCS","9","236.8896","0","0","236.8896"
"BCS","BCS","10","246.31525","0","0","246.31525"
"BCS","BCS","11","253.37987","0","0","253.37987"
"BCS","BCS","12","258.94547","0","0","258.94547"
"BCS","BCS","13","264.37613","0","0","264.37613"
"BCS","BCS","14","267.97982","0","0","267.97982"
"BCS","BCS","15","269.03654","0","0","269.03654"
"BCS","BCS","16","271.84498","0","0","271.84498"
"BCS","BCS","17","268.367","0","0","268.367"
"BCS","BCS","18","266.06231","0","0","266.06231"
"BCS","BCS","19","274.44197","0","0","274.44197"
"BCS","BCS","20","287.0103","0","0","287.0103"
"BCS","BCS","21","280.81611","0","0","280.81611"
"BCS","BCS","22","268.44635","0","0","268.44635"
"BCS","BCS","23","247.43702","0","0","247.43702"
"BCS","BCS","24","225.78474","0","0","225.78474"
"SIN","CEN","1","2957.50858","0","0","2957.50858"
"SIN","CEN","2","2811.94569","0","0","2811.94569"
"SIN","CEN","3","2807.51604","0","0","2807.51604"
"SIN","CEN","4","2824.19208","0","0","2824.19208"
"SIN","CEN","5","2810.09049","0","0","2810.09049"
"SIN","CEN","6","2991.50676","0","0","2991.50676"
"SIN","CEN","7","4364.49094","0","0","4364.49094"
"SIN","CEN","8","4649.94909","0","0","4649.94909"
"SIN","CEN","9","5057.122608048","0","0","5057.122608048"
"SIN","CEN","10","5563.05518926","0","0","5563.05518926"
"SIN","CEN","11","5617.68986339","0","0","5617.68986339"
"SIN","CEN","12","5588.20274907","0","0","5588.20274907"
"SIN","CEN","13","5551.60194426","0","0","5551.60194426"
"SIN","CEN","14","5531.8461113","0","0","5531.8461113"
"SIN","CEN","15","5512.60830145","0","0","5512.60830145"
"SIN","CEN","16","5518.84025306","0","0","5518.84025306"
"SIN","CEN","17","5515.90251258","0","0","5515.90251258"
"SIN","CEN","18","5551.53888665","0","0","5551.53888665"
"SIN","CEN","19","5637.86112349","0","0","5637.86112349"
"SIN","CEN","20","5683.23461819","0","0","5683.23461819"
"SIN","CEN","21","5653.5438743","0","0","5653.5438743"
"SIN","CEN","22","5601.983194","0","0","5601.983194"
"SIN","CEN","23","5108.89174675","0","0","5108.89174675"
"SIN","CEN","24","4457.62933313","0","0","4457.62933313"
"SIN","NES","1","9223.0614192438","311","1","9533.0614192438"
"SIN","NES","2","8876.848452448509","285","1","9160.848452448509"
"SIN","NES","3","8448.9859374318","256","1","8703.9859374318"
"SIN","NES","4","8425.405328265","217","0","8642.405328265"
"SIN","NES","5","8133.91933017241","190","1","8322.91933017241"
"SIN","NES","6","8474.8011935427","256","4","8726.8011935427"
"SIN","NES","7","8904.66471622641","8","0","8912.66471622641"
"SIN","NES","8","8945.158617699","165","5","9105.158617699"
