"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 12/sep/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 12/sep/2019 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 03/08/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","2171.64856","419.30859","327.74327","2263.21388"
"BCA","BCA","2","2087.27744","378.39431","301.32941","2164.34234"
"BCA","BCA","3","2026.99269","359.25272","298.11847","2088.12694"
"BCA","BCA","4","1993.52946","299.57802","257.77464","2035.33284"
"BCA","BCA","5","1924.71679","328.33977","254.19143","1998.86513"
"BCA","BCA","6","1912.42147","301.79003","250.15281","1964.05869"
"BCA","BCA","7","1824.63365","425.25831","292.27082","1957.62114"
"BCA","BCA","8","1945.78679","439.91632","276.33564","2109.36747"
"BCA","BCA","9","2011.29741","569.26372","321.36887","2259.19226"
"BCA","BCA","10","2115.00694","628.37847","356.42957","2386.95584"
"BCA","BCA","11","2184.82947","679.64225","357.81496","2506.65676"
"BCA","BCA","12","2192.54912","765.1376","377.11587","2580.57085"
"BCA","BCA","13","2203.57629","765.31545","367.74524","2601.1465"
"BCA","BCA","14","2266.20283","839.02257","442.23862","2662.98678"
"BCA","BCA","15","2297.02999","817.63046","424.58162","2690.07883"
"BCA","BCA","16","2308.21175","805.86736","412.56585","2701.51326"
"BCA","BCA","17","2289.59945","822.57275","429.89755","2682.27465"
"BCA","BCA","18","2239.16107","815.56261","434.37998","2620.3437"
"BCA","BCA","19","2251.16549","668.61292","354.53783","2565.24058"
"BCA","BCA","20","2241.67844","598.35735","320.65221","2519.38358"
"BCA","BCA","21","2216.95397","641.21256","296.92128","2561.24525"
"BCA","BCA","22","2229.89492","651.41097","360.48869","2520.8172"
"BCA","BCA","23","2194.11386","642.62122","359.93951","2476.79557"
"BCA","BCA","24","2168.90173","572.49957","338.85403","2402.54727"
"BCS","BCS","1","435.59413","0","0","435.59413"
"BCS","BCS","2","414.67899","0","0","414.67899"
"BCS","BCS","3","395.50564","0","0","395.50564"
"BCS","BCS","4","381.98996","0","0","381.98996"
"BCS","BCS","5","371.62307","0","0","371.62307"
"BCS","BCS","6","362.32633","0","0","362.32633"
"BCS","BCS","7","351.608","0","0","351.608"
"BCS","BCS","8","345.79308","0","0","345.79308"
"BCS","BCS","9","369.69657","0","0","369.69657"
"BCS","BCS","10","396.79258","0","0","396.79258"
"BCS","BCS","11","415.13034","0","0","415.13034"
"BCS","BCS","12","425.58225","0","0","425.58225"
"BCS","BCS","13","437.52856","0","0","437.52856"
"BCS","BCS","14","449.79257","0","0","449.79257"
"BCS","BCS","15","464.17744","0","0","464.17744"
"BCS","BCS","16","476.22269","0","0","476.22269"
"BCS","BCS","17","481.92918","0","0","481.92918"
"BCS","BCS","18","476.79919","0","0","476.79919"
"BCS","BCS","19","460.5963","0","0","460.5963"
"BCS","BCS","20","438.17325","0","0","438.17325"
"BCS","BCS","21","444.59794","0","0","444.59794"
"BCS","BCS","22","455.96218","0","0","455.96218"
"BCS","BCS","23","461.72783","0","0","461.72783"
"BCS","BCS","24","454.27036","0","0","454.27036"
"SIN","CEN","1","4035.56501","0","0","4035.56501"
"SIN","CEN","2","4029.18351","0","0","4029.18351"
"SIN","CEN","3","4029.98322","0","0","4029.98322"
"SIN","CEN","4","4035.96818","0","0","4035.96818"
"SIN","CEN","5","4069.24785","0","0","4069.24785"
"SIN","CEN","6","4117.25823","0","0","4117.25823"
"SIN","CEN","7","4113.35577","0","0","4113.35577"
"SIN","CEN","8","4225.89759","0","0","4225.89759"
"SIN","CEN","9","4247.11974","0","0","4247.11974"
"SIN","CEN","10","4426.13659","0","0","4426.13659"
"SIN","CEN","11","4471.75014","0","0","4471.75014"
"SIN","CEN","12","4472.81712","0","0","4472.81712"
"SIN","CEN","13","4453.70286","0","0","4453.70286"
"SIN","CEN","14","4551.40872","0","0","4551.40872"
"SIN","CEN","15","4517.76294","0","0","4517.76294"
"SIN","CEN","16","4500.89295","0","0","4500.89295"
"SIN","CEN","17","4501.16135","0","0","4501.16135"
"SIN","CEN","18","4515.80911","0","0","4515.80911"
"SIN","CEN","19","4447.24219","0","0","4447.24219"
"SIN","CEN","20","4387.52601","0","0","4387.52601"
"SIN","CEN","21","4647.31847","0","0","4647.31847"
"SIN","CEN","22","4616.12259","0","0","4616.12259"
"SIN","CEN","23","4650.16012","0","0","4650.16012"
"SIN","CEN","24","4311.24252","0","0","4311.24252"
"SIN","NES","1","11410.46244","356","0","11766.46244"
"SIN","NES","2","11403.46995","361","1","11763.46995"
"SIN","NES","3","11289.76655","361","1","11649.76655"
"SIN","NES","4","11305.88519","361","1","11665.88519"
"SIN","NES","5","11351.22182","361","1","11711.22182"
"SIN","NES","6","11397.36835","361","1","11757.36835"
"SIN","NES","7","11282.37951","360","1","11641.37951"
"SIN","NES","8","11295.99655","360","4","11651.99655"
"SIN","NES","9","11299.01284","320","2","11617.01284"
"SIN","NES","10","11013.39715","270","3","11280.39715"
"SIN","NES","11","11040.65782","210","5","11245.65782"
"SIN","NES","12","11244.97445","110","1","11353.97445"
"SIN","NES","13","11659.51581","100","1","11758.51581"
"SIN","NES","14","11883.93116","100","0","11983.93116"
"SIN","NES","15","11965.10144","90","0","12055.10144"
