"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 17/oct/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 17/oct/2019 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 11/09/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1902.84492","152.75969","74.37928","1981.22533"
"BCA","BCA","2","1842.48835","121.65101","65.54222","1898.59714"
"BCA","BCA","3","1778.74333","133.39808","84.39342","1827.74799"
"BCA","BCA","4","1731.49171","128.73951","85.28061","1774.95061"
"BCA","BCA","5","1689.51106","127.7712","84.1869","1733.09536"
"BCA","BCA","6","1689.55499","125.97011","85.95191","1729.57319"
"BCA","BCA","7","1702.90451","140.16346","85.31021","1757.75776"
"BCA","BCA","8","1782.01201","150.68693","79.37874","1853.3202"
"BCA","BCA","9","1892.28243","119.97128","57.17895","1955.07476"
"BCA","BCA","10","1945.97436","168.756","49.28827","2065.44209"
"BCA","BCA","11","2080.07194","110.51293","12.90036","2177.68451"
"BCA","BCA","12","2090.82132","218.49978","44.34803","2264.97307"
"BCA","BCA","13","2114.66651","261.07947","13.26455","2362.48143"
"BCA","BCA","14","2106.10519","292.27217","10.92053","2387.45683"
"BCA","BCA","15","2111.86937","311.68978","22.78823","2400.77092"
"BCA","BCA","16","2128.87496","362.33621","50.75784","2440.45333"
"BCA","BCA","17","2129.82458","331","14.9999","2445.82468"
"BCA","BCA","18","2138.66933","304.82959","41.5477","2401.95122"
"BCA","BCA","19","2149.88557","233.89573","20.85928","2362.92202"
"BCA","BCA","20","2160.6895","285.94523","15.27957","2431.35516"
"BCA","BCA","21","2145.75607","296.48731","24.70372","2417.53966"
"BCA","BCA","22","2130.09397","259.66054","68.92592","2320.82859"
"BCA","BCA","23","2093.38781","129.1675","20.92403","2201.63128"
"BCA","BCA","24","1992.50584","84.76326","24.66483","2052.60427"
"BCS","BCS","1","380.57196","0","0","380.57196"
"BCS","BCS","2","362.74985","0","0","362.74985"
"BCS","BCS","3","347.3884","0","0","347.3884"
"BCS","BCS","4","333.16254","0","0","333.16254"
"BCS","BCS","5","323.14002","0","0","323.14002"
"BCS","BCS","6","318.07815","0","0","318.07815"
"BCS","BCS","7","310.73229","0","0","310.73229"
"BCS","BCS","8","309.15956","0","0","309.15956"
"BCS","BCS","9","331.97531","0","0","331.97531"
"BCS","BCS","10","356.01486","0","0","356.01486"
"BCS","BCS","11","371.96025","0","0","371.96025"
"BCS","BCS","12","384.67758","0","0","384.67758"
"BCS","BCS","13","395.90675","0","0","395.90675"
"BCS","BCS","14","409.14585","0","0","409.14585"
"BCS","BCS","15","424.14601","0","0","424.14601"
"BCS","BCS","16","431.94566","0","0","431.94566"
"BCS","BCS","17","438.30536","0","0","438.30536"
"BCS","BCS","18","434.90235","0","0","434.90235"
"BCS","BCS","19","419.27644","0","0","419.27644"
"BCS","BCS","20","410.74553","0","0","410.74553"
"BCS","BCS","21","425.55311","0","0","425.55311"
"BCS","BCS","22","436.31662","0","0","436.31662"
"BCS","BCS","23","433.4032","0","0","433.4032"
"BCS","BCS","24","414.50186","0","0","414.50186"
"SIN","CEN","1","4593.52823","0","0","4593.52823"
"SIN","CEN","2","4471.83208","0","0","4471.83208"
"SIN","CEN","3","4212.68383","0","0","4212.68383"
"SIN","CEN","4","4165.84666","0","0","4165.84666"
"SIN","CEN","5","4205.45468","0","0","4205.45468"
"SIN","CEN","6","4199.61301","0","0","4199.61301"
"SIN","CEN","7","4294.26852","0","0","4294.26852"
"SIN","CEN","8","4541.69531","0","0","4541.69531"
"SIN","CEN","9","4565.69578","0","0","4565.69578"
"SIN","CEN","10","4415.4933","0","0","4415.4933"
"SIN","CEN","11","4598.16209","0","0","4598.16209"
"SIN","CEN","12","4732.4936","0","0","4732.4936"
"SIN","CEN","13","5077.57242","0","0","5077.57242"
"SIN","CEN","14","5201.95667","0","0","5201.95667"
"SIN","CEN","15","5206.61","0","0","5206.61"
"SIN","CEN","16","5316.15459","0","0","5316.15459"
"SIN","CEN","17","5430.47973","0","0","5430.47973"
"SIN","CEN","18","4911.64966","0","0","4911.64966"
"SIN","CEN","19","4846.51894","0","0","4846.51894"
"SIN","CEN","20","4797.75553","0","0","4797.75553"
"SIN","CEN","21","4900.65505","0","0","4900.65505"
"SIN","CEN","22","4755.64527","0","0","4755.64527"
"SIN","CEN","23","4651.52829","0","0","4651.52829"
"SIN","CEN","24","4622.45798","0","0","4622.45798"
"SIN","NES","1","10463.77312","396","2","10857.77312"
"SIN","NES","2","10544.14086","225","0","10769.14086"
"SIN","NES","3","10633.31387","88","0","10721.31387"
"SIN","NES","4","10606.33002","227","0","10833.33002"
"SIN","NES","5","10414.0178","114","0","10528.0178"
"SIN","NES","6","10596.56336","191","0","10787.56336"
"SIN","NES","7","10601.60466","411","1","11011.60466"
"SIN","NES","8","10683.41825","411","1","11093.41825"
"SIN","NES","9","10791.51544","411","1","11201.51544"
"SIN","NES","10","10797.58113","411","1","11207.58113"
"SIN","NES","11","10610.35831","123","1","10732.35831"
"SIN","NES","12","10610.22822","120","1","10729.22822"
"SIN","NES","13","10576.4981","120","1","10695.4981"
"SIN","NES","14","10739.27984","120","1","10858.27984"
"SIN","NES","15","10612.9494","120","1","10731.9494"
"SIN","NES","16","10341.58521","120","1","10460.58521"
"SIN","NES","17","10420.0785","120","1","10539.0785"
"SIN","NES","18","10722.61247","170","1","10891.61247"
"SIN","NES","19","10778.08092","200","1","10977.08092"
"SIN","NES","20","10809.44952","220","1","11028.44952"
"SIN","NES","21","10972.36386","240","1","11211.36386"
"SIN","NES","22","11101.53036","250","1","11350.53036"
