"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 13/nov/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 13/nov/2019 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 03/10/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1640.81342","101.24512","49.67907","1692.37947"
"BCA","BCA","2","1573.32715","118.33379","68.43659","1623.22435"
"BCA","BCA","3","1527.86078","126.64802","85.85473","1568.65407"
"BCA","BCA","4","1491.5044","139.59242","96.73627","1534.36055"
"BCA","BCA","5","1419.10911","222.35209","129.76132","1511.69988"
"BCA","BCA","6","1425.76784","246.06371","154.61077","1517.22078"
"BCA","BCA","7","1481.2073","223.93893","146.56727","1558.57896"
"BCA","BCA","8","1555.19436","239.70514","137.86402","1657.03548"
"BCA","BCA","9","1614.32401","181.79749","68.77509","1727.34641"
"BCA","BCA","10","1663.21218","235.15396","93.23071","1805.13543"
"BCA","BCA","11","1727.89672","213.46877","63.05805","1878.30744"
"BCA","BCA","12","1778.13537","215.56631","67.07075","1926.63093"
"BCA","BCA","13","1768.36324","269.50617","84.04189","1953.82752"
"BCA","BCA","14","1788.35574","260.25204","77.52961","1971.07817"
"BCA","BCA","15","1778.53602","194.75466","21.88148","1951.4092"
"BCA","BCA","16","1797.01151","197.68467","25.65301","1969.04317"
"BCA","BCA","17","1809.6667","231.8454","86.99504","1954.51706"
"BCA","BCA","18","1768.32838","221.97322","95.14244","1895.15916"
"BCA","BCA","19","1786.09764","258.10455","100.23901","1943.96318"
"BCA","BCA","20","1843.44445","294.28294","93.22226","2044.50513"
"BCA","BCA","21","1844.26041","238.10078","70.74634","2011.61485"
"BCA","BCA","22","1820.96726","193.22136","76.91757","1937.27105"
"BCA","BCA","23","1779.60908","110.07179","71.55495","1818.12592"
"BCA","BCA","24","1665.09757","133.21515","98.99283","1699.31989"
"BCS","BCS","1","379.70497","0","0","379.70497"
"BCS","BCS","2","360.67148","0","0","360.67148"
"BCS","BCS","3","345.03271","0","0","345.03271"
"BCS","BCS","4","332.14115","0","0","332.14115"
"BCS","BCS","5","320.3229","0","0","320.3229"
"BCS","BCS","6","311.83406","0","0","311.83406"
"BCS","BCS","7","307.10967","0","0","307.10967"
"BCS","BCS","8","303.40418","0","0","303.40418"
"BCS","BCS","9","324.37336","0","0","324.37336"
"BCS","BCS","10","345.98448","0","0","345.98448"
"BCS","BCS","11","363.77053","0","0","363.77053"
"BCS","BCS","12","375.20589","0","0","375.20589"
"BCS","BCS","13","385.06774","0","0","385.06774"
"BCS","BCS","14","395.88414","0","0","395.88414"
"BCS","BCS","15","411.20461","0","0","411.20461"
"BCS","BCS","16","428.84696","0","0","428.84696"
"BCS","BCS","17","434.5004","0","0","434.5004"
"BCS","BCS","18","424.56868","0","0","424.56868"
"BCS","BCS","19","407.33461","0","0","407.33461"
"BCS","BCS","20","416.59155","0","0","416.59155"
"BCS","BCS","21","428.09492","0","0","428.09492"
"BCS","BCS","22","435.87793","0","0","435.87793"
"BCS","BCS","23","431.01452","0","0","431.01452"
"BCS","BCS","24","410.08414","0","0","410.08414"
"SIN","CEN","1","2923.16499","0","0","2923.16499"
"SIN","CEN","2","2564.96506","0","0","2564.96506"
"SIN","CEN","3","2526.12725","0","0","2526.12725"
"SIN","CEN","4","2537.16386","0","0","2537.16386"
"SIN","CEN","5","2573.53613","0","0","2573.53613"
"SIN","CEN","6","2539.54073","0","0","2539.54073"
"SIN","CEN","7","2580.89252","0","0","2580.89252"
"SIN","CEN","8","3097.02989","0","0","3097.02989"
"SIN","CEN","9","3372.64081","0","0","3372.64081"
"SIN","CEN","10","3659.49475","0","0","3659.49475"
"SIN","CEN","11","3935.14048","0","0","3935.14048"
"SIN","CEN","12","3918.61841","0","0","3918.61841"
"SIN","CEN","13","3872.78615","0","0","3872.78615"
"SIN","CEN","14","3891.22151","0","0","3891.22151"
"SIN","CEN","15","4185.65792","0","0","4185.65792"
"SIN","CEN","16","4653.65632","0","0","4653.65632"
"SIN","CEN","17","4710.65722","0","0","4710.65722"
"SIN","CEN","18","4234.2892","0","0","4234.2892"
"SIN","CEN","19","4077.72062","0","0","4077.72062"
"SIN","CEN","20","4235.8407","0","0","4235.8407"
"SIN","CEN","21","4737.19887","0","0","4737.19887"
"SIN","CEN","22","4711.07548","0","0","4711.07548"
"SIN","CEN","23","4318.46655","0","0","4318.46655"
"SIN","CEN","24","3865.19829","0","0","3865.19829"
"SIN","NES","1","10022.3869","272","4","10290.3869"
"SIN","NES","2","10042.9547","1","0","10043.9547"
"SIN","NES","3","9481.56215","0","0","9481.56215"
"SIN","NES","4","9219.67347","0","0","9219.67347"
"SIN","NES","5","9180.81414","0","0","9180.81414"
"SIN","NES","6","9029.53222","0","0","9029.53222"
"SIN","NES","7","9539.22956","1","0","9540.22956"
"SIN","NES","8","9868.62618","34","1","9901.62618"
"SIN","NES","9","10064.4358","51","0","10115.4358"
"SIN","NES","10","10255.74077","66","0","10321.74077"
"SIN","NES","11","10291.66426","25","1","10315.66426"
"SIN","NES","12","10319.2556","25","0","10344.2556"
"SIN","NES","13","10234.33743","13","0","10247.33743"
"SIN","NES","14","10289.4274","0","0","10289.4274"
"SIN","NES","15","10184.17954","0","0","10184.17954"
"SIN","NES","16","10057.47752","0","0","10057.47752"
"SIN","NES","17","10005.12246","0","0","10005.12246"
"SIN","NES","18","10157.56045","20","0","10177.56045"
"SIN","NES","19","10358.63438","71","0","10429.63438"
"SIN","NES","20","10465.19795","122","0","10587.19795"
"SIN","NES","21","10572.00186","231","1","10802.00186"
"SIN","NES","22","10528.90596","341","2","10867.90596"
"SIN","NES","23","10623.38109","405","1","11027.38109"
"SIN","NES","24","10460.48733","411","1","10870.48733"
"SIN","NOR","1","3199.12445","0","0","3199.12445"
"SIN","NOR","2","3102.26723","0","0","3102.26723"
"SIN","NOR","3","3060.33265","0","0","3060.33265"
"SIN","NOR","4","3000.66772","0","0","3000.66772"
"SIN","NOR","5","2987.47598","0","0","2987.47598"
"SIN","NOR","6","2874.29251","0","0","2874.29251"
"SIN","NOR","7","2924.73171","0","0","2924.73171"
"SIN","NOR","8","2977.09097","0","0","2977.09097"
"SIN","NOR","9","2997.68363","0","0","2997.68363"
"SIN","NOR","10","3044.61714","0","0","3044.61714"
"SIN","NOR","11","3144.93566","0","0","3144.93566"
"SIN","NOR","12","3214.13905","0","0","3214.13905"
"SIN","NOR","13","3266.15547","0","0","3266.15547"
"SIN","NOR","14","3302.84681","0","0","3302.84681"
"SIN","NOR","15","3272.6092","0","0","3272.6092"
"SIN","NOR","16","3115.02736","0","0","3115.02736"
"SIN","NOR","17","3449.59662","0","0","3449.59662"
"SIN","NOR","18","3512.52414","0","0","3512.52414"
"SIN","NOR","19","3550.40632","0","0","3550.40632"
"SIN","NOR","20","3517.85899","0","0","3517.85899"
"SIN","NOR","21","3434.66074","0","0","3434.66074"
"SIN","NOR","22","3358.86889","0","0","3358.86889"
"SIN","NOR","23","3334.29374","0","0","3334.29374"
"SIN","NOR","24","3380.22863","0","0","3380.22863"
"SIN","NTE","1","3086.10019","0","0","3086.10019"
"SIN","NTE","2","3092.18587","0","0","3092.18587"
"SIN","NTE","3","3090.0444","0","0","3090.0444"
"SIN","NTE","4","3041.22778","0","0","3041.22778"
"SIN","NTE","5","3041.78668","0","0","3041.78668"
"SIN","NTE","6","3050.77028","0","0","3050.77028"
"SIN","NTE","7","3075.5687","0","0","3075.5687"
"SIN","NTE","8","3091.8631","0","0","3091.8631"
"SIN","NTE","9","3286.9066","0","0","3286.9066"
"SIN","NTE","10","3565.14142","0","0","3565.14142"
"SIN","NTE","11","3667.82377","0","0","3667.82377"
"SIN","NTE","12","3712.92837","0","0","3712.92837"
"SIN","NTE","13","3738.09227","0","0","3738.09227"
"SIN","NTE","14","3736.93817","0","0","3736.93817"
"SIN","NTE","15","3734.95793","0","0","3734.95793"
"SIN","NTE","16","3772.44942","0","0","3772.44942"
"SIN","NTE","17","3749.65359","0","0","3749.65359"
