"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 28/dic/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 28/dic/2019 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 24/11/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1139.91914","199.38099","189.19395","1150.10618"
"BCA","BCA","2","1111.24936","193.38692","203.01856","1101.61772"
"BCA","BCA","3","1107.6919","179.88807","214.69455","1072.88542"
"BCA","BCA","4","1100.88351","174.09942","217.26157","1057.72136"
"BCA","BCA","5","1104.54467","174.3261","210.32044","1068.55033"
"BCA","BCA","6","1104.99835","186.90452","203.39568","1088.50719"
"BCA","BCA","7","1099.93228","196.86866","189.86278","1106.93816"
"BCA","BCA","8","1167.76688","208.36491","187.39727","1188.73452"
"BCA","BCA","9","1245.4054","212.12392","190.28846","1267.24086"
"BCA","BCA","10","1273.56109","221.15278","198.49684","1296.21703"
"BCA","BCA","11","1321.69316","241.65173","223.57088","1339.77401"
"BCA","BCA","12","1347.22883","246.5181","230.35562","1363.39131"
"BCA","BCA","13","1357.56233","245.79516","233.14517","1370.21232"
"BCA","BCA","14","1347.26966","240.25294","227.4492","1360.0734"
"BCA","BCA","15","1320.42032","255.15045","245.40138","1330.16939"
"BCA","BCA","16","1305.43675","257.3707","245.782","1317.02545"
"BCA","BCA","17","1371.95547","230.38791","265.75353","1336.58985"
"BCA","BCA","18","1414.64492","229.53378","224.80142","1419.37728"
"BCA","BCA","19","1426.42813","211.91612","232.71074","1405.63351"
"BCA","BCA","20","1377.05899","238.10393","250.92155","1364.24137"
"BCA","BCA","21","1379.37722","219.30029","257.28177","1341.39574"
"BCA","BCA","22","1319.39841","231.40234","263.37667","1287.42408"
"BCA","BCA","23","1241.79819","238.67896","260.7669","1219.71025"
"BCA","BCA","24","1153.97419","230.2237","229.69136","1154.50653"
"BCS","BCS","1","243.09511","0","0","243.09511"
"BCS","BCS","2","233.97416","0","0","233.97416"
"BCS","BCS","3","227.17264","0","0","227.17264"
"BCS","BCS","4","221.80874","0","0","221.80874"
"BCS","BCS","5","220.53288","0","0","220.53288"
"BCS","BCS","6","222.84172","0","0","222.84172"
"BCS","BCS","7","227.55011","0","0","227.55011"
"BCS","BCS","8","238.39861","0","0","238.39861"
"BCS","BCS","9","257.85497","0","0","257.85497"
"BCS","BCS","10","274.97086","0","0","274.97086"
"BCS","BCS","11","287.64188","0","0","287.64188"
"BCS","BCS","12","294.07955","0","0","294.07955"
"BCS","BCS","13","295.16436","0","0","295.16436"
"BCS","BCS","14","295.89167","0","0","295.89167"
"BCS","BCS","15","294.85589","0","0","294.85589"
"BCS","BCS","16","292.73813","0","0","292.73813"
"BCS","BCS","17","289.93545","0","0","289.93545"
"BCS","BCS","18","297.65589","0","0","297.65589"
"BCS","BCS","19","309.94688","0","0","309.94688"
"BCS","BCS","20","303.51108","0","0","303.51108"
"BCS","BCS","21","295.7229","0","0","295.7229"
"BCS","BCS","22","284.45836","0","0","284.45836"
"BCS","BCS","23","270.0046","0","0","270.0046"
"BCS","BCS","24","254.42774","0","0","254.42774"
"SIN","CEN","1","3620.85816","0","0","3620.85816"
"SIN","CEN","2","3478.00694","0","0","3478.00694"
"SIN","CEN","3","3288.70483","0","0","3288.70483"
"SIN","CEN","4","3126.33505","0","0","3126.33505"
"SIN","CEN","5","2999.51467","0","0","2999.51467"
"SIN","CEN","6","3115.46505","0","0","3115.46505"
"SIN","CEN","7","3117.96752","0","0","3117.96752"
"SIN","CEN","8","3402.42311","0","0","3402.42311"
"SIN","CEN","9","3949.65402","0","0","3949.65402"
"SIN","CEN","10","4072.51803","0","0","4072.51803"
"SIN","CEN","11","4073.13075","0","0","4073.13075"
"SIN","CEN","12","4084.37061","0","0","4084.37061"
"SIN","CEN","13","4134.62448","0","0","4134.62448"
"SIN","CEN","14","4205.00483","0","0","4205.00483"
"SIN","CEN","15","4362.01287","0","0","4362.01287"
"SIN","CEN","16","4362.96589","0","0","4362.96589"
"SIN","CEN","17","4371.09958","0","0","4371.09958"
"SIN","CEN","18","4529.06082","0","0","4529.06082"
"SIN","CEN","19","4541.66852","0","0","4541.66852"
"SIN","CEN","20","4550.15857","0","0","4550.15857"
"SIN","CEN","21","4290.36339","0","0","4290.36339"
"SIN","CEN","22","4202.88283","0","0","4202.88283"
"SIN","CEN","23","3993.75268","0","0","3993.75268"
"SIN","CEN","24","3715.0752","0","0","3715.0752"
"SIN","NES","1","9396.79929","225","1","9620.79929"
"SIN","NES","2","9442.23196","186","1","9627.23196"
"SIN","NES","3","9627.5134","79","0","9706.5134"
"SIN","NES","4","9686.98823","75","0","9761.98823"
"SIN","NES","5","9772.91737","75","0","9847.91737"
"SIN","NES","6","9943.66718","75","0","10018.66718"
"SIN","NES","7","10046.76039","75","0","10121.76039"
"SIN","NES","8","10003.30848","0","0","10003.30848"
"SIN","NES","9","10005.46124","75","0","10080.46124"
"SIN","NES","10","10142.87611","62","0","10204.87611"
"SIN","NES","11","10160.28136","100","0","10260.28136"
"SIN","NES","12","10073.94548","151","0","10224.94548"
"SIN","NES","13","10078.00807","201","0","10279.00807"
"SIN","NES","14","10227.34466","151","0","10378.34466"
"SIN","NES","15","10336.13323","151","0","10487.13323"
"SIN","NES","16","10396.09727","151","0","10547.09727"
"SIN","NES","17","10453.48875","151","0","10604.48875"
"SIN","NES","18","10435.85164","151","0","10586.85164"
"SIN","NES","19","10469.72685","151","0","10620.72685"
"SIN","NES","20","10385.94116","226","0","10611.94116"
