"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 28/ene/2020"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 28/ene/2020 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 12/12/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1276.52015","165.79023","173.87087","1268.43951"
"BCA","BCA","2","1233.36747","117.05418","122.25384","1228.16781"
"BCA","BCA","3","1193.71112","116.48131","117.12224","1193.07019"
"BCA","BCA","4","1178.87157","128.18727","126.0972","1180.96164"
"BCA","BCA","5","1208.7396","137.11118","155.37491","1190.47587"
"BCA","BCA","6","1342.21051","125.90651","242.95431","1225.16271"
"BCA","BCA","7","1396.42311","108.03482","196.1241","1308.33383"
"BCA","BCA","8","1394.61811","93.55981","128.4199","1359.75802"
"BCA","BCA","9","1404.26908","113.26679","99.76824","1417.76763"
"BCA","BCA","10","1421.17135","121.1694","115.58573","1426.75502"
"BCA","BCA","11","1450.97124","110.65009","102.73962","1458.88171"
"BCA","BCA","12","1444.78078","105.57743","74.73321","1475.625"
"BCA","BCA","13","1456.95603","111.09066","87.17233","1480.87436"
"BCA","BCA","14","1495.139","110.05127","125.96587","1479.2244"
"BCA","BCA","15","1491.94126","105.88243","116.16512","1481.65857"
"BCA","BCA","16","1511.57935","81.48262","113.708","1479.35397"
"BCA","BCA","17","1721.47039","95.79486","307.11131","1510.15394"
"BCA","BCA","18","1754.21651","40.89723","182.99174","1612.122"
"BCA","BCA","19","1701.89946","146.02915","237.10571","1610.8229"
"BCA","BCA","20","1692.25152","199.46327","297.34461","1594.37018"
"BCA","BCA","21","1656.11755","70.65448","153.9473","1572.82473"
"BCA","BCA","22","1622.65298","58.56296","164.86109","1516.35485"
