"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 25/feb/2020"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/feb/2020 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 29/12/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1144.32546","162.94006","160.38079","1146.88473"
"BCA","BCA","2","1072.95416","148.09805","132.54078","1088.51143"
"BCA","BCA","3","1042.71999","147.51009","132.81946","1057.41062"
"BCA","BCA","4","1023.39824","154.81008","137.63557","1040.57275"
"BCA","BCA","5","1026.18898","150.13941","132.24105","1044.08734"
"BCA","BCA","6","1031.0262","149.31096","127.30244","1053.03472"
"BCA","BCA","7","1073.78565","139.398","147.4941","1065.68955"
"BCA","BCA","8","1118.06698","82.65236","104.16597","1096.55337"
"BCA","BCA","9","1137.35094","64.21393","60.62511","1140.93976"
"BCA","BCA","10","1174.24299","88.36689","89.51795","1173.09193"
"BCA","BCA","11","1202.21147","108.16233","118.27231","1192.10149"
"BCA","BCA","12","1221.38543","113.50702","116.34979","1218.54266"
"BCA","BCA","13","1211.84725","114.17972","118.80226","1207.22471"
"BCA","BCA","14","1205.4459","110.26005","115.75599","1199.94996"
"BCA","BCA","15","1192.40929","113.71669","123.67485","1182.45113"
"BCA","BCA","16","1195.49779","130.48978","145.05331","1180.93426"
"BCA","BCA","17","1334.35352","103.2274","227.99703","1209.58389"
"BCA","BCA","18","1407.9481","146.11734","213.00434","1341.0611"
"BCA","BCA","19","1422.81353","140.12921","190.7459","1372.19684"
"BCA","BCA","20","1425.27283","145.42761","200.20372","1370.49672"
"BCA","BCA","21","1401.6334","154.85936","197.96473","1358.52803"
"BCA","BCA","22","1343.0485","159.42737","173.82526","1328.65061"
"BCA","BCA","23","1274.42272","163.2298","170.95528","1266.69724"
"BCA","BCA","24","1219.11506","146.07861","176.59843","1188.59524"
"BCS","BCA","1","214.38374","0","0","214.38374"
"BCS","BCA","2","205.04993","0","0","205.04993"
"BCS","BCA","3","201.66366","0","0","201.66366"
"BCS","BCA","4","198.82013","0","0","198.82013"
"BCS","BCA","5","198.23433","0","0","198.23433"
"BCS","BCA","6","201.88087","0","0","201.88087"
"BCS","BCA","7","209.70258","0","0","209.70258"
"BCS","BCA","8","218.1804","0","0","218.1804"
"BCS","BCA","9","234.84005","0","0","234.84005"
"BCS","BCA","10","245.00666","0","0","245.00666"
"BCS","BCA","11","252.17231","0","0","252.17231"
"BCS","BCA","12","257.42576","0","0","257.42576"
"BCS","BCA","13","257.9842","0","0","257.9842"
"BCS","BCA","14","258.48968","0","0","258.48968"
"BCS","BCA","15","256.95529","0","0","256.95529"
"BCS","BCA","16","254.81731","0","0","254.81731"
"BCS","BCA","17","255.54117","0","0","255.54117"
"BCS","BCA","18","264.04856","0","0","264.04856"
"BCS","BCA","19","283.03893","0","0","283.03893"
"BCS","BCA","20","279.44522","0","0","279.44522"
"BCS","BCA","21","270.05154","0","0","270.05154"
"BCS","BCA","22","258.23391","0","0","258.23391"
"BCS","BCA","23","243.83991","0","0","243.83991"
"BCS","BCA","24","225.75486","0","0","225.75486"
"SIN","CEN","1","3841.50223","0","0","3841.50223"
"SIN","CEN","2","3042.10117","0","0","3042.10117"
"SIN","CEN","3","2415.6575","0","0","2415.6575"
"SIN","CEN","4","2094.11507","0","0","2094.11507"
"SIN","CEN","5","1994.644","0","0","1994.644"
"SIN","CEN","6","1983.73731","0","0","1983.73731"
"SIN","CEN","7","2290.38267","0","0","2290.38267"
"SIN","CEN","8","2737.10873","0","0","2737.10873"
"SIN","CEN","9","3397.17807","0","0","3397.17807"
"SIN","CEN","10","3718.88576","0","0","3718.88576"
"SIN","CEN","11","3893.26675","0","0","3893.26675"
"SIN","CEN","12","3940.55388","0","0","3940.55388"
