,dst_region,asset,year,region,technology,installed,capacity
0,R1,0,2025,R1,gasCCGT,2010,10.00000000000
1,R1,0,2030,R1,gasCCGT,2010,5.00000000000
9,R1,1,2025,R1,solarPV,2020,25.50000000000
10,R1,1,2030,R1,solarPV,2020,25.50000000000
11,R1,1,2035,R1,solarPV,2020,25.50000000000
12,R1,1,2040,R1,solarPV,2020,25.50000000000
13,R1,1,2045,R1,solarPV,2020,25.50000000000
14,R1,1,2049,R1,solarPV,2020,25.50000000000
45,R2,1,2025,R1,solarPV,2020,11.33330000000
46,R2,1,2030,R1,solarPV,2020,11.33330000000
47,R2,1,2035,R1,solarPV,2020,11.33330000000
48,R2,1,2040,R1,solarPV,2020,11.33330000000
49,R2,1,2045,R1,solarPV,2020,11.33330000000
50,R2,1,2049,R1,solarPV,2020,11.33330000000
55,R2,2,2030,R1,solarPV,2025,16.62960000000
56,R2,2,2035,R1,solarPV,2025,16.62960000000
57,R2,2,2040,R1,solarPV,2025,16.62960000000
58,R2,2,2045,R1,solarPV,2025,16.62960000000
59,R2,2,2049,R1,solarPV,2025,16.62960000000
60,R2,2,2050,R1,solarPV,2025,16.62960000000
61,R2,2,2054,R1,solarPV,2025,16.62960000000
63,R2,3,2025,R2,gasCCGT,2010,10.00000000000
64,R2,3,2030,R2,gasCCGT,2010,5.00000000000
