ProcessName,RegionName,Time,Level,electricity,gas,heat,CO2f,wind,cook,biomass,water,uranium,sun,coal,diesel,e_demand
Unit,-,Year,-,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Bioenergy,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
CC,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
CHP,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
IC,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Hydroelectric,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Thermoelectric,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Turbogas,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Wind,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Geothermal,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Bioenergy,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
CC,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
CHP,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
IC,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Geothermal,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Hydroelectric,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Solar,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Thermoelectric,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Turbogas,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
FB,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
Wind,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0
