asset,year,region,installed,technology,capacity
0,2035,Eastern,2020,gassupply1,2233.73030000000
0,2040,Eastern,2020,gassupply1,2233.73030000000
0,2045,Eastern,2020,gassupply1,2233.73030000000
0,2050,Eastern,2020,gassupply1,2233.73030000000
0,2059,Eastern,2020,gassupply1,1733.73030000000
1,2035,Eastern,2025,gassupply1,1288.31470000000
1,2040,Eastern,2025,gassupply1,1288.31470000000
1,2045,Eastern,2025,gassupply1,1288.31470000000
1,2050,Eastern,2025,gassupply1,1288.31470000000
1,2059,Eastern,2025,gassupply1,1288.31470000000
1,2060,Eastern,2025,gassupply1,1288.31470000000
1,2064,Eastern,2025,gassupply1,1288.31470000000
2,2040,Eastern,2035,gassupply1,411.28830000000
2,2045,Eastern,2035,gassupply1,411.28830000000
2,2050,Eastern,2035,gassupply1,411.28830000000
2,2059,Eastern,2035,gassupply1,411.28830000000
2,2060,Eastern,2035,gassupply1,411.28830000000
2,2064,Eastern,2035,gassupply1,411.28830000000
2,2065,Eastern,2035,gassupply1,411.28830000000
2,2074,Eastern,2035,gassupply1,411.28830000000
3,2035,Western,2020,gassupply1,2233.73030000000
3,2040,Western,2020,gassupply1,2233.73030000000
3,2045,Western,2020,gassupply1,2233.73030000000
3,2050,Western,2020,gassupply1,2233.73030000000
3,2059,Western,2020,gassupply1,1733.73030000000
4,2035,Western,2025,gassupply1,1288.31470000000
4,2040,Western,2025,gassupply1,1288.31470000000
4,2045,Western,2025,gassupply1,1288.31470000000
4,2050,Western,2025,gassupply1,1288.31470000000
4,2059,Western,2025,gassupply1,1288.31470000000
4,2060,Western,2025,gassupply1,1288.31470000000
4,2064,Western,2025,gassupply1,1288.31470000000
5,2040,Western,2035,gassupply1,411.28830000000
5,2045,Western,2035,gassupply1,411.28830000000
5,2050,Western,2035,gassupply1,411.28830000000
5,2059,Western,2035,gassupply1,411.28830000000
5,2060,Western,2035,gassupply1,411.28830000000
5,2064,Western,2035,gassupply1,411.28830000000
5,2065,Western,2035,gassupply1,411.28830000000
5,2074,Western,2035,gassupply1,411.28830000000
