technology,dst_region,region,agent,sector,type,year,capacity
e_tec,Eastern,Eastern,A1,residential,retrofit,2020,100.00000000000
e_tec2,Eastern,Eastern,A1,residential,retrofit,2020,120.00000000000
e_tec,Western,Western,A1,residential,retrofit,2020,100.00000000000
e_tec2,Western,Western,A1,residential,retrofit,2020,120.00000000000
Bioenergy,Eastern,Eastern,A1,power,retrofit,2020,3.24500000000
CC,Eastern,Eastern,A1,power,retrofit,2020,44.49100000000
CHP,Eastern,Eastern,A1,power,retrofit,2020,59.74700000000
Coal,Eastern,Eastern,A1,power,retrofit,2020,0.00100000000
FB,Eastern,Eastern,A1,power,retrofit,2020,0.00100000000
Geothermal,Eastern,Eastern,A1,power,retrofit,2020,0.93800000000
Hydroelectric,Eastern,Eastern,A1,power,retrofit,2020,78.26400000000
IC,Eastern,Eastern,A1,power,retrofit,2020,0.55500000000
Nuclear,Eastern,Eastern,A1,power,retrofit,2020,0.00100000000
Solar,Eastern,Eastern,A1,power,retrofit,2020,5.97500000000
Thermoelectric,Eastern,Eastern,A1,power,retrofit,2020,8.21900000000
Turbogas,Eastern,Eastern,A1,power,retrofit,2020,15.66900000000
Wind,Eastern,Eastern,A1,power,retrofit,2020,58.22000000000
Bioenergy,Western,Western,A1,power,retrofit,2020,0.79500000000
CC,Western,Western,A1,power,retrofit,2020,105.69300000000
CHP,Western,Western,A1,power,retrofit,2020,0.06800000000
Coal,Western,Western,A1,power,retrofit,2020,43.19000000000
FB,Western,Western,A1,power,retrofit,2020,9.01600000000
Geothermal,Western,Western,A1,power,retrofit,2020,7.05700000000
Hydroelectric,Western,Western,A1,power,retrofit,2020,57.47000000000
IC,Western,Western,A1,power,retrofit,2020,1.57800000000
Nuclear,Western,Western,A1,power,retrofit,2020,47.35600000000
Solar,Western,Western,A1,power,retrofit,2020,5.97500000000
Thermoelectric,Western,Western,A1,power,retrofit,2020,17.27900000000
Turbogas,Western,Western,A1,power,retrofit,2020,8.42200000000
Wind,Western,Western,A1,power,retrofit,2020,13.42100000000
gassupply1,Eastern,Eastern,A1,gas,retrofit,2020,1000.00000000000
gassupply1,Western,Western,A1,gas,retrofit,2020,1000.00000000000
e_tec,Eastern,Eastern,A1,residential,retrofit,2025,70.00000000000
e_tec2,Eastern,Eastern,A1,residential,retrofit,2025,630.00000000000
e_tec,Western,Western,A1,residential,retrofit,2025,70.00000000000
e_tec2,Western,Western,A1,residential,retrofit,2025,630.00000000000
Bioenergy,Eastern,Eastern,A1,power,retrofit,2025,3.08300000000
CC,Eastern,Eastern,A1,power,retrofit,2025,42.26600000000
CHP,Eastern,Eastern,A1,power,retrofit,2025,56.76000000000
Coal,Eastern,Eastern,A1,power,retrofit,2025,0.00100000000
FB,Eastern,Eastern,A1,power,retrofit,2025,0.00100000000
Geothermal,Eastern,Eastern,A1,power,retrofit,2025,0.89100000000
Hydroelectric,Eastern,Eastern,A1,power,retrofit,2025,281.22540000000
IC,Eastern,Eastern,A1,power,retrofit,2025,0.52700000000
Nuclear,Eastern,Eastern,A1,power,retrofit,2025,0.00100000000
Solar,Eastern,Eastern,A1,power,retrofit,2025,5.67600000000
Thermoelectric,Eastern,Eastern,A1,power,retrofit,2025,7.80800000000
Turbogas,Eastern,Eastern,A1,power,retrofit,2025,14.88600000000
Wind,Eastern,Eastern,A1,power,retrofit,2025,55.30900000000
Bioenergy,Western,Western,A1,power,retrofit,2025,0.75500000000
CC,Western,Western,A1,power,retrofit,2025,100.40800000000
CHP,Western,Western,A1,power,retrofit,2025,0.06500000000
Coal,Western,Western,A1,power,retrofit,2025,41.03000000000
FB,Western,Western,A1,power,retrofit,2025,8.56500000000
Geothermal,Western,Western,A1,power,retrofit,2025,6.70400000000
Hydroelectric,Western,Western,A1,power,retrofit,2025,193.20580000000
IC,Western,Western,A1,power,retrofit,2025,1.49900000000
Nuclear,Western,Western,A1,power,retrofit,2025,44.98800000000
Solar,Western,Western,A1,power,retrofit,2025,5.67600000000
Thermoelectric,Western,Western,A1,power,retrofit,2025,16.41500000000
Turbogas,Western,Western,A1,power,retrofit,2025,8.00100000000
Wind,Western,Western,A1,power,retrofit,2025,12.75000000000
gassupply1,Eastern,Eastern,A1,gas,retrofit,2025,2233.73030000000
gassupply1,Western,Western,A1,gas,retrofit,2025,2233.73030000000
e_tec,Eastern,Eastern,A1,residential,retrofit,2030,50.00000000000
