asset,year,region,installed,technology,capacity
0,2050,Eastern,2020,Bioenergy,2.38500000000
1,2050,Eastern,2020,CC,32.70500000000
2,2050,Eastern,2020,CHP,43.91900000000
3,2050,Eastern,2020,Coal,0.00100000000
4,2050,Eastern,2020,FB,0.00100000000
5,2050,Eastern,2020,Geothermal,0.69000000000
6,2050,Eastern,2020,Hydroelectric,57.53100000000
7,2050,Eastern,2020,IC,0.40800000000
8,2050,Eastern,2020,Nuclear,0.00100000000
9,2050,Eastern,2020,Solar,4.39200000000
10,2050,Eastern,2020,Thermoelectric,6.04200000000
11,2050,Eastern,2020,Turbogas,11.51800000000
12,2050,Eastern,2020,Wind,42.79700000000
13,2050,Western,2020,Bioenergy,0.58400000000
14,2050,Western,2020,CC,77.69400000000
15,2050,Western,2020,CHP,0.05000000000
16,2050,Western,2020,Coal,31.74800000000
17,2050,Western,2020,FB,6.62800000000
18,2050,Western,2020,Geothermal,5.18700000000
19,2050,Western,2020,Hydroelectric,42.24600000000
20,2050,Western,2020,IC,1.16000000000
21,2050,Western,2020,Nuclear,34.81100000000
22,2050,Western,2020,Solar,4.39200000000
23,2050,Western,2020,Thermoelectric,12.70200000000
24,2050,Western,2020,Turbogas,6.19100000000
25,2050,Western,2020,Wind,9.86600000000
