timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,e_demand,0,2035,e_tec2,2025,all-year,all-week,night,45.00000000000
0,e_demand,1,2035,e_tec2,2030,all-year,all-week,night,90.00000000000
0,e_demand,1,2040,e_tec2,2030,all-year,all-week,night,100.00000000000
0,e_demand,2,2040,e_tec2,2035,all-year,all-week,night,70.00000000000
0,e_demand,3,2035,e_tec2,2025,all-year,all-week,night,18.00000000000
0,e_demand,4,2035,e_tec2,2030,all-year,all-week,night,30.00000000000
0,e_demand,4,2040,e_tec2,2030,all-year,all-week,night,33.33330000000
0,e_demand,5,2040,e_tec2,2035,all-year,all-week,night,28.00000000000
1,e_demand,0,2035,e_tec2,2025,all-year,all-week,morning,30.00000000000
1,e_demand,1,2035,e_tec2,2030,all-year,all-week,morning,60.00000000000
1,e_demand,1,2040,e_tec2,2030,all-year,all-week,morning,66.66670000000
1,e_demand,2,2040,e_tec2,2035,all-year,all-week,morning,46.66670000000
1,e_demand,3,2035,e_tec2,2025,all-year,all-week,morning,36.00000000000
1,e_demand,4,2035,e_tec2,2030,all-year,all-week,morning,60.00000000000
1,e_demand,4,2040,e_tec2,2030,all-year,all-week,morning,66.66670000000
1,e_demand,5,2040,e_tec2,2035,all-year,all-week,morning,56.00000000000
2,e_demand,0,2035,e_tec2,2025,all-year,all-week,afternoon,75.00000000000
2,e_demand,1,2035,e_tec2,2030,all-year,all-week,afternoon,150.00000000000
2,e_demand,1,2040,e_tec2,2030,all-year,all-week,afternoon,166.66670000000
2,e_demand,2,2040,e_tec2,2035,all-year,all-week,afternoon,116.66670000000
2,e_demand,3,2035,e_tec2,2025,all-year,all-week,afternoon,90.00000000000
2,e_demand,4,2035,e_tec2,2030,all-year,all-week,afternoon,150.00000000000
2,e_demand,4,2040,e_tec2,2030,all-year,all-week,afternoon,166.66670000000
2,e_demand,5,2040,e_tec2,2035,all-year,all-week,afternoon,140.00000000000
3,e_demand,0,2035,e_tec2,2025,all-year,all-week,early-peak,15.00000000000
3,e_demand,1,2035,e_tec2,2030,all-year,all-week,early-peak,30.00000000000
3,e_demand,1,2040,e_tec2,2030,all-year,all-week,early-peak,33.33330000000
3,e_demand,2,2040,e_tec2,2035,all-year,all-week,early-peak,23.33330000000
3,e_demand,3,2035,e_tec2,2025,all-year,all-week,early-peak,18.00000000000
3,e_demand,4,2035,e_tec2,2030,all-year,all-week,early-peak,30.00000000000
3,e_demand,4,2040,e_tec2,2030,all-year,all-week,early-peak,33.33330000000
3,e_demand,5,2040,e_tec2,2035,all-year,all-week,early-peak,28.00000000000
4,e_demand,0,2035,e_tec2,2025,all-year,all-week,late-peak,7.50000000000
4,e_demand,1,2035,e_tec2,2030,all-year,all-week,late-peak,15.00000000000
4,e_demand,1,2040,e_tec2,2030,all-year,all-week,late-peak,16.66670000000
4,e_demand,2,2040,e_tec2,2035,all-year,all-week,late-peak,11.66670000000
4,e_demand,3,2035,e_tec2,2025,all-year,all-week,late-peak,9.00000000000
4,e_demand,4,2035,e_tec2,2030,all-year,all-week,late-peak,15.00000000000
4,e_demand,4,2040,e_tec2,2030,all-year,all-week,late-peak,16.66670000000
4,e_demand,5,2040,e_tec2,2035,all-year,all-week,late-peak,14.00000000000
5,e_demand,0,2035,e_tec2,2025,all-year,all-week,evening,7.50000000000
5,e_demand,1,2035,e_tec2,2030,all-year,all-week,evening,15.00000000000
5,e_demand,1,2040,e_tec2,2030,all-year,all-week,evening,16.66670000000
5,e_demand,2,2040,e_tec2,2035,all-year,all-week,evening,11.66670000000
5,e_demand,3,2035,e_tec2,2025,all-year,all-week,evening,9.00000000000
5,e_demand,4,2035,e_tec2,2030,all-year,all-week,evening,15.00000000000
5,e_demand,4,2040,e_tec2,2030,all-year,all-week,evening,16.66670000000
5,e_demand,5,2040,e_tec2,2035,all-year,all-week,evening,14.00000000000
