ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Bioenergy,Eastern,PJ/y,3.245,3.083,2.928,2.782,2.643,2.511,2.385
Coal,Eastern,PJ/y,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CC,Eastern,PJ/y,44.491,42.266,40.153,38.145,36.238,34.426,32.705
CHP,Eastern,PJ/y,59.747,56.76,53.922,51.225,48.664,46.231,43.919
IC,Eastern,PJ/y,0.555,0.527,0.501,0.476,0.452,0.429,0.408
Geothermal,Eastern,PJ/y,0.938,0.891,0.847,0.804,0.764,0.726,0.69
Hydroelectric,Eastern,PJ/y,78.264,74.351,70.633,67.102,63.747,60.559,57.531
Thermoelectric,Eastern,PJ/y,8.219,7.808,7.418,7.047,6.695,6.36,6.042
Turbogas,Eastern,PJ/y,15.669,14.886,14.142,13.434,12.763,12.125,11.518
Wind,Eastern,PJ/y,58.22,55.309,52.544,49.917,47.421,45.05,42.797
Solar,Eastern,PJ/y,5.975,5.676,5.392,5.123,4.866,4.623,4.392
FB,Eastern,PJ/y,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Nuclear,Eastern,PJ/y,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Bioenergy,Western,PJ/y,0.795,0.755,0.717,0.682,0.648,0.615,0.584
Coal,Western,PJ/y,43.19,41.03,38.979,37.03,35.178,33.419,31.748
CC,Western,PJ/y,105.693,100.408,95.388,90.618,86.087,81.783,77.694
CHP,Western,PJ/y,0.068,0.065,0.061,0.058,0.055,0.053,0.05
IC,Western,PJ/y,1.578,1.499,1.424,1.353,1.285,1.221,1.16
Geothermal,Western,PJ/y,7.057,6.704,6.369,6.05,5.748,5.46,5.187
Hydroelectric,Western,PJ/y,57.47,54.597,51.867,49.274,46.81,44.469,42.246
Thermoelectric,Western,PJ/y,17.279,16.415,15.594,14.814,14.074,13.37,12.702
Turbogas,Western,PJ/y,8.422,8.001,7.601,7.221,6.86,6.517,6.191
Wind,Western,PJ/y,13.421,12.75,12.113,11.507,10.932,10.385,9.866
Solar,Western,PJ/y,5.975,5.676,5.392,5.123,4.866,4.623,4.392
FB,Western,PJ/y,9.016,8.565,8.137,7.73,7.344,6.976,6.628
Nuclear,Western,PJ/y,47.356,44.988,42.739,40.602,38.572,36.643,34.811
