asset,dst_region,year,region,technology,installed,capacity
0,BajaCalif,2025,BajaCalif,CC_GAS,2020,236.08040000000
0,BajaCalif,2030,BajaCalif,CC_GAS,2020,167.14270000000
0,BajaCalif,2035,BajaCalif,CC_GAS,2020,51.55570000000
0,BajaCalif,2040,BajaCalif,CC_GAS,2020,47.28570000000
0,BajaCalif,2045,BajaCalif,CC_GAS,2020,42.23990000000
0,BajaCalif,2049,BajaCalif,CC_GAS,2020,8.44800000000
1,BajaCalif,2025,BajaCalif,GEOTH,2020,36.25690000000
2,BajaCalif,2025,BajaCalif,OC_GAS,2020,38.57290000000
2,BajaCalif,2030,BajaCalif,OC_GAS,2020,16.81310000000
2,BajaCalif,2035,BajaCalif,OC_GAS,2020,16.81310000000
2,BajaCalif,2040,BajaCalif,OC_GAS,2020,16.81310000000
2,BajaCalif,2045,BajaCalif,OC_GAS,2020,4.46550000000
2,BajaCalif,2049,BajaCalif,OC_GAS,2020,0.89310000000
4,BajaCalif,2025,BajaCalif,OC_OIL,2020,6.44970000000
4,BajaCalif,2030,BajaCalif,OC_OIL,2020,0.80920000000
4,BajaCalif,2035,BajaCalif,OC_OIL,2020,0.21000000000
5,BajaCalif,2025,BajaCalif,ON_WIND,2020,12.36210000000
5,BajaCalif,2030,BajaCalif,ON_WIND,2020,12.36210000000
5,BajaCalif,2035,BajaCalif,ON_WIND,2020,11.73140000000
5,BajaCalif,2040,BajaCalif,ON_WIND,2020,11.73140000000
7,BajaCalif,2025,BajaCalif,PV_GND,2020,2.87990000000
7,BajaCalif,2030,BajaCalif,PV_GND,2020,0.06560000000
7,BajaCalif,2035,BajaCalif,PV_GND,2020,0.06560000000
8,BajaCalif,2025,BajaCalif,PV_SSG,2020,4.22580000000
8,BajaCalif,2030,BajaCalif,PV_SSG,2020,4.22580000000
8,BajaCalif,2035,BajaCalif,PV_SSG,2020,4.22580000000
8,BajaCalif,2040,BajaCalif,PV_SSG,2020,4.22580000000
8,BajaCalif,2045,BajaCalif,PV_SSG,2020,1.65170000000
8,BajaCalif,2049,BajaCalif,PV_SSG,2020,0.33030000000
9,BajaCalifSouth,2025,BajaCalifSouth,CC_OIL,2020,36.61270000000
10,BajaCalifSouth,2025,BajaCalifSouth,GEOTH,2020,0.63070000000
10,BajaCalifSouth,2030,BajaCalifSouth,GEOTH,2020,0.63070000000
11,BajaCalifSouth,2025,BajaCalifSouth,OC_GAS,2020,2.90130000000
11,BajaCalifSouth,2030,BajaCalifSouth,OC_GAS,2020,2.90130000000
11,BajaCalifSouth,2035,BajaCalifSouth,OC_GAS,2020,2.90130000000
11,BajaCalifSouth,2040,BajaCalifSouth,OC_GAS,2020,2.90130000000
13,BajaCalifSouth,2025,BajaCalifSouth,OC_OIL,2020,60.64180000000
13,BajaCalifSouth,2030,BajaCalifSouth,OC_OIL,2020,35.56060000000
13,BajaCalifSouth,2035,BajaCalifSouth,OC_OIL,2020,9.92440000000
13,BajaCalifSouth,2040,BajaCalifSouth,OC_OIL,2020,1.26140000000
16,BajaCalifSouth,2025,BajaCalifSouth,PV_GND,2020,3.53010000000
16,BajaCalifSouth,2030,BajaCalifSouth,PV_GND,2020,3.53010000000
16,BajaCalifSouth,2035,BajaCalifSouth,PV_GND,2020,3.53010000000
