year,dst_region,asset,region,technology,installed,capacity
2040,Central,13,BajaCalifSouth,OC_GAS,2025,709.24460000000
2040,Central,23,Central,BIO,2020,2.12300000000
2040,Central,24,Central,CC_GAS,2020,77.11810000000
2040,Central,26,Central,CC_GAS,2030,41.69060000000
2040,Central,27,Central,CC_GAS,2035,42.10750000000
2040,Central,28,Central,HYD_LS,2020,18.85220000000
2040,Central,29,Central,OC_GAS,2020,17.68980000000
2040,Central,30,Central,OC_OIL,2020,0.37840000000
2040,Central,31,Central,PV_GND,2020,1.34600000000
2040,Central,32,Central,PV_SSG,2020,15.16090000000
2040,Central,36,Eastern,CC_GAS,2030,1000.00000000000
2040,Central,37,Eastern,CC_GAS,2035,1000.00000000000
2040,Central,103,Western,CC_GAS,2025,1000.00000000000
2040,Central,105,Western,CC_GAS,2035,1000.00000000000
2040,Eastern,7,BajaCalif,ON_WIND,2025,1497.96000000000
2040,Eastern,8,BajaCalif,ON_WIND,2030,1497.96000000000
2040,Eastern,9,BajaCalif,ON_WIND,2035,1497.96000000000
2040,Eastern,19,BajaCalifSouth,ON_WIND,2025,742.92200000000
2040,Eastern,25,Central,CC_GAS,2025,885.01370000000
2040,Eastern,26,Central,CC_GAS,2030,134.59560000000
2040,Eastern,33,Eastern,BIO,2020,11.33910000000
2040,Eastern,34,Eastern,CC_GAS,2020,57.91080000000
2040,Eastern,38,Eastern,CSP,2020,154.93640000000
2040,Eastern,39,Eastern,C_H2,2030,1000.00000000000
2040,Eastern,41,Eastern,HYD_LS,2020,18.15210000000
2040,Eastern,42,Eastern,NUCL,2020,103.05960000000
2040,Eastern,43,Eastern,OC_GAS,2020,14.90830000000
2040,Eastern,44,Eastern,OC_OIL,2020,0.41380000000
2040,Eastern,45,Eastern,ON_WIND,2020,54.19270000000
2040,Eastern,49,Eastern,PV_GND,2020,27.80210000000
2040,Eastern,51,Eastern,PV_SSG,2020,9.75950000000
2040,Western,25,Central,CC_GAS,2025,984.83910000000
2040,Western,35,Eastern,CC_GAS,2025,1000.00000000000
2040,Western,101,Western,BIO,2020,3.42670000000
2040,Western,102,Western,CC_GAS,2020,82.62500000000
2040,Western,107,Western,C_H2,2030,1000.00000000000
2040,Western,108,Western,C_H2,2035,1000.00000000000
2040,Western,110,Western,GEOTH,2020,3.27970000000
2040,Western,111,Western,HYD_LS,2020,177.25940000000
2040,Western,112,Western,HYD_LS,2030,1000.00000000000
2040,Western,117,Western,OC_GAS,2020,31.08500000000
2040,Western,118,Western,ON_WIND,2020,25.16450000000
2040,Western,119,Western,PV_GND,2020,142.90600000000
2040,Western,120,Western,PV_SSG,2020,48.69910000000
2040,Northwest,79,Northwest,CC_GAS,2020,241.42070000000
2040,Northwest,83,Northwest,HYD_LS,2020,32.92360000000
2040,Northwest,88,Northwest,PV_GND,2020,75.34900000000
2040,Northwest,89,Northwest,PV_SSG,2020,9.29660000000
2040,North,2,BajaCalif,OC_GAS,2025,199.31610000000
2040,North,3,BajaCalif,OC_GAS,2030,11.63000000000
2040,North,4,BajaCalif,OC_GAS,2035,382.27110000000
2040,North,14,BajaCalifSouth,OC_GAS,2030,1000.00000000000
2040,North,52,North,BIO,2020,0.21130000000
2040,North,53,North,CC_GAS,2020,141.97630000000
2040,North,54,North,COAL,2020,4.09970000000
2040,North,55,North,CSP,2030,920.85120000000
2040,North,56,North,C_H2,2025,1000.00000000000
2040,North,57,North,C_H2,2035,1000.00000000000
2040,North,59,North,FC_H2,2020,584.92040000000
2040,North,60,North,FC_H2,2025,552.98570000000
2040,North,61,North,HYD_LS,2020,1.24440000000
2040,North,62,North,HYD_SS,2020,706.40640000000
2040,North,63,North,HYD_SS,2025,706.40640000000
2040,North,64,North,HYD_SS,2030,706.40640000000
