ProcessName,RegionName,Time,Level,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,hydrogen,e_demand
Unit,-,Year,-,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
e_tec,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec,Western,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,Western,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec,Northwest,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,Northwest,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec,North,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,North,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec,Northeast,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,Northeast,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec,BajaCalif,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,BajaCalif,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec,BajaCalifSouth,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,BajaCalifSouth,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec,Peninsular,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e_tec2,Peninsular,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
