asset,year,technology,region,installed,capacity
0,2025,BIO,BajaCalif,2020,0.00010000000
0,2030,BIO,BajaCalif,2020,0.00010000000
0,2035,BIO,BajaCalif,2020,0.00010000000
0,2040,BIO,BajaCalif,2020,0.00010000000
0,2045,BIO,BajaCalif,2020,0.00010000000
0,2049,BIO,BajaCalif,2020,0.00010000000
0,2050,BIO,BajaCalif,2020,0.00010000000
1,2025,BIO,BajaCalifSouth,2020,0.05010000000
1,2030,BIO,BajaCalifSouth,2020,0.05010000000
1,2035,BIO,BajaCalifSouth,2020,0.05010000000
1,2040,BIO,BajaCalifSouth,2020,0.05010000000
1,2045,BIO,BajaCalifSouth,2020,0.05010000000
1,2049,BIO,BajaCalifSouth,2020,0.05010000000
1,2050,BIO,BajaCalifSouth,2020,0.00010000000
2,2025,BIO,Central,2020,0.03090000000
2,2030,BIO,Central,2020,0.03030000000
2,2035,BIO,Central,2020,0.02970000000
2,2040,BIO,Central,2020,0.02910000000
2,2045,BIO,Central,2020,0.02850000000
2,2049,BIO,Central,2020,0.02800000000
2,2050,BIO,Central,2020,0.02790000000
3,2025,BIO,Eastern,2020,5.09940000000
3,2030,BIO,Eastern,2020,4.99740000000
3,2035,BIO,Eastern,2020,4.89740000000
3,2040,BIO,Eastern,2020,4.79950000000
3,2045,BIO,Eastern,2020,4.70350000000
3,2049,BIO,Eastern,2020,4.62820000000
3,2050,BIO,Eastern,2020,4.60940000000
4,2025,BIO,North,2020,0.27810000000
4,2030,BIO,North,2020,0.27260000000
4,2035,BIO,North,2020,0.26710000000
4,2040,BIO,North,2020,0.26180000000
4,2045,BIO,North,2020,0.25660000000
4,2049,BIO,North,2020,0.25240000000
4,2050,BIO,North,2020,0.25140000000
5,2025,BIO,Northeast,2020,0.58720000000
5,2030,BIO,Northeast,2020,0.57550000000
5,2035,BIO,Northeast,2020,0.56390000000
5,2040,BIO,Northeast,2020,0.55270000000
5,2045,BIO,Northeast,2020,0.54160000000
5,2049,BIO,Northeast,2020,0.53290000000
5,2050,BIO,Northeast,2020,0.53080000000
6,2025,BIO,Northwest,2020,0.00010000000
6,2030,BIO,Northwest,2020,0.00010000000
6,2035,BIO,Northwest,2020,0.00010000000
6,2040,BIO,Northwest,2020,0.00010000000
6,2045,BIO,Northwest,2020,0.00010000000
6,2049,BIO,Northwest,2020,0.00010000000
6,2050,BIO,Northwest,2020,0.00010000000
7,2025,BIO,Peninsular,2020,0.05010000000
7,2030,BIO,Peninsular,2020,0.05010000000
7,2035,BIO,Peninsular,2020,0.05010000000
7,2040,BIO,Peninsular,2020,0.05010000000
7,2045,BIO,Peninsular,2020,0.05010000000
7,2049,BIO,Peninsular,2020,0.05010000000
