asset,year,region,installed,technology,capacity
1,2050,BajaCalif,2040,e_tec2,30.07560000000
1,2054,BajaCalif,2040,e_tec2,30.07560000000
2,2050,BajaCalif,2045,e_tec2,29.92440000000
2,2054,BajaCalif,2045,e_tec2,29.92440000000
2,2055,BajaCalif,2045,e_tec2,29.92440000000
2,2059,BajaCalif,2045,e_tec2,29.92440000000
3,2055,BajaCalif,2050,e_tec2,30.07560000000
3,2059,BajaCalif,2050,e_tec2,30.07560000000
3,2060,BajaCalif,2050,e_tec2,30.07560000000
3,2064,BajaCalif,2050,e_tec2,30.07560000000
5,2050,BajaCalifSouth,2040,e_tec2,3.72460000000
5,2054,BajaCalifSouth,2040,e_tec2,3.72460000000
6,2050,BajaCalifSouth,2045,e_tec2,6.77540000000
6,2054,BajaCalifSouth,2045,e_tec2,6.77540000000
6,2055,BajaCalifSouth,2045,e_tec2,6.77540000000
6,2059,BajaCalifSouth,2045,e_tec2,6.77540000000
7,2055,BajaCalifSouth,2050,e_tec2,3.72460000000
7,2059,BajaCalifSouth,2050,e_tec2,3.72460000000
7,2060,BajaCalifSouth,2050,e_tec2,3.72460000000
7,2064,BajaCalifSouth,2050,e_tec2,3.72460000000
9,2050,Central,2040,e_tec2,124.90160000000
9,2054,Central,2040,e_tec2,124.90160000000
10,2050,Central,2045,e_tec2,62.59840000000
10,2054,Central,2045,e_tec2,62.59840000000
10,2055,Central,2045,e_tec2,62.59840000000
10,2059,Central,2045,e_tec2,62.59840000000
11,2055,Central,2050,e_tec2,124.90160000000
11,2059,Central,2050,e_tec2,124.90160000000
11,2060,Central,2050,e_tec2,124.90160000000
11,2064,Central,2050,e_tec2,124.90160000000
13,2050,Eastern,2040,e_tec2,187.99120000000
13,2054,Eastern,2040,e_tec2,187.99120000000
14,2050,Eastern,2045,e_tec2,184.00880000000
14,2054,Eastern,2045,e_tec2,184.00880000000
14,2055,Eastern,2045,e_tec2,184.00880000000
14,2059,Eastern,2045,e_tec2,184.00880000000
15,2055,Eastern,2050,e_tec2,187.99120000000
15,2059,Eastern,2050,e_tec2,187.99120000000
15,2060,Eastern,2050,e_tec2,187.99120000000
15,2064,Eastern,2050,e_tec2,187.99120000000
17,2050,North,2040,e_tec2,41.08180000000
17,2054,North,2040,e_tec2,41.08180000000
18,2050,North,2045,e_tec2,56.41820000000
18,2054,North,2045,e_tec2,56.41820000000
18,2055,North,2045,e_tec2,56.41820000000
18,2059,North,2045,e_tec2,56.41820000000
19,2055,North,2050,e_tec2,41.08180000000
19,2059,North,2050,e_tec2,41.08180000000
19,2060,North,2050,e_tec2,41.08180000000
19,2064,North,2050,e_tec2,41.08180000000
21,2050,Northeast,2040,e_tec2,264.99930000000
21,2054,Northeast,2040,e_tec2,264.99930000000
22,2050,Northeast,2045,e_tec2,188.00070000000
22,2054,Northeast,2045,e_tec2,188.00070000000
22,2055,Northeast,2045,e_tec2,188.00070000000
22,2059,Northeast,2045,e_tec2,188.00070000000
23,2055,Northeast,2050,e_tec2,264.99930000000
23,2059,Northeast,2050,e_tec2,264.99930000000
23,2060,Northeast,2050,e_tec2,264.99930000000
23,2064,Northeast,2050,e_tec2,264.99930000000
25,2050,Northwest,2040,e_tec2,44.35990000000
25,2054,Northwest,2040,e_tec2,44.35990000000
26,2050,Northwest,2045,e_tec2,71.14010000000
26,2054,Northwest,2045,e_tec2,71.14010000000
26,2055,Northwest,2045,e_tec2,71.14010000000
26,2059,Northwest,2045,e_tec2,71.14010000000
27,2055,Northwest,2050,e_tec2,44.35990000000
27,2059,Northwest,2050,e_tec2,44.35990000000
27,2060,Northwest,2050,e_tec2,44.35990000000
27,2064,Northwest,2050,e_tec2,44.35990000000
29,2050,Peninsular,2040,e_tec2,7.89030000000
29,2054,Peninsular,2040,e_tec2,7.89030000000
30,2050,Peninsular,2045,e_tec2,10.10970000000
30,2054,Peninsular,2045,e_tec2,10.10970000000
30,2055,Peninsular,2045,e_tec2,10.10970000000
30,2059,Peninsular,2045,e_tec2,10.10970000000
31,2055,Peninsular,2050,e_tec2,7.89030000000
31,2059,Peninsular,2050,e_tec2,7.89030000000
31,2060,Peninsular,2050,e_tec2,7.89030000000
31,2064,Peninsular,2050,e_tec2,7.89030000000
33,2050,Western,2040,e_tec2,74.57690000000
33,2054,Western,2040,e_tec2,74.57690000000
34,2050,Western,2045,e_tec2,117.42310000000
34,2054,Western,2045,e_tec2,117.42310000000
34,2055,Western,2045,e_tec2,117.42310000000
34,2059,Western,2045,e_tec2,117.42310000000
35,2055,Western,2050,e_tec2,74.57690000000
35,2059,Western,2050,e_tec2,74.57690000000
35,2060,Western,2050,e_tec2,74.57690000000
35,2064,Western,2050,e_tec2,74.57690000000
