,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,e_demand
0,Central,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8652096
1,Central,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5768064
2,Central,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.442016
3,Central,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2884032
4,Central,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6442016
5,Central,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6442016
0,Central,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9326048
1,Central,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2884032
2,Central,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.221008
3,Central,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6442016
4,Central,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3221008
5,Central,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3221008
0,Eastern,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.452304
1,Eastern,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.301536
2,Eastern,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.75384
3,Eastern,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.150768
4,Eastern,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.075384
5,Eastern,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.075384
0,Eastern,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.226152
1,Eastern,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.150768
2,Eastern,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.37692
3,Eastern,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.075384
4,Eastern,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.037692
5,Eastern,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.037692
0,Western,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8621216
1,Western,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7242432
2,Western,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.310608
3,Western,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8621216
4,Western,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9310608
5,Western,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9310608
0,Western,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9310608
1,Western,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8621216
2,Western,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.655304
3,Western,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9310608
4,Western,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4655304
5,Western,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4655304
0,Northwest,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1245536
1,Northwest,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7497024
