year,dst_region,asset,region,technology,installed,capacity
2025,Central,4,BajaCalif,PV_GND,2020,1000.00000000000
2025,Central,15,Central,BIO,2020,0.04730000000
2025,Central,17,Central,GAS_GT,2020,197.58880000000
2025,Central,19,Central,HYD,2020,3.83160000000
2025,Central,20,Central,OIL,2020,6.52800000000
2025,Central,21,Central,PV_GND,2020,0.99340000000
2025,Central,30,Eastern,WIND_ON,2020,27.89360000000
2025,Eastern,17,Central,GAS_GT,2020,53.53870000000
2025,Eastern,18,Central,GEOTH,2020,0.00010000000
2025,Eastern,22,Eastern,BIO,2020,7.80520000000
2025,Eastern,25,Eastern,GAS_GT,2020,214.15470000000
2025,Eastern,27,Eastern,HYD,2020,316.51110000000
2025,Eastern,28,Eastern,NUCL,2020,76.63250000000
2025,Eastern,29,Eastern,OIL,2020,13.81280000000
2025,Eastern,30,Eastern,WIND_ON,2020,1130.93750000000
2025,Western,17,Central,GAS_GT,2020,64.00230000000
2025,Western,30,Eastern,WIND_ON,2020,617.90980000000
2025,Western,63,Western,BIO,2020,1.89220000000
2025,Western,65,Western,COAL,2020,158.46840000000
2025,Western,68,Western,GAS_GT,2020,256.00920000000
2025,Western,70,Western,GEOTH,2020,14.90080000000
2025,Western,71,Western,HYD,2020,1232.40460000000
2025,Western,72,Western,OIL,2020,39.07310000000
2025,Western,73,Western,PV_GND,2020,36.42410000000
2025,Western,74,Western,WIND_ON,2020,48.72310000000
2025,Northwest,50,Northwest,GAS_GT,2020,220.96640000000
2025,Northwest,52,Northwest,HYD,2020,45.41180000000
2025,Northwest,54,Northwest,OIL,2020,2.64900000000
2025,Northwest,55,Northwest,PV_GND,2020,21.57060000000
2025,Northwest,56,Northwest,WIND_ON,2020,0.09460000000
2025,Northwest,68,Western,GAS_GT,2020,55.24160000000
2025,North,32,North,BIO,2020,0.42570000000
2025,North,34,North,GAS_GT,2020,206.90770000000
2025,North,36,North,HYD,2020,1.32450000000
2025,North,37,North,OIL,2020,5.44000000000
2025,North,38,North,PV_GND,2020,53.69000000000
2025,North,50,Northwest,GAS_GT,2020,62.07230000000
2025,Northeast,39,Northeast,BIO,2020,0.89880000000
2025,Northeast,40,Northeast,COAL,2020,62.44130000000
2025,Northeast,41,Northeast,GAS_GT,2020,679.23810000000
2025,Northeast,43,Northeast,GEOTH,2020,954.51290000000
2025,Northeast,44,Northeast,HYD,2020,47.20940000000
2025,Northeast,46,Northeast,OIL,2020,10.59610000000
2025,Northeast,47,Northeast,PV_GND,2020,21.94910000000
2025,Northeast,48,Northeast,WIND_ON,2020,119.30070000000
2025,Northeast,52,Northwest,HYD,2020,1198.64890000000
2025,BajaCalif,0,BajaCalif,GAS_GT,2020,106.38670000000
2025,BajaCalif,1,BajaCalif,GEOTH,2020,25.54420000000
2025,BajaCalif,2,BajaCalif,OIL,2020,0.09460000000
2025,BajaCalif,4,BajaCalif,PV_GND,2020,0.33110000000
2025,BajaCalif,7,BajaCalif,WIND_ON,2020,0.47300000000
2025,BajaCalifSouth,8,BajaCalifSouth,GAS_GT,2020,5.34540000000
2025,BajaCalifSouth,9,BajaCalifSouth,OIL,2020,22.46940000000
2025,BajaCalifSouth,11,BajaCalifSouth,PV_GND,2020,1003.92620000000
2025,BajaCalifSouth,14,BajaCalifSouth,WIND_ON,2020,2.36520000000
2025,Peninsular,25,Eastern,GAS_GT,2020,41.84040000000
2025,Peninsular,57,Peninsular,GAS_GT,2020,41.84040000000
2025,Peninsular,58,Peninsular,OIL,2020,0.75690000000
2025,Peninsular,59,Peninsular,PV_GND,2020,32.92360000000
2025,Peninsular,60,Peninsular,PV_RFT,2020,0.28380000000
2025,Peninsular,62,Peninsular,WIND_ON,2020,12.10980000000
2030,Central,4,BajaCalif,PV_GND,2020,1000.00000000000
2030,Central,15,Central,BIO,2020,0.03550000000
2030,Central,17,Central,GAS_GT,2020,148.19160000000
2030,Central,19,Central,HYD,2020,2.87370000000
2030,Central,20,Central,OIL,2020,4.89600000000
2030,Central,21,Central,PV_GND,2020,0.74500000000
2030,Central,26,Eastern,GAS_GT,2025,1000.00000000000
2030,Central,30,Eastern,WIND_ON,2020,27.89360000000
2030,Central,69,Western,GAS_GT,2025,1000.00000000000
2030,Eastern,17,Central,GAS_GT,2020,40.15400000000
2030,Eastern,18,Central,GEOTH,2020,0.00010000000
2030,Eastern,22,Eastern,BIO,2020,5.85390000000
2030,Eastern,25,Eastern,GAS_GT,2020,160.61600000000
2030,Eastern,27,Eastern,HYD,2020,237.38330000000
2030,Eastern,28,Eastern,NUCL,2020,57.47440000000
2030,Eastern,29,Eastern,OIL,2020,10.35960000000
2030,Eastern,30,Eastern,WIND_ON,2020,1098.20310000000
2030,Eastern,31,Eastern,WIND_ON,2025,1000.00000000000
2030,Eastern,69,Western,GAS_GT,2025,176.60160000000
2030,Western,17,Central,GAS_GT,2020,48.00170000000
2030,Western,30,Eastern,WIND_ON,2020,617.90980000000
2030,Western,63,Western,BIO,2020,1.41910000000
2030,Western,65,Western,COAL,2020,118.85130000000
2030,Western,67,Western,GAS_CC,2025,366.20230000000
2030,Western,68,Western,GAS_GT,2020,192.00690000000
2030,Western,70,Western,GEOTH,2020,11.17560000000
2030,Western,71,Western,HYD,2020,1174.30340000000
2030,Western,72,Western,OIL,2020,29.30480000000
2030,Western,73,Western,PV_GND,2020,27.31810000000
2030,Western,74,Western,WIND_ON,2020,36.54230000000
2030,Northwest,50,Northwest,GAS_GT,2020,165.72480000000
2030,Northwest,52,Northwest,HYD,2020,34.05890000000
2030,Northwest,54,Northwest,OIL,2020,1.98680000000
2030,Northwest,55,Northwest,PV_GND,2020,16.17800000000
2030,Northwest,56,Northwest,WIND_ON,2020,0.07100000000
2030,Northwest,68,Western,GAS_GT,2020,41.43120000000
2030,North,32,North,BIO,2020,0.31930000000
2030,North,34,North,GAS_GT,2020,155.18080000000
2030,North,36,North,HYD,2020,0.99340000000
2030,North,37,North,OIL,2020,4.08000000000
2030,North,38,North,PV_GND,2020,40.26750000000
2030,North,50,Northwest,GAS_GT,2020,46.55420000000
2030,Northeast,6,BajaCalif,PV_RFT,2025,613.91350000000
2030,Northeast,39,Northeast,BIO,2020,0.67410000000
2030,Northeast,40,Northeast,COAL,2020,46.83100000000
2030,Northeast,41,Northeast,GAS_GT,2020,509.42860000000
2030,Northeast,43,Northeast,GEOTH,2020,954.51290000000
2030,Northeast,44,Northeast,HYD,2020,45.81390000000
2030,Northeast,45,Northeast,HYD,2025,31.22060000000
2030,Northeast,46,Northeast,OIL,2020,7.94710000000
2030,Northeast,47,Northeast,PV_GND,2020,16.46180000000
2030,Northeast,48,Northeast,WIND_ON,2020,89.47550000000
2030,Northeast,52,Northwest,HYD,2020,1198.64890000000
2030,BajaCalif,0,BajaCalif,GAS_GT,2020,79.79000000000
2030,BajaCalif,1,BajaCalif,GEOTH,2020,19.15810000000
2030,BajaCalif,2,BajaCalif,OIL,2020,0.07100000000
2030,BajaCalif,4,BajaCalif,PV_GND,2020,0.24830000000
2030,BajaCalif,6,BajaCalif,PV_RFT,2025,1000.00000000000
2030,BajaCalif,7,BajaCalif,WIND_ON,2020,0.35480000000
2030,BajaCalifSouth,8,BajaCalifSouth,GAS_GT,2020,4.00900000000
2030,BajaCalifSouth,9,BajaCalifSouth,OIL,2020,16.85200000000
2030,BajaCalifSouth,11,BajaCalifSouth,PV_GND,2020,1002.94470000000
2030,BajaCalifSouth,12,BajaCalifSouth,PV_GND,2025,1000.00000000000
2030,BajaCalifSouth,14,BajaCalifSouth,WIND_ON,2020,1.77390000000
2030,Peninsular,25,Eastern,GAS_GT,2020,31.38030000000
2030,Peninsular,57,Peninsular,GAS_GT,2020,31.38030000000
2030,Peninsular,58,Peninsular,OIL,2020,0.56760000000
2030,Peninsular,59,Peninsular,PV_GND,2020,24.69270000000
2030,Peninsular,60,Peninsular,PV_RFT,2020,0.21290000000
2030,Peninsular,61,Peninsular,WIND_OFF,2025,809.46240000000
2030,Peninsular,62,Peninsular,WIND_ON,2020,9.08240000000
2030,Peninsular,69,Western,GAS_GT,2025,1000.00000000000
2035,Central,4,BajaCalif,PV_GND,2020,1000.00000000000
2035,Central,15,Central,BIO,2020,0.02660000000
2035,Central,17,Central,GAS_GT,2020,111.14370000000
2035,Central,19,Central,HYD,2020,2.15530000000
2035,Central,20,Central,OIL,2020,3.67200000000
2035,Central,21,Central,PV_GND,2020,0.55880000000
2035,Central,26,Eastern,GAS_GT,2025,1000.00000000000
2035,Central,30,Eastern,WIND_ON,2020,27.89360000000
2035,Central,69,Western,GAS_GT,2025,1000.00000000000
2035,Eastern,17,Central,GAS_GT,2020,30.11550000000
2035,Eastern,18,Central,GEOTH,2020,0.00010000000
2035,Eastern,22,Eastern,BIO,2020,4.39040000000
2035,Eastern,25,Eastern,GAS_GT,2020,120.46200000000
2035,Eastern,27,Eastern,HYD,2020,178.03750000000
2035,Eastern,28,Eastern,NUCL,2020,43.10580000000
2035,Eastern,29,Eastern,OIL,2020,7.76970000000
2035,Eastern,30,Eastern,WIND_ON,2020,1073.65230000000
2035,Eastern,31,Eastern,WIND_ON,2025,1000.00000000000
2035,Eastern,69,Western,GAS_GT,2025,176.60160000000
2035,Western,17,Central,GAS_GT,2020,36.00130000000
2035,Western,30,Eastern,WIND_ON,2020,617.90980000000
2035,Western,63,Western,BIO,2020,1.06430000000
2035,Western,65,Western,COAL,2020,89.13850000000
2035,Western,67,Western,GAS_CC,2025,366.20230000000
2035,Western,68,Western,GAS_GT,2020,144.00520000000
2035,Western,70,Western,GEOTH,2020,8.38170000000
2035,Western,71,Western,HYD,2020,1130.72760000000
2035,Western,72,Western,OIL,2020,21.97860000000
2035,Western,73,Western,PV_GND,2020,20.48850000000
2035,Western,74,Western,WIND_ON,2020,27.40680000000
2035,Northwest,50,Northwest,GAS_GT,2020,124.29360000000
2035,Northwest,52,Northwest,HYD,2020,25.54420000000
2035,Northwest,54,Northwest,OIL,2020,1.49010000000
2035,Northwest,55,Northwest,PV_GND,2020,12.13350000000
2035,Northwest,56,Northwest,WIND_ON,2020,0.05320000000
2035,Northwest,68,Western,GAS_GT,2020,31.07340000000
2035,North,32,North,BIO,2020,0.23950000000
2035,North,34,North,GAS_GT,2020,116.38560000000
