dst_region,asset,year,region,technology,installed,capacity
Central,14,2045,Central,BIO,2020,0.01500000000
Central,14,2049,Central,BIO,2020,0.01200000000
Central,14,2050,Central,BIO,2020,0.01120000000
Central,14,2054,Central,BIO,2020,0.00560000000
Central,14,2055,Central,BIO,2020,0.00560000000
Central,14,2059,Central,BIO,2020,0.00560000000
Central,14,2060,Central,BIO,2020,0.00560000000
Central,14,2064,Central,BIO,2020,0.00560000000
Central,14,2065,Central,BIO,2020,0.00560000000
Central,14,2069,Central,BIO,2020,0.00560000000
Central,14,2070,Central,BIO,2020,0.00560000000
Central,14,2074,Central,BIO,2020,0.00560000000
Central,14,2075,Central,BIO,2020,0.00560000000
Central,16,2045,Central,GAS_GT,2020,62.51830000000
Central,16,2049,Central,GAS_GT,2020,50.01470000000
Central,16,2050,Central,GAS_GT,2020,46.88880000000
Central,16,2054,Central,GAS_GT,2020,23.44440000000
Central,16,2055,Central,GAS_GT,2020,23.44440000000
Central,16,2059,Central,GAS_GT,2020,23.44440000000
Central,16,2060,Central,GAS_GT,2020,23.44440000000
Central,16,2064,Central,GAS_GT,2020,23.44440000000
Central,16,2065,Central,GAS_GT,2020,23.44440000000
Central,16,2069,Central,GAS_GT,2020,23.44440000000
Central,16,2070,Central,GAS_GT,2020,23.44440000000
Central,16,2074,Central,GAS_GT,2020,23.44440000000
Central,16,2075,Central,GAS_GT,2020,23.44440000000
Central,18,2045,Central,HYD,2020,1.21230000000
Central,18,2049,Central,HYD,2020,0.96990000000
Central,18,2050,Central,HYD,2020,0.90930000000
Central,18,2054,Central,HYD,2020,0.45460000000
Central,18,2055,Central,HYD,2020,0.45460000000
Central,18,2059,Central,HYD,2020,0.45460000000
Central,18,2060,Central,HYD,2020,0.45460000000
Central,18,2064,Central,HYD,2020,0.45460000000
Central,18,2065,Central,HYD,2020,0.45460000000
Central,18,2069,Central,HYD,2020,0.45460000000
Central,18,2070,Central,HYD,2020,0.45460000000
Central,18,2074,Central,HYD,2020,0.45460000000
Central,18,2075,Central,HYD,2020,0.45460000000
Central,19,2045,Central,OIL,2020,2.06550000000
Central,19,2049,Central,OIL,2020,1.65240000000
Central,19,2050,Central,OIL,2020,1.54910000000
Central,19,2054,Central,OIL,2020,0.77460000000
Central,19,2055,Central,OIL,2020,0.77460000000
Central,19,2059,Central,OIL,2020,0.77460000000
Central,19,2060,Central,OIL,2020,0.77460000000
Central,19,2064,Central,OIL,2020,0.77460000000
Central,19,2065,Central,OIL,2020,0.77460000000
Central,19,2069,Central,OIL,2020,0.77460000000
Central,19,2070,Central,OIL,2020,0.77460000000
Central,19,2074,Central,OIL,2020,0.77460000000
Central,19,2075,Central,OIL,2020,0.77460000000
Central,20,2045,Central,PV_GND,2020,0.31430000000
Central,20,2049,Central,PV_GND,2020,0.25150000000
Central,20,2050,Central,PV_GND,2020,0.23570000000
Central,20,2054,Central,PV_GND,2020,0.11790000000
Central,20,2055,Central,PV_GND,2020,0.11790000000
Central,20,2059,Central,PV_GND,2020,0.11790000000
Central,20,2060,Central,PV_GND,2020,0.11790000000
Central,20,2064,Central,PV_GND,2020,0.11790000000
Central,20,2065,Central,PV_GND,2020,0.11790000000
Central,20,2069,Central,PV_GND,2020,0.11790000000
Central,20,2070,Central,PV_GND,2020,0.11790000000
Central,20,2074,Central,PV_GND,2020,0.11790000000
Central,20,2075,Central,PV_GND,2020,0.11790000000
Eastern,16,2045,Central,GAS_GT,2020,16.94000000000
Eastern,16,2049,Central,GAS_GT,2020,13.55200000000
Eastern,16,2050,Central,GAS_GT,2020,12.70500000000
Eastern,16,2054,Central,GAS_GT,2020,6.35250000000
Eastern,16,2055,Central,GAS_GT,2020,6.35250000000
Eastern,16,2059,Central,GAS_GT,2020,6.35250000000
Eastern,16,2060,Central,GAS_GT,2020,6.35250000000
Eastern,16,2064,Central,GAS_GT,2020,6.35250000000
Eastern,16,2065,Central,GAS_GT,2020,6.35250000000
Eastern,16,2069,Central,GAS_GT,2020,6.35250000000
Eastern,16,2070,Central,GAS_GT,2020,6.35250000000
Eastern,16,2074,Central,GAS_GT,2020,6.35250000000
Eastern,16,2075,Central,GAS_GT,2020,6.35250000000
Eastern,21,2045,Eastern,BIO,2020,2.46960000000
Eastern,21,2049,Eastern,BIO,2020,1.97570000000
Eastern,21,2050,Eastern,BIO,2020,1.85220000000
Eastern,21,2054,Eastern,BIO,2020,0.92610000000
Eastern,21,2055,Eastern,BIO,2020,0.92610000000
Eastern,21,2059,Eastern,BIO,2020,0.92610000000
Eastern,21,2060,Eastern,BIO,2020,0.92610000000
Eastern,21,2064,Eastern,BIO,2020,0.92610000000
Eastern,21,2065,Eastern,BIO,2020,0.92610000000
Eastern,21,2069,Eastern,BIO,2020,0.92610000000
