asset,year,dst_region,region,technology,installed,capacity
0,2030,BajaCalif,BajaCalif,CC_GAS,2020,236.08040000000
0,2035,BajaCalif,BajaCalif,CC_GAS,2020,236.08040000000
0,2040,BajaCalif,BajaCalif,CC_GAS,2020,236.08040000000
0,2045,BajaCalif,BajaCalif,CC_GAS,2020,236.08040000000
0,2049,BajaCalif,BajaCalif,CC_GAS,2020,236.08040000000
0,2050,BajaCalif,BajaCalif,CC_GAS,2020,236.08040000000
1,2030,BajaCalif,BajaCalif,GEOTH,2020,36.25690000000
1,2035,BajaCalif,BajaCalif,GEOTH,2020,36.25690000000
1,2040,BajaCalif,BajaCalif,GEOTH,2020,36.25690000000
1,2045,BajaCalif,BajaCalif,GEOTH,2020,36.25690000000
1,2049,BajaCalif,BajaCalif,GEOTH,2020,36.25690000000
1,2050,BajaCalif,BajaCalif,GEOTH,2020,36.25690000000
2,2030,BajaCalif,BajaCalif,OC_GAS,2020,38.57290000000
2,2035,BajaCalif,BajaCalif,OC_GAS,2020,38.57290000000
2,2040,BajaCalif,BajaCalif,OC_GAS,2020,38.57290000000
2,2045,BajaCalif,BajaCalif,OC_GAS,2020,38.57290000000
2,2049,BajaCalif,BajaCalif,OC_GAS,2020,38.57290000000
2,2050,BajaCalif,BajaCalif,OC_GAS,2020,38.57290000000
3,2030,Central,BajaCalif,OC_GAS,2025,1000.00000000000
3,2030,North,BajaCalif,OC_GAS,2025,579.45710000000
3,2035,Central,BajaCalif,OC_GAS,2025,1000.00000000000
3,2035,North,BajaCalif,OC_GAS,2025,579.45710000000
3,2040,Central,BajaCalif,OC_GAS,2025,1000.00000000000
3,2040,North,BajaCalif,OC_GAS,2025,579.45710000000
3,2045,Central,BajaCalif,OC_GAS,2025,1000.00000000000
3,2045,North,BajaCalif,OC_GAS,2025,579.45710000000
3,2049,Central,BajaCalif,OC_GAS,2025,1000.00000000000
3,2049,North,BajaCalif,OC_GAS,2025,579.45710000000
3,2050,Central,BajaCalif,OC_GAS,2025,1000.00000000000
3,2050,North,BajaCalif,OC_GAS,2025,579.45710000000
3,2054,Central,BajaCalif,OC_GAS,2025,1000.00000000000
3,2054,North,BajaCalif,OC_GAS,2025,579.45710000000
5,2030,BajaCalif,BajaCalif,OC_OIL,2020,6.44970000000
5,2035,BajaCalif,BajaCalif,OC_OIL,2020,6.44970000000
5,2040,BajaCalif,BajaCalif,OC_OIL,2020,6.44970000000
5,2045,BajaCalif,BajaCalif,OC_OIL,2020,6.44970000000
5,2049,BajaCalif,BajaCalif,OC_OIL,2020,6.44970000000
5,2050,BajaCalif,BajaCalif,OC_OIL,2020,6.44970000000
6,2030,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
6,2035,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
6,2040,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
6,2045,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
6,2049,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
6,2050,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
8,2030,BajaCalif,BajaCalif,PV_GND,2020,2.87990000000
8,2035,BajaCalif,BajaCalif,PV_GND,2020,2.87990000000
8,2040,BajaCalif,BajaCalif,PV_GND,2020,2.87990000000
8,2045,BajaCalif,BajaCalif,PV_GND,2020,2.87990000000
8,2049,BajaCalif,BajaCalif,PV_GND,2020,2.87990000000
8,2050,BajaCalif,BajaCalif,PV_GND,2020,2.87990000000
9,2030,BajaCalifSouth,BajaCalifSouth,CC_OIL,2020,36.61270000000
9,2035,BajaCalifSouth,BajaCalifSouth,CC_OIL,2020,36.61270000000
9,2040,BajaCalifSouth,BajaCalifSouth,CC_OIL,2020,36.61270000000
9,2045,BajaCalifSouth,BajaCalifSouth,CC_OIL,2020,36.61270000000
9,2049,BajaCalifSouth,BajaCalifSouth,CC_OIL,2020,36.61270000000
9,2050,BajaCalifSouth,BajaCalifSouth,CC_OIL,2020,36.61270000000
10,2030,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
10,2035,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
10,2040,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
10,2045,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
10,2049,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
10,2050,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
11,2030,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
11,2035,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
11,2040,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
11,2045,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
11,2049,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
11,2050,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
12,2030,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
12,2035,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
12,2040,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
12,2045,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
12,2049,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
12,2050,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
12,2054,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
14,2030,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,60.64180000000
14,2035,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,60.64180000000
14,2040,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,60.64180000000
14,2045,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,60.64180000000
14,2049,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,60.64180000000
14,2050,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,60.64180000000
15,2035,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
15,2040,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
15,2045,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
15,2049,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
15,2050,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
15,2054,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
15,2055,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
15,2059,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
16,2030,Eastern,BajaCalifSouth,ON_WIND,2020,15.16050000000
16,2035,Eastern,BajaCalifSouth,ON_WIND,2020,15.16050000000
16,2040,Eastern,BajaCalifSouth,ON_WIND,2020,15.16050000000
16,2045,Eastern,BajaCalifSouth,ON_WIND,2020,15.16050000000
16,2049,Eastern,BajaCalifSouth,ON_WIND,2020,15.16050000000
17,2030,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
17,2035,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
17,2040,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
17,2045,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
17,2049,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
17,2050,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
17,2054,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
19,2030,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
19,2035,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
19,2040,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
19,2045,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
19,2049,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
19,2050,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
20,2030,Central,Central,BIO,2020,2.35260000000
20,2035,Central,Central,BIO,2020,2.35260000000
20,2040,Central,Central,BIO,2020,2.35260000000
20,2045,Central,Central,BIO,2020,2.35260000000
20,2049,Central,Central,BIO,2020,2.35260000000
20,2050,Central,Central,BIO,2020,2.35260000000
