year,asset,dst_region,region,technology,installed,capacity
2045,0,BajaCalif,BajaCalif,CC_GAS,2020,236.08040000000
2045,1,BajaCalif,BajaCalif,GEOTH,2020,36.25690000000
2045,2,BajaCalif,BajaCalif,OC_GAS,2020,38.57290000000
2045,3,Central,BajaCalif,OC_GAS,2025,1000.00000000000
2045,3,North,BajaCalif,OC_GAS,2025,579.45710000000
2045,4,BajaCalif,BajaCalif,OC_OIL,2020,6.44970000000
2045,5,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
2045,7,BajaCalif,BajaCalif,PV_GND,2020,2.87990000000
2045,8,BajaCalifSouth,BajaCalifSouth,CC_OIL,2020,36.61270000000
2045,9,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
2045,10,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
2045,11,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
2045,13,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,60.64180000000
2045,14,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
2045,15,Eastern,BajaCalifSouth,OFF_WIND,2035,261.74880000000
2045,16,Eastern,BajaCalifSouth,OFF_WIND,2040,261.74880000000
2045,18,Eastern,BajaCalifSouth,ON_WIND,2020,15.16050000000
2045,19,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
2045,21,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
2045,22,Central,Central,BIO,2020,2.35260000000
2045,23,Central,Central,CC_GAS,2020,211.96100000000
2045,24,Central,Central,CC_GAS,2025,0.10420000000
2045,24,Northeast,Central,CC_GAS,2025,520.34400000000
2045,24,BajaCalif,Central,CC_GAS,2025,475.77290000000
2045,25,Northeast,Central,CC_GAS,2030,520.34400000000
2045,26,Northeast,Central,CC_GAS,2035,198.81710000000
2045,28,Central,Central,HYD_LS,2020,23.25020000000
2045,29,Central,Central,OC_GAS,2020,185.19770000000
2045,30,Central,Central,OC_OIL,2020,6.30720000000
2045,31,Central,Central,ON_WIND,2020,0.41690000000
2045,32,Central,Central,PV_GND,2020,8.77580000000
2045,33,Eastern,Eastern,BIO,2020,21.57440000000
2045,34,Eastern,Eastern,CC_GAS,2020,336.76350000000
2045,35,Central,Eastern,CC_GAS,2025,11117.51010000000
2045,35,Northeast,Eastern,CC_GAS,2025,84.19090000000
2045,36,BajaCalif,Eastern,CC_GAS,2030,0.38160000000
2045,38,Eastern,Eastern,CC_OIL,2020,1.52630000000
2045,39,Eastern,Eastern,COALP,2020,175.23670000000
2045,43,Eastern,Eastern,GEOTH,2020,6.81180000000
2045,44,Eastern,Eastern,HYD_LS,2020,407.91690000000
2045,45,Eastern,Eastern,NUCL,2020,103.05960000000
2045,46,Eastern,Eastern,OC_GAS,2020,98.32550000000
2045,47,Eastern,Eastern,OC_OIL,2020,222.65170000000
2045,48,Eastern,Eastern,ON_WIND,2020,194.95680000000
2045,48,BajaCalifSouth,Eastern,ON_WIND,2020,895.28850000000
2045,48,Peninsular,Eastern,ON_WIND,2020,1000.00000000000
2045,49,BajaCalifSouth,Eastern,ON_WIND,2025,1000.00000000000
2045,49,Peninsular,Eastern,ON_WIND,2025,1000.00000000000
2045,50,BajaCalif,Eastern,ON_WIND,2030,1000.00000000000
2045,50,Peninsular,Eastern,ON_WIND,2030,1000.00000000000
2045,51,BajaCalif,Eastern,ON_WIND,2035,922.19480000000
2045,51,Peninsular,Eastern,ON_WIND,2035,1000.00000000000
2045,52,BajaCalif,Eastern,ON_WIND,2040,856.86140000000
2045,52,Peninsular,Eastern,ON_WIND,2040,1000.00000000000
2045,54,Eastern,Eastern,PV_GND,2020,27.80210000000
2045,55,BajaCalif,Eastern,PV_GND,2025,325.66810000000
2045,56,BajaCalif,Eastern,PV_GND,2030,521.58580000000
2045,58,North,North,BIO,2020,0.71590000000
2045,59,North,North,CC_GAS,2020,298.92530000000
2045,60,North,North,COALP,2020,4.09970000000
2045,61,North,North,HYD_LS,2020,3.01040000000
2045,62,North,North,OC_GAS,2020,15.01620000000
2045,63,North,North,OC_OIL,2020,46.78370000000
2045,64,North,North,PV_GND,2020,58.33280000000
2045,65,Northeast,Northeast,BIO,2020,5.33840000000
2045,66,Northeast,Northeast,CC_GAS,2020,788.94370000000
2045,67,Northeast,Northeast,COALP,2020,171.55580000000
2045,68,Northeast,Northeast,HYD_LS,2020,6.14950000000
2045,69,Northeast,Northeast,OC_GAS,2020,134.43100000000
2045,70,Northeast,Northeast,OC_OIL,2020,7.88720000000
2045,71,Northeast,Northeast,ON_WIND,2020,168.91940000000
2045,72,Northeast,Northeast,PV_GND,2020,54.97730000000
2045,73,Northwest,Northwest,CC_GAS,2020,289.92430000000
2045,74,Northwest,Northwest,CC_OIL,2020,0.60550000000
2045,75,Northwest,Northwest,HYD_LS,2020,59.36340000000
2045,76,Northwest,Northwest,OC_GAS,2020,98.89690000000
2045,77,Northwest,Northwest,OC_OIL,2020,40.46700000000
2045,78,Northwest,Northwest,ON_WIND,2020,0.12610000000
2045,79,Northwest,Northwest,PV_GND,2020,77.61890000000
2045,80,Peninsular,Peninsular,BIO,2020,5.22870000000
2045,81,Peninsular,Peninsular,CC_GAS,2020,132.76210000000
2045,82,Peninsular,Peninsular,CC_OIL,2020,24.16980000000
2045,83,Peninsular,Peninsular,OC_GAS,2020,3.66010000000
2045,84,Peninsular,Peninsular,OC_OIL,2020,81.84290000000
2045,85,Peninsular,Peninsular,ON_WIND,2020,15.63550000000
2045,86,Peninsular,Peninsular,PV_GND,2020,22.34140000000
2045,87,Western,Western,BIO,2020,12.72410000000
2045,88,Western,Western,CC_GAS,2020,407.19090000000
2045,90,Western,Western,CC_OIL,2020,44.55410000000
2045,92,Western,Western,FB,2020,36.58180000000
2045,93,North,Western,GAS_CC_CCS,2025,528.71400000000
2045,93,BajaCalif,Western,GAS_CC_CCS,2025,1000.00000000000
2045,95,Western,Western,GEOTH,2020,19.19660000000
2045,96,Western,Western,HYD_LS,2020,297.75600000000
2045,97,Central,Western,HYD_SS,2025,408.72680000000
2045,97,Eastern,Western,HYD_SS,2025,372.12480000000
2045,98,Eastern,Western,HYD_SS,2030,372.12480000000
2045,99,Eastern,Western,HYD_SS,2035,372.12480000000
2045,100,Eastern,Western,HYD_SS,2040,372.12480000000
2045,102,Western,Western,OC_GAS,2020,181.07850000000
2045,103,Western,Western,OC_OIL,2020,16.19750000000
2045,104,Western,Western,ON_WIND,2020,41.85330000000
2045,105,Western,Western,PV_GND,2020,144.90980000000
2049,0,BajaCalif,BajaCalif,CC_GAS,2020,236.08040000000
2049,1,BajaCalif,BajaCalif,GEOTH,2020,36.25690000000
2049,2,BajaCalif,BajaCalif,OC_GAS,2020,38.57290000000
2049,3,Central,BajaCalif,OC_GAS,2025,1000.00000000000
2049,3,North,BajaCalif,OC_GAS,2025,579.45710000000
2049,4,BajaCalif,BajaCalif,OC_OIL,2020,6.44970000000
2049,5,BajaCalif,BajaCalif,ON_WIND,2020,12.36210000000
2049,7,BajaCalif,BajaCalif,PV_GND,2020,2.87990000000
2049,8,BajaCalifSouth,BajaCalifSouth,CC_OIL,2020,36.61270000000
2049,9,BajaCalifSouth,BajaCalifSouth,GEOTH,2020,0.63070000000
2049,10,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
2049,11,Central,BajaCalifSouth,OC_GAS,2025,1000.00000000000
2049,13,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,60.64180000000
2049,14,Eastern,BajaCalifSouth,OFF_WIND,2030,261.74880000000
2049,15,Eastern,BajaCalifSouth,OFF_WIND,2035,261.74880000000
2049,16,Eastern,BajaCalifSouth,OFF_WIND,2040,261.74880000000
2049,18,Eastern,BajaCalifSouth,ON_WIND,2020,15.16050000000
2049,19,Eastern,BajaCalifSouth,ON_WIND,2025,15.16050000000
2049,21,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
2049,22,Central,Central,BIO,2020,2.35260000000
2049,23,Central,Central,CC_GAS,2020,211.96100000000
2049,24,Central,Central,CC_GAS,2025,0.10420000000
2049,24,Northeast,Central,CC_GAS,2025,520.34400000000
2049,24,BajaCalif,Central,CC_GAS,2025,475.77290000000
2049,25,Northeast,Central,CC_GAS,2030,520.34400000000
2049,26,Northeast,Central,CC_GAS,2035,198.81710000000
2049,28,Central,Central,HYD_LS,2020,23.25020000000
2049,29,Central,Central,OC_GAS,2020,185.19770000000
2049,30,Central,Central,OC_OIL,2020,6.30720000000
2049,31,Central,Central,ON_WIND,2020,0.41690000000
2049,32,Central,Central,PV_GND,2020,8.77580000000
2049,33,Eastern,Eastern,BIO,2020,21.57440000000
2049,34,Eastern,Eastern,CC_GAS,2020,336.76350000000
2049,35,Central,Eastern,CC_GAS,2025,11117.51010000000
2049,35,Northeast,Eastern,CC_GAS,2025,84.19090000000
