ProcessName,RegionName,Time,Parameter,Unit,Central,Eastern,Western,Northwest,North,Northeast,BajaCalif,BajaCalifSouth,Peninsular
CC_GAS,Central,2020,cap_par,MUSD/PJ,24.16946163,29.00335396,29.00335396,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652
OC_GAS,Central,2020,cap_par,MUSD/PJ,17.61349516,21.13619419,21.13619419,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064
OC_OIL,Central,2020,cap_par,MUSD/PJ,44.0337379,52.84048548,52.84048548,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516
BIO,Central,2020,cap_par,MUSD/PJ,96.7212313,116.0654776,116.0654776,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252
ON_WIND,Central,2020,cap_par,MUSD/PJ,51.09268512,61.31122214,61.31122214,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405
OFF_WIND,Central,2020,cap_par,MUSD/PJ,132.1765251,158.6118301,158.6118301,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004
GEOTH,Central,2020,cap_par,MUSD/PJ,261.2740281,313.5288337,313.5288337,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112
PV_GND,Central,2020,cap_par,MUSD/PJ,76.38527255,63.65439379,76.38527255,305.5410902,305.5410902,305.5410902,305.5410902,305.5410902,305.5410902
HYD_LS,Central,2020,cap_par,MUSD/PJ,50.09136676,60.10964011,60.10964011,200.365467,200.365467,200.365467,200.365467,200.365467,200.365467
HYD_SS,Central,2020,cap_par,MUSD/PJ,50.09136676,60.10964011,60.10964011,200.365467,200.365467,200.365467,200.365467,200.365467,200.365467
CC_OIL,Central,2020,cap_par,MUSD/PJ,44.0337379,52.84048548,52.84048548,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516
FB,Central,2020,cap_par,MUSD/PJ,132.1765251,158.6118301,158.6118301,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004
COALP,Central,2020,cap_par,MUSD/PJ,45.76448902,54.91738682,54.91738682,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561
NUCL,Central,2020,cap_par,MUSD/PJ,157.68,189.216,189.216,630.72,630.72,630.72,630.72,630.72,630.72
BIO_CCS,Central,2020,cap_par,MUSD/PJ,155.6358597,186.7630316,186.7630316,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388
COALP_CCS,Central,2020,cap_par,MUSD/PJ,91.528978,109.8347736,109.8347736,366.115912,366.115912,366.115912,366.115912,366.115912,366.115912
GAS_CC_CCS,Central,2020,cap_par,MUSD/PJ,39.87961169,47.85553403,47.85553403,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468
FC_H2,Central,2020,cap_par,MUSD/PJ,99,105,105,109,111,110,290,310,260
C_H2,Central,2020,cap_par,MUSD/PJ,99,105,105,109,111,110,290,310,260
PV_SSG,Central,2020,cap_par,MUSD/PJ,76.38527255,63.65439379,76.38527255,305.5410902,305.5410902,305.5410902,305.5410902,305.5410902,305.5410902
CSP,Central,2020,cap_par,MUSD/PJ,157.8628966,131.5524138,157.8628966,631.4515862,631.4515862,631.4515862,631.4515862,631.4515862,631.4515862
CC_GAS,Eastern,2020,cap_par,MUSD/PJ,29.00335396,24.16946163,29.00335396,116.0134158,116.0134158,116.0134158,116.0134158,116.0134158,116.0134158
OC_GAS,Eastern,2020,cap_par,MUSD/PJ,21.13619419,17.61349516,21.13619419,84.54477677,84.54477677,84.54477677,84.54477677,84.54477677,84.54477677
OC_OIL,Eastern,2020,cap_par,MUSD/PJ,52.84048548,44.0337379,52.84048548,211.3619419,211.3619419,211.3619419,211.3619419,211.3619419,211.3619419
BIO,Eastern,2020,cap_par,MUSD/PJ,116.0654776,96.7212313,116.0654776,464.2619102,464.2619102,464.2619102,464.2619102,464.2619102,464.2619102
ON_WIND,Eastern,2020,cap_par,MUSD/PJ,61.31122214,51.09268512,61.31122214,245.2448886,245.2448886,245.2448886,245.2448886,245.2448886,245.2448886
