dst_region,year,asset,region,technology,installed,capacity
Central,2025,19,Central,BIO,2020,2.35260000000
Central,2025,20,Central,CC_GAS,2020,211.96100000000
Central,2025,22,Central,HYD_LS,2020,23.25020000000
Central,2025,23,Central,OC_GAS,2020,185.19770000000
Central,2025,24,Central,OC_OIL,2020,6.30720000000
Central,2025,25,Central,ON_WIND,2020,0.41690000000
Central,2025,26,Central,PV_GND,2020,8.77580000000
Central,2025,27,Central,PV_SSG,2020,15.16090000000
Central,2030,19,Central,BIO,2020,2.29140000000
Central,2030,20,Central,CC_GAS,2020,77.11810000000
Central,2030,22,Central,HYD_LS,2020,18.85220000000
Central,2030,23,Central,OC_GAS,2020,71.13070000000
Central,2030,24,Central,OC_OIL,2020,4.60430000000
Central,2030,25,Central,ON_WIND,2020,0.41690000000
Central,2030,26,Central,PV_GND,2020,1.34600000000
Central,2030,27,Central,PV_SSG,2020,15.16090000000
Central,2035,19,Central,BIO,2020,2.29140000000
Central,2035,20,Central,CC_GAS,2020,77.11810000000
Central,2035,22,Central,HYD_LS,2020,18.85220000000
Central,2035,23,Central,OC_GAS,2020,23.39400000000
Central,2035,24,Central,OC_OIL,2020,0.54180000000
Central,2035,25,Central,ON_WIND,2020,0.41690000000
Central,2035,26,Central,PV_GND,2020,1.34600000000
Central,2035,27,Central,PV_SSG,2020,15.16090000000
Central,2040,19,Central,BIO,2020,2.12300000000
Central,2040,20,Central,CC_GAS,2020,77.11810000000
Central,2040,22,Central,HYD_LS,2020,18.85220000000
Central,2040,23,Central,OC_GAS,2020,17.68980000000
Central,2040,24,Central,OC_OIL,2020,0.37840000000
Central,2040,26,Central,PV_GND,2020,1.34600000000
Central,2040,27,Central,PV_SSG,2020,15.16090000000
Central,2044,19,Central,BIO,2020,0.42460000000
Central,2044,20,Central,CC_GAS,2020,77.11810000000
Central,2044,22,Central,HYD_LS,2020,18.85220000000
Central,2044,23,Central,OC_GAS,2020,3.59350000000
Central,2044,24,Central,OC_OIL,2020,0.07570000000
Central,2044,26,Central,PV_GND,2020,0.26920000000
Central,2044,27,Central,PV_SSG,2020,6.15400000000
Central,2045,20,Central,CC_GAS,2020,77.11810000000
Central,2045,22,Central,HYD_LS,2020,18.85220000000
Central,2045,23,Central,OC_GAS,2020,0.06940000000
Central,2045,27,Central,PV_SSG,2020,3.90230000000
Central,2049,20,Central,CC_GAS,2020,44.01740000000
Central,2049,22,Central,HYD_LS,2020,4.11860000000
Central,2049,23,Central,OC_GAS,2020,0.01390000000
Central,2049,27,Central,PV_SSG,2020,0.78050000000
Central,2050,20,Central,CC_GAS,2020,35.74230000000
Central,2050,22,Central,HYD_LS,2020,0.43520000000
Central,2054,20,Central,CC_GAS,2020,30.63620000000
Central,2054,22,Central,HYD_LS,2020,0.37300000000
Central,2055,20,Central,CC_GAS,2020,29.35970000000
Central,2055,22,Central,HYD_LS,2020,0.35750000000
Central,2059,20,Central,CC_GAS,2020,24.25370000000
Central,2059,22,Central,HYD_LS,2020,0.29530000000
Central,2060,20,Central,CC_GAS,2020,22.97720000000
Central,2060,22,Central,HYD_LS,2020,0.27980000000
Central,2064,20,Central,CC_GAS,2020,17.87110000000
Central,2064,22,Central,HYD_LS,2020,0.21760000000
Central,2065,20,Central,CC_GAS,2020,17.87110000000
Central,2065,22,Central,HYD_LS,2020,0.21760000000
Central,2069,20,Central,CC_GAS,2020,17.87110000000
Central,2069,22,Central,HYD_LS,2020,0.21760000000
Central,2070,20,Central,CC_GAS,2020,17.87110000000
Central,2070,22,Central,HYD_LS,2020,0.21760000000
Central,2084,20,Central,CC_GAS,2020,17.87110000000
Central,2084,22,Central,HYD_LS,2020,0.21760000000
Central,2085,20,Central,CC_GAS,2020,17.87110000000
Central,2085,22,Central,HYD_LS,2020,0.21760000000
Central,2089,20,Central,CC_GAS,2020,17.87110000000
Central,2089,22,Central,HYD_LS,2020,0.21760000000
Central,2090,20,Central,CC_GAS,2020,17.87110000000
Central,2090,22,Central,HYD_LS,2020,0.21760000000
