year,asset,dst_region,region,technology,installed,capacity
2035,0,BajaCalif,BajaCalif,CC_GAS,2020,51.55570000000
2035,2,BajaCalif,BajaCalif,OC_GAS,2020,16.81310000000
2035,4,BajaCalif,BajaCalif,OC_OIL,2020,0.21000000000
2035,5,BajaCalif,BajaCalif,ON_WIND,2020,11.73140000000
2035,7,BajaCalif,BajaCalif,PV_GND,2020,0.06560000000
2035,8,BajaCalif,BajaCalif,PV_SSG,2020,4.22580000000
2035,9,BajaCalifSouth,BajaCalifSouth,OC_GAS,2020,2.90130000000
2035,11,BajaCalifSouth,BajaCalifSouth,OC_OIL,2020,9.92440000000
2035,14,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,3.53010000000
2035,15,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,1.07200000000
2035,16,Central,Central,BIO,2020,2.29140000000
2035,17,Central,Central,CC_GAS,2020,77.11810000000
2035,19,Central,Central,HYD_LS,2020,18.85220000000
2035,20,Central,Central,OC_GAS,2020,23.39400000000
2035,21,Central,Central,OC_OIL,2020,0.54180000000
2035,22,Central,Central,ON_WIND,2020,0.41690000000
2035,23,Central,Central,PV_GND,2020,1.34600000000
2035,24,Central,Central,PV_SSG,2020,15.16090000000
2035,25,Eastern,Eastern,BIO,2020,15.18460000000
2035,26,Eastern,Eastern,CC_GAS,2020,97.26770000000
2035,29,Eastern,Eastern,HYD_LS,2020,82.48560000000
2035,30,Eastern,Eastern,NUCL,2020,103.05960000000
2035,31,Eastern,Eastern,OC_GAS,2020,20.17990000000
2035,32,Eastern,Eastern,OC_OIL,2020,0.94990000000
2035,33,Eastern,Eastern,ON_WIND,2020,167.41960000000
2035,35,Eastern,Eastern,PV_GND,2020,27.80210000000
2035,37,Eastern,Eastern,PV_SSG,2020,9.75950000000
2035,38,North,North,BIO,2020,0.71590000000
2035,39,North,North,CC_GAS,2020,174.38340000000
2035,40,North,North,COAL,2020,4.09970000000
2035,44,North,North,HYD_LS,2020,1.24440000000
2035,46,North,North,OC_GAS,2020,9.71810000000
2035,47,North,North,OC_OIL,2020,0.23020000000
2035,48,North,North,PV_GND,2020,47.42130000000
2035,49,North,North,PV_SSG,2020,11.45270000000
2035,50,Northeast,Northeast,BIO,2020,3.05770000000
2035,51,Northeast,Northeast,CC_GAS,2020,380.76440000000
2035,56,Northeast,Northeast,HYD_LS,2020,4.16280000000
2035,58,Northeast,Northeast,OC_GAS,2020,71.69900000000
2035,59,Northeast,Northeast,OC_OIL,2020,1.42860000000
2035,60,Northeast,Northeast,ON_WIND,2020,151.95310000000
2035,61,Northeast,Northeast,PV_GND,2020,53.09020000000
2035,62,Northeast,Northeast,PV_SSG,2020,20.95430000000
2035,63,Northwest,Northwest,CC_GAS,2020,241.42070000000
2035,64,Northwest,Northwest,HYD_LS,2020,38.72620000000
2035,65,Northwest,Northwest,OC_OIL,2020,2.32740000000
2035,66,Northwest,Northwest,ON_WIND,2020,0.12610000000
2035,67,Northwest,Northwest,PV_GND,2020,75.41140000000
2035,68,Northwest,Northwest,PV_SSG,2020,9.29660000000
2035,69,Peninsular,Peninsular,BIO,2020,2.13810000000
