asset,year,technology,region,installed,capacity
0,2030,cars_gsl,BajaCalif,2020,26.56590000000
0,2034,cars_gsl,BajaCalif,2020,15.93960000000
0,2035,cars_gsl,BajaCalif,2020,13.28300000000
0,2039,cars_gsl,BajaCalif,2020,2.65660000000
1,2030,cars_gsl,BajaCalif,2025,39937.72780000000
1,2034,cars_gsl,BajaCalif,2025,39937.72780000000
1,2035,cars_gsl,BajaCalif,2025,39937.72780000000
1,2039,cars_gsl,BajaCalif,2025,39937.72780000000
2,2030,cars_gsl,BajaCalifSouth,2020,6.82120000000
2,2034,cars_gsl,BajaCalifSouth,2020,4.09270000000
2,2035,cars_gsl,BajaCalifSouth,2020,3.41060000000
2,2039,cars_gsl,BajaCalifSouth,2020,0.68210000000
3,2034,cars_gsl,BajaCalifSouth,2030,2731.22320000000
3,2035,cars_gsl,BajaCalifSouth,2030,23414.02900000000
3,2039,cars_gsl,BajaCalifSouth,2030,23414.02900000000
3,2040,cars_gsl,BajaCalifSouth,2030,23414.02900000000
3,2044,cars_gsl,BajaCalifSouth,2030,23414.02900000000
4,2030,cars_gsl,Central,2020,39979.10110000000
4,2034,cars_gsl,Central,2020,39962.38200000000
4,2035,cars_gsl,Central,2020,20.89890000000
4,2039,cars_gsl,Central,2020,4.17980000000
5,2035,cars_gsl,Central,2030,39979.10110000000
5,2039,cars_gsl,Central,2030,39979.10110000000
5,2040,cars_gsl,Central,2030,39979.10110000000
5,2044,cars_gsl,Central,2030,39979.10110000000
6,2030,cars_gsl,Eastern,2020,162.67850000000
6,2034,cars_gsl,Eastern,2020,97.60710000000
6,2035,cars_gsl,Eastern,2020,81.33920000000
6,2039,cars_gsl,Eastern,2020,16.26780000000
7,2030,cars_gsl,Eastern,2025,39837.32150000000
7,2034,cars_gsl,Eastern,2025,39837.32150000000
7,2035,cars_gsl,Eastern,2025,39837.32150000000
7,2039,cars_gsl,Eastern,2025,39837.32150000000
8,2030,cars_gsl,North,2020,53.55760000000
8,2034,cars_gsl,North,2020,32.13460000000
8,2035,cars_gsl,North,2020,26.77880000000
8,2039,cars_gsl,North,2020,5.35580000000
9,2034,cars_gsl,North,2030,15978.57700000000
9,2035,cars_gsl,North,2030,39973.22120000000
9,2039,cars_gsl,North,2030,39973.22120000000
9,2040,cars_gsl,North,2030,39973.22120000000
9,2044,cars_gsl,North,2030,39973.22120000000
10,2030,cars_gsl,Northeast,2020,150.00100000000
