ProcessName,RegionName,Time,Level,cap_exp,fix_exp,var_par,var_exp,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,AgentShare
Unit,-,Year,-,-,-,MUS$2010/PJ,-,Years,-,PJ,%,-,-,-,-,
BIO,BajaCalif,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,30,0.1,energy,biomass,electricity,1
BIO_CCS,BajaCalif,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,30.33333333,0.1,energy,biomass,electricity,1
C_H2,BajaCalif,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,38.66666667,0.1,energy,hydrogen,electricity,1
CC_GAS,BajaCalif,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,58.33333333,0.1,energy,gas,electricity,1
CC_OIL,BajaCalif,2020,fixed,1,1,0.277777778,1,30,0.95,0.00000189,38.66666667,0.1,energy,hfo,electricity,1
COAL,BajaCalif,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,39.58333333,0.1,energy,coal,electricity,1
COAL_CCS,BajaCalif,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,32.66666667,0.1,energy,coal,electricity,1
CSP,BajaCalif,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,100,0.1,energy,solar,electricity,1
FB,BajaCalif,2020,fixed,1,1,0.277777778,1,40,0.95,0.00000189,41.58333333,0.1,energy,coal,electricity,1
FC_H2,BajaCalif,2020,fixed,1,1,0.277777778,1,1,0.95,0.00000189,60,0.1,energy,hydrogen,electricity,1
GAS_CC_CCS,BajaCalif,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,58.33333333,0.1,energy,gas,electricity,1
GEOTH,BajaCalif,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,10,0.1,energy,geo,electricity,1
HYD_LS,BajaCalif,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,100,0.1,energy,water,electricity,1
HYD_SS,BajaCalif,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,100,0.1,energy,water,electricity,1
NUCL,BajaCalif,2020,fixed,1,1,0.277777778,1,60,0.95,0.00000189,36.33333333,0.1,energy,uranium,electricity,1
OC_GAS,BajaCalif,2020,fixed,1,1,0.277777778,1,35,0.95,0.00000189,38.66666667,0.1,energy,gas,electricity,1
