asset,year,technology,region,installed,capacity
0,2040,BIO,BajaCalif,2020,0.00010000000
0,2045,BIO,BajaCalif,2020,0.00010000000
0,2049,BIO,BajaCalif,2020,0.00010000000
0,2050,BIO,BajaCalif,2020,0.00010000000
1,2040,BIO,BajaCalifSouth,2020,0.05010000000
1,2045,BIO,BajaCalifSouth,2020,0.05010000000
1,2049,BIO,BajaCalifSouth,2020,0.05010000000
1,2050,BIO,BajaCalifSouth,2020,0.00010000000
2,2040,BIO,Central,2020,0.02910000000
2,2045,BIO,Central,2020,0.02850000000
2,2049,BIO,Central,2020,0.02800000000
2,2050,BIO,Central,2020,0.02790000000
3,2040,BIO,Eastern,2020,4.79950000000
3,2045,BIO,Eastern,2020,4.70350000000
3,2049,BIO,Eastern,2020,4.62820000000
3,2050,BIO,Eastern,2020,4.60940000000
4,2040,BIO,North,2020,0.26180000000
4,2045,BIO,North,2020,0.25660000000
4,2049,BIO,North,2020,0.25240000000
4,2050,BIO,North,2020,0.25140000000
5,2040,BIO,Northeast,2020,0.55270000000
5,2045,BIO,Northeast,2020,0.54160000000
5,2049,BIO,Northeast,2020,0.53290000000
5,2050,BIO,Northeast,2020,0.53080000000
6,2040,BIO,Northwest,2020,0.00010000000
6,2045,BIO,Northwest,2020,0.00010000000
6,2049,BIO,Northwest,2020,0.00010000000
6,2050,BIO,Northwest,2020,0.00010000000
7,2040,BIO,Peninsular,2020,0.05010000000
7,2045,BIO,Peninsular,2020,0.05010000000
7,2049,BIO,Peninsular,2020,0.05010000000
7,2050,BIO,Peninsular,2020,0.00010000000
8,2040,BIO,Western,2020,1.16350000000
8,2045,BIO,Western,2020,1.14020000000
8,2049,BIO,Western,2020,1.12200000000
8,2050,BIO,Western,2020,1.11740000000
9,2040,BIO_CCS,BajaCalif,2020,0.00010000000
9,2045,BIO_CCS,BajaCalif,2020,0.00010000000
9,2049,BIO_CCS,BajaCalif,2020,0.00010000000
9,2050,BIO_CCS,BajaCalif,2020,0.00010000000
10,2040,BIO_CCS,BajaCalifSouth,2020,0.00010000000
10,2045,BIO_CCS,BajaCalifSouth,2020,0.00010000000
10,2049,BIO_CCS,BajaCalifSouth,2020,0.00010000000
10,2050,BIO_CCS,BajaCalifSouth,2020,0.00010000000
11,2040,BIO_CCS,Central,2020,0.00010000000
11,2045,BIO_CCS,Central,2020,0.00010000000
11,2049,BIO_CCS,Central,2020,0.00010000000
11,2050,BIO_CCS,Central,2020,0.00010000000
12,2040,BIO_CCS,Eastern,2020,0.00010000000
12,2045,BIO_CCS,Eastern,2020,0.00010000000
12,2049,BIO_CCS,Eastern,2020,0.00010000000
12,2050,BIO_CCS,Eastern,2020,0.00010000000
13,2040,BIO_CCS,North,2020,0.00010000000
13,2045,BIO_CCS,North,2020,0.00010000000
13,2049,BIO_CCS,North,2020,0.00010000000
13,2050,BIO_CCS,North,2020,0.00010000000
14,2040,BIO_CCS,Northeast,2020,0.00010000000
14,2045,BIO_CCS,Northeast,2020,0.00010000000
14,2049,BIO_CCS,Northeast,2020,0.00010000000
14,2050,BIO_CCS,Northeast,2020,0.00010000000
15,2040,BIO_CCS,Northwest,2020,0.00010000000
15,2045,BIO_CCS,Northwest,2020,0.00010000000
15,2049,BIO_CCS,Northwest,2020,0.00010000000
15,2050,BIO_CCS,Northwest,2020,0.00010000000
16,2040,BIO_CCS,Peninsular,2020,0.00010000000
16,2045,BIO_CCS,Peninsular,2020,0.00010000000
16,2049,BIO_CCS,Peninsular,2020,0.00010000000
16,2050,BIO_CCS,Peninsular,2020,0.00010000000
17,2040,BIO_CCS,Western,2020,0.00010000000
17,2045,BIO_CCS,Western,2020,0.00010000000
17,2049,BIO_CCS,Western,2020,0.00010000000
17,2050,BIO_CCS,Western,2020,0.00010000000
18,2040,COAL,BajaCalif,2020,0.05010000000
18,2045,COAL,BajaCalif,2020,0.05010000000
18,2049,COAL,BajaCalif,2020,0.05010000000
18,2050,COAL,BajaCalif,2020,0.00010000000
19,2040,COAL,BajaCalifSouth,2020,0.05010000000
19,2045,COAL,BajaCalifSouth,2020,0.05010000000
19,2049,COAL,BajaCalifSouth,2020,0.05010000000
19,2050,COAL,BajaCalifSouth,2020,0.00010000000
20,2040,COAL,Central,2020,0.00010000000
20,2045,COAL,Central,2020,0.00010000000
20,2049,COAL,Central,2020,0.00010000000
20,2050,COAL,Central,2020,0.00010000000
21,2040,COAL,Eastern,2020,0.00010000000
21,2045,COAL,Eastern,2020,0.00010000000
21,2049,COAL,Eastern,2020,0.00010000000
21,2050,COAL,Eastern,2020,0.00010000000
22,2040,COAL,North,2020,0.00010000000
22,2045,COAL,North,2020,0.00010000000
