asset,year,technology,region,installed,capacity
0,2045,e_tec2,BajaCalif,2035,26.59110000000
0,2049,e_tec2,BajaCalif,2035,26.59110000000
1,2045,e_tec2,BajaCalif,2040,30.07560000000
1,2049,e_tec2,BajaCalif,2040,30.07560000000
1,2050,e_tec2,BajaCalif,2040,30.07560000000
1,2054,e_tec2,BajaCalif,2040,30.07560000000
2,2050,e_tec2,BajaCalif,2045,29.92440000000
2,2054,e_tec2,BajaCalif,2045,29.92440000000
2,2055,e_tec2,BajaCalif,2045,29.92440000000
2,2059,e_tec2,BajaCalif,2045,29.92440000000
3,2045,e_tec2,BajaCalifSouth,2035,6.19200000000
3,2049,e_tec2,BajaCalifSouth,2035,6.19200000000
4,2045,e_tec2,BajaCalifSouth,2040,3.72460000000
4,2049,e_tec2,BajaCalifSouth,2040,3.72460000000
4,2050,e_tec2,BajaCalifSouth,2040,3.72460000000
4,2054,e_tec2,BajaCalifSouth,2040,3.72460000000
5,2050,e_tec2,BajaCalifSouth,2045,6.77540000000
5,2054,e_tec2,BajaCalifSouth,2045,6.77540000000
5,2055,e_tec2,BajaCalifSouth,2045,6.77540000000
5,2059,e_tec2,BajaCalifSouth,2045,6.77540000000
6,2045,e_tec2,Central,2035,52.18170000000
6,2049,e_tec2,Central,2035,52.18170000000
7,2045,e_tec2,Central,2040,124.90160000000
7,2049,e_tec2,Central,2040,124.90160000000
7,2050,e_tec2,Central,2040,124.90160000000
7,2054,e_tec2,Central,2040,124.90160000000
8,2050,e_tec2,Central,2045,62.59840000000
8,2054,e_tec2,Central,2045,62.59840000000
8,2055,e_tec2,Central,2045,62.59840000000
8,2059,e_tec2,Central,2045,62.59840000000
9,2045,e_tec2,Eastern,2035,163.34220000000
9,2049,e_tec2,Eastern,2035,163.34220000000
10,2045,e_tec2,Eastern,2040,187.99120000000
10,2049,e_tec2,Eastern,2040,187.99120000000
10,2050,e_tec2,Eastern,2040,187.99120000000
10,2054,e_tec2,Eastern,2040,187.99120000000
11,2050,e_tec2,Eastern,2045,184.00880000000
11,2054,e_tec2,Eastern,2045,184.00880000000
11,2055,e_tec2,Eastern,2045,184.00880000000
11,2059,e_tec2,Eastern,2045,184.00880000000
12,2045,e_tec2,North,2035,51.00150000000
12,2049,e_tec2,North,2035,51.00150000000
13,2045,e_tec2,North,2040,41.08180000000
13,2049,e_tec2,North,2040,41.08180000000
13,2050,e_tec2,North,2040,41.08180000000
13,2054,e_tec2,North,2040,41.08180000000
14,2050,e_tec2,North,2045,56.41820000000
14,2054,e_tec2,North,2045,56.41820000000
14,2055,e_tec2,North,2045,56.41820000000
14,2059,e_tec2,North,2045,56.41820000000
15,2045,e_tec2,Northeast,2035,162.83410000000
15,2049,e_tec2,Northeast,2035,162.83410000000
16,2045,e_tec2,Northeast,2040,264.99930000000
16,2049,e_tec2,Northeast,2040,264.99930000000
16,2050,e_tec2,Northeast,2040,264.99930000000
16,2054,e_tec2,Northeast,2040,264.99930000000
17,2050,e_tec2,Northeast,2045,188.00070000000
17,2054,e_tec2,Northeast,2045,188.00070000000
17,2055,e_tec2,Northeast,2045,188.00070000000
17,2059,e_tec2,Northeast,2045,188.00070000000
18,2045,e_tec2,Northwest,2035,64.72350000000
18,2049,e_tec2,Northwest,2035,64.72350000000
19,2045,e_tec2,Northwest,2040,44.35990000000
19,2049,e_tec2,Northwest,2040,44.35990000000
19,2050,e_tec2,Northwest,2040,44.35990000000
19,2054,e_tec2,Northwest,2040,44.35990000000
20,2050,e_tec2,Northwest,2045,71.14010000000
20,2054,e_tec2,Northwest,2045,71.14010000000
20,2055,e_tec2,Northwest,2045,71.14010000000
20,2059,e_tec2,Northwest,2045,71.14010000000
21,2045,e_tec2,Peninsular,2035,9.10970000000
21,2049,e_tec2,Peninsular,2035,9.10970000000
22,2045,e_tec2,Peninsular,2040,7.89030000000
22,2049,e_tec2,Peninsular,2040,7.89030000000
22,2050,e_tec2,Peninsular,2040,7.89030000000
22,2054,e_tec2,Peninsular,2040,7.89030000000
23,2050,e_tec2,Peninsular,2045,10.10970000000
23,2054,e_tec2,Peninsular,2045,10.10970000000
23,2055,e_tec2,Peninsular,2045,10.10970000000
23,2059,e_tec2,Peninsular,2045,10.10970000000
24,2045,e_tec2,Western,2035,106.75640000000
24,2049,e_tec2,Western,2035,106.75640000000
25,2045,e_tec2,Western,2040,74.57690000000
25,2049,e_tec2,Western,2040,74.57690000000
25,2050,e_tec2,Western,2040,74.57690000000
25,2054,e_tec2,Western,2040,74.57690000000
26,2050,e_tec2,Western,2045,117.42310000000
26,2054,e_tec2,Western,2045,117.42310000000
26,2055,e_tec2,Western,2045,117.42310000000
26,2059,e_tec2,Western,2045,117.42310000000
