dst_region,year,asset,region,technology,installed,capacity
Central,2030,20,Central,BIO,2020,2.29140000000
Central,2030,22,Central,CC_GAS,2020,77.11810000000
Central,2030,24,Central,HYD_LS,2020,18.85220000000
Central,2030,25,Central,OC_GAS,2020,71.13070000000
Central,2030,26,Central,OC_OIL,2020,4.60430000000
Central,2030,27,Central,ON_WIND,2020,0.41690000000
Central,2030,28,Central,PV_GND,2020,1.34600000000
Central,2030,29,Central,PV_SSG,2020,15.16090000000
Central,2035,20,Central,BIO,2020,2.29140000000
Central,2035,22,Central,CC_GAS,2020,77.11810000000
Central,2035,24,Central,HYD_LS,2020,18.85220000000
Central,2035,25,Central,OC_GAS,2020,23.39400000000
Central,2035,26,Central,OC_OIL,2020,0.54180000000
Central,2035,27,Central,ON_WIND,2020,0.41690000000
Central,2035,28,Central,PV_GND,2020,1.34600000000
Central,2035,29,Central,PV_SSG,2020,15.16090000000
Central,2040,20,Central,BIO,2020,2.12300000000
Central,2040,22,Central,CC_GAS,2020,77.11810000000
Central,2040,24,Central,HYD_LS,2020,18.85220000000
Central,2040,25,Central,OC_GAS,2020,17.68980000000
Central,2040,26,Central,OC_OIL,2020,0.37840000000
Central,2040,28,Central,PV_GND,2020,1.34600000000
Central,2040,29,Central,PV_SSG,2020,15.16090000000
Central,2044,20,Central,BIO,2020,0.42460000000
Central,2044,22,Central,CC_GAS,2020,77.11810000000
Central,2044,24,Central,HYD_LS,2020,18.85220000000
Central,2044,25,Central,OC_GAS,2020,3.59350000000
Central,2044,26,Central,OC_OIL,2020,0.07570000000
Central,2044,28,Central,PV_GND,2020,0.26920000000
Central,2044,29,Central,PV_SSG,2020,6.15400000000
Central,2045,22,Central,CC_GAS,2020,77.11810000000
Central,2045,24,Central,HYD_LS,2020,18.85220000000
Central,2045,25,Central,OC_GAS,2020,0.06940000000
Central,2045,29,Central,PV_SSG,2020,3.90230000000
Central,2049,22,Central,CC_GAS,2020,44.01740000000
Central,2049,24,Central,HYD_LS,2020,4.11860000000
Central,2049,25,Central,OC_GAS,2020,0.01390000000
Central,2049,29,Central,PV_SSG,2020,0.78050000000
Central,2050,22,Central,CC_GAS,2020,35.74230000000
Central,2050,24,Central,HYD_LS,2020,0.43520000000
Central,2054,22,Central,CC_GAS,2020,30.63620000000
Central,2054,24,Central,HYD_LS,2020,0.37300000000
Central,2055,22,Central,CC_GAS,2020,29.35970000000
Central,2055,24,Central,HYD_LS,2020,0.35750000000
Central,2059,22,Central,CC_GAS,2020,24.25370000000
Central,2059,24,Central,HYD_LS,2020,0.29530000000
Central,2060,22,Central,CC_GAS,2020,22.97720000000
Central,2060,24,Central,HYD_LS,2020,0.27980000000
Central,2064,22,Central,CC_GAS,2020,17.87110000000
Central,2064,24,Central,HYD_LS,2020,0.21760000000
Central,2065,22,Central,CC_GAS,2020,17.87110000000
Central,2065,24,Central,HYD_LS,2020,0.21760000000
Central,2069,22,Central,CC_GAS,2020,17.87110000000
Central,2069,24,Central,HYD_LS,2020,0.21760000000
Central,2070,22,Central,CC_GAS,2020,17.87110000000
Central,2070,24,Central,HYD_LS,2020,0.21760000000
Central,2074,22,Central,CC_GAS,2020,17.87110000000
Central,2074,24,Central,HYD_LS,2020,0.21760000000
Central,2075,22,Central,CC_GAS,2020,17.87110000000
Central,2075,24,Central,HYD_LS,2020,0.21760000000
Central,2084,22,Central,CC_GAS,2020,17.87110000000
Central,2084,24,Central,HYD_LS,2020,0.21760000000
Central,2085,22,Central,CC_GAS,2020,17.87110000000
Central,2085,24,Central,HYD_LS,2020,0.21760000000
Central,2089,22,Central,CC_GAS,2020,17.87110000000
Central,2089,24,Central,HYD_LS,2020,0.21760000000
Central,2090,22,Central,CC_GAS,2020,17.87110000000
Central,2090,24,Central,HYD_LS,2020,0.21760000000
Central,2094,22,Central,CC_GAS,2020,17.87110000000
Central,2094,24,Central,HYD_LS,2020,0.21760000000
Central,2095,22,Central,CC_GAS,2020,17.87110000000
Central,2095,24,Central,HYD_LS,2020,0.21760000000
Eastern,2030,30,Eastern,BIO,2020,15.98880000000
Eastern,2030,32,Eastern,CC_GAS,2020,221.94090000000
Eastern,2030,34,Eastern,COAL,2020,175.23670000000
Eastern,2030,35,Eastern,HYD_LS,2020,233.85840000000
Eastern,2030,37,Eastern,NUCL,2020,103.05960000000
Eastern,2030,38,Eastern,OC_GAS,2020,74.45020000000
Eastern,2030,39,Eastern,OC_OIL,2020,3.00660000000
Eastern,2030,40,Eastern,ON_WIND,2020,189.64620000000
Eastern,2030,42,Eastern,PV_GND,2020,27.80210000000
Eastern,2030,44,Eastern,PV_SSG,2020,9.75950000000
Eastern,2035,30,Eastern,BIO,2020,15.18460000000
Eastern,2035,32,Eastern,CC_GAS,2020,97.26770000000
Eastern,2035,35,Eastern,HYD_LS,2020,82.48560000000
Eastern,2035,37,Eastern,NUCL,2020,103.05960000000
Eastern,2035,38,Eastern,OC_GAS,2020,20.17990000000
Eastern,2035,39,Eastern,OC_OIL,2020,0.94990000000
Eastern,2035,40,Eastern,ON_WIND,2020,167.41960000000
Eastern,2035,42,Eastern,PV_GND,2020,27.80210000000
Eastern,2035,44,Eastern,PV_SSG,2020,9.75950000000
Eastern,2040,30,Eastern,BIO,2020,11.33910000000
Eastern,2040,32,Eastern,CC_GAS,2020,57.91080000000
Eastern,2040,35,Eastern,HYD_LS,2020,18.15210000000
Eastern,2040,37,Eastern,NUCL,2020,103.05960000000
Eastern,2040,38,Eastern,OC_GAS,2020,14.90830000000
Eastern,2040,39,Eastern,OC_OIL,2020,0.41380000000
Eastern,2040,40,Eastern,ON_WIND,2020,54.19270000000
Eastern,2040,42,Eastern,PV_GND,2020,27.80210000000
Eastern,2040,44,Eastern,PV_SSG,2020,9.75950000000
Eastern,2044,30,Eastern,BIO,2020,2.26780000000
Eastern,2044,32,Eastern,CC_GAS,2020,51.95680000000
Eastern,2044,35,Eastern,HYD_LS,2020,17.59560000000
Eastern,2044,37,Eastern,NUCL,2020,103.05960000000
Eastern,2044,38,Eastern,OC_GAS,2020,2.98170000000
Eastern,2044,39,Eastern,OC_OIL,2020,0.08280000000
