timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,fruits,0,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.00040000000
0,fruits,4,2050,2020,agrTraditionalCropping_fruits,all-year,all-week,night,0.00040000000
0,fruits,11,2055,2050,agrModernCropping_fruits,all-year,all-week,night,0.00040000000
0,fruits,15,2055,2050,agrTraditionalCropping_fruits,all-year,all-week,night,0.00040000000
0,fruits,22,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.00020000000
0,fruits,26,2050,2020,agrTraditionalCropping_fruits,all-year,all-week,night,0.00020000000
0,fruits,33,2055,2050,agrModernCropping_fruits,all-year,all-week,night,0.00020000000
0,fruits,37,2055,2050,agrTraditionalCropping_fruits,all-year,all-week,night,0.00020000000
0,fruits,44,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.10440000000
0,fruits,48,2050,2020,agrTraditionalCropping_fruits,all-year,all-week,night,0.10440000000
0,fruits,55,2055,2050,agrModernCropping_fruits,all-year,all-week,night,0.10440000000
0,fruits,59,2055,2050,agrTraditionalCropping_fruits,all-year,all-week,night,0.10440000000
0,fruits,66,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.00070000000
0,fruits,70,2050,2020,agrTraditionalCropping_fruits,all-year,all-week,night,0.00070000000
0,fruits,77,2055,2050,agrModernCropping_fruits,all-year,all-week,night,0.00070000000
0,fruits,81,2055,2050,agrTraditionalCropping_fruits,all-year,all-week,night,0.00070000000
0,fruits,88,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.00010000000
0,fruits,92,2050,2020,agrTraditionalCropping_fruits,all-year,all-week,night,0.00010000000
0,fruits,99,2055,2050,agrModernCropping_fruits,all-year,all-week,night,0.00010000000
0,fruits,103,2055,2050,agrTraditionalCropping_fruits,all-year,all-week,night,0.00010000000
0,fruits,110,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.00110000000
0,fruits,114,2050,2020,agrTraditionalCropping_fruits,all-year,all-week,night,0.00110000000
0,fruits,121,2055,2050,agrModernCropping_fruits,all-year,all-week,night,0.00110000000
0,fruits,125,2055,2050,agrTraditionalCropping_fruits,all-year,all-week,night,0.00110000000
0,fruits,132,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.00510000000
0,fruits,136,2050,2020,agrTraditionalCropping_fruits,all-year,all-week,night,0.00510000000
0,fruits,143,2055,2050,agrModernCropping_fruits,all-year,all-week,night,0.00510000000
0,fruits,147,2055,2050,agrTraditionalCropping_fruits,all-year,all-week,night,0.00510000000
0,fruits,154,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.00030000000
0,fruits,158,2050,2020,agrTraditionalCropping_fruits,all-year,all-week,night,0.00030000000
0,fruits,165,2055,2050,agrModernCropping_fruits,all-year,all-week,night,0.00030000000
0,fruits,168,2055,2050,agrTraditionalCropping_fruits,all-year,all-week,night,0.00030000000
0,fruits,174,2050,2020,agrModernCropping_fruits,all-year,all-week,night,0.08480000000
