asset,year,dst_region,region,technology,installed,capacity
0,2045,BajaCalif,BajaCalif,CC_GAS,2020,42.23990000000
0,2049,BajaCalif,BajaCalif,CC_GAS,2020,8.44800000000
1,2045,BajaCalif,BajaCalif,OC_GAS,2020,4.46550000000
1,2049,BajaCalif,BajaCalif,OC_GAS,2020,0.89310000000
2,2045,BajaCalif,BajaCalif,PV_SSG,2020,1.65170000000
2,2049,BajaCalif,BajaCalif,PV_SSG,2020,0.33030000000
5,2045,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,0.00030000000
5,2049,BajaCalifSouth,BajaCalifSouth,PV_SSG,2020,0.00010000000
6,2045,Central,Central,CC_GAS,2020,77.11810000000
6,2049,Central,Central,CC_GAS,2020,44.01740000000
6,2050,Central,Central,CC_GAS,2020,35.74230000000
6,2054,Central,Central,CC_GAS,2020,35.74230000000
6,2055,Central,Central,CC_GAS,2020,35.74230000000
6,2059,Central,Central,CC_GAS,2020,35.74230000000
6,2060,Central,Central,CC_GAS,2020,35.74230000000
6,2064,Central,Central,CC_GAS,2020,35.74230000000
6,2065,Central,Central,CC_GAS,2020,35.74230000000
6,2069,Central,Central,CC_GAS,2020,35.74230000000
6,2070,Central,Central,CC_GAS,2020,35.74230000000
6,2074,Central,Central,CC_GAS,2020,35.74230000000
6,2075,Central,Central,CC_GAS,2020,35.74230000000
6,2079,Central,Central,CC_GAS,2020,35.74230000000
6,2080,Central,Central,CC_GAS,2020,35.74230000000
6,2084,Central,Central,CC_GAS,2020,35.74230000000
6,2085,Central,Central,CC_GAS,2020,35.74230000000
6,2089,Central,Central,CC_GAS,2020,35.74230000000
6,2090,Central,Central,CC_GAS,2020,35.74230000000
6,2094,Central,Central,CC_GAS,2020,35.74230000000
6,2095,Central,Central,CC_GAS,2020,35.74230000000
6,2099,Central,Central,CC_GAS,2020,35.74230000000
6,2100,Central,Central,CC_GAS,2020,35.74230000000
6,2104,Central,Central,CC_GAS,2020,35.74230000000
6,2105,Central,Central,CC_GAS,2020,35.74230000000
6,2109,Central,Central,CC_GAS,2020,35.74230000000
6,2110,Central,Central,CC_GAS,2020,35.74230000000
7,2045,Central,Central,HYD_LS,2020,18.85220000000
7,2049,Central,Central,HYD_LS,2020,4.11860000000
7,2050,Central,Central,HYD_LS,2020,0.43520000000
7,2054,Central,Central,HYD_LS,2020,0.43520000000
7,2055,Central,Central,HYD_LS,2020,0.43520000000
7,2059,Central,Central,HYD_LS,2020,0.43520000000
7,2060,Central,Central,HYD_LS,2020,0.43520000000
7,2064,Central,Central,HYD_LS,2020,0.43520000000
7,2065,Central,Central,HYD_LS,2020,0.43520000000
7,2069,Central,Central,HYD_LS,2020,0.43520000000
7,2070,Central,Central,HYD_LS,2020,0.43520000000
7,2074,Central,Central,HYD_LS,2020,0.43520000000
7,2075,Central,Central,HYD_LS,2020,0.43520000000
7,2079,Central,Central,HYD_LS,2020,0.43520000000
7,2080,Central,Central,HYD_LS,2020,0.43520000000
7,2084,Central,Central,HYD_LS,2020,0.43520000000
7,2085,Central,Central,HYD_LS,2020,0.43520000000
7,2089,Central,Central,HYD_LS,2020,0.43520000000
7,2090,Central,Central,HYD_LS,2020,0.43520000000
7,2094,Central,Central,HYD_LS,2020,0.43520000000
7,2095,Central,Central,HYD_LS,2020,0.43520000000
7,2099,Central,Central,HYD_LS,2020,0.43520000000
7,2100,Central,Central,HYD_LS,2020,0.43520000000
7,2104,Central,Central,HYD_LS,2020,0.43520000000
7,2105,Central,Central,HYD_LS,2020,0.43520000000
7,2109,Central,Central,HYD_LS,2020,0.43520000000
7,2110,Central,Central,HYD_LS,2020,0.43520000000
8,2045,Central,Central,OC_GAS,2020,0.06940000000
8,2049,Central,Central,OC_GAS,2020,0.01390000000
9,2045,Central,Central,PV_SSG,2020,3.90230000000
9,2049,Central,Central,PV_SSG,2020,0.78050000000
11,2045,Eastern,Eastern,CC_GAS,2020,50.46830000000
11,2049,Eastern,Eastern,CC_GAS,2020,10.09370000000
12,2045,Eastern,Eastern,HYD_LS,2020,17.45640000000
12,2049,Eastern,Eastern,HYD_LS,2020,17.39290000000
12,2050,Eastern,Eastern,HYD_LS,2020,17.37700000000
12,2054,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2055,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2059,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2060,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2064,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2065,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2069,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2070,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2074,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2075,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2079,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2080,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2084,Eastern,Eastern,HYD_LS,2020,8.68850000000
12,2085,Eastern,Eastern,HYD_LS,2020,8.68850000000
