timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2040,BajaCalif,CC_GAS,2020,all-year,all-week,night,7.48690000000
0,electricity,0,2045,BajaCalif,CC_GAS,2020,all-year,all-week,night,6.68800000000
0,electricity,1,2040,BajaCalif,OC_GAS,2020,all-year,all-week,night,2.66210000000
0,electricity,1,2045,BajaCalif,OC_GAS,2020,all-year,all-week,night,0.70700000000
0,electricity,2,2040,BajaCalif,ON_WIND,2020,all-year,all-week,night,1.85750000000
0,electricity,3,2040,BajaCalif,PV_SSG,2020,all-year,all-week,night,0.66910000000
0,electricity,3,2045,BajaCalif,PV_SSG,2020,all-year,all-week,night,0.26150000000
0,electricity,4,2040,BajaCalifSouth,OC_GAS,2020,all-year,all-week,night,0.45940000000
0,electricity,6,2040,BajaCalifSouth,OC_OIL,2020,all-year,all-week,night,0.19970000000
0,electricity,8,2040,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.24970000000
0,electricity,9,2040,BajaCalifSouth,PV_SSG,2020,all-year,all-week,night,0.16970000000
0,electricity,9,2045,BajaCalifSouth,PV_SSG,2020,all-year,all-week,night,0.00010000000
0,electricity,10,2040,Central,BIO,2020,all-year,all-week,night,0.33610000000
0,electricity,11,2040,Central,CC_GAS,2020,all-year,all-week,night,12.21040000000
0,electricity,11,2045,Central,CC_GAS,2020,all-year,all-week,night,12.21040000000
0,electricity,12,2040,Central,HYD_LS,2020,all-year,all-week,night,2.98490000000
0,electricity,12,2045,Central,HYD_LS,2020,all-year,all-week,night,2.98490000000
0,electricity,13,2040,Central,OC_GAS,2020,all-year,all-week,night,2.80090000000
0,electricity,13,2045,Central,OC_GAS,2020,all-year,all-week,night,0.01100000000
0,electricity,14,2040,Central,OC_OIL,2020,all-year,all-week,night,0.05990000000
0,electricity,15,2040,Central,PV_GND,2020,all-year,all-week,night,0.21310000000
0,electricity,16,2040,Central,PV_SSG,2020,all-year,all-week,night,2.40050000000
0,electricity,16,2045,Central,PV_SSG,2020,all-year,all-week,night,0.61790000000
0,electricity,17,2040,Eastern,BIO,2020,all-year,all-week,night,1.79540000000
0,electricity,18,2040,Eastern,CC_GAS,2020,all-year,all-week,night,9.16920000000
0,electricity,18,2045,Eastern,CC_GAS,2020,all-year,all-week,night,7.99080000000
0,electricity,19,2040,Eastern,HYD_LS,2020,all-year,all-week,night,2.87410000000
0,electricity,19,2045,Eastern,HYD_LS,2020,all-year,all-week,night,2.76390000000
0,electricity,20,2040,Eastern,NUCL,2020,all-year,all-week,night,16.31780000000
0,electricity,20,2045,Eastern,NUCL,2020,all-year,all-week,night,16.31780000000
0,electricity,21,2040,Eastern,OC_GAS,2020,all-year,all-week,night,2.36050000000
0,electricity,22,2040,Eastern,OC_OIL,2020,all-year,all-week,night,0.06550000000
0,electricity,23,2040,Eastern,ON_WIND,2020,all-year,all-week,night,8.58050000000
0,electricity,23,2045,Eastern,ON_WIND,2020,all-year,all-week,night,2.25440000000
0,electricity,25,2040,Eastern,PV_GND,2020,all-year,all-week,night,4.40200000000
0,electricity,25,2045,Eastern,PV_GND,2020,all-year,all-week,night,4.40200000000
0,electricity,26,2040,Eastern,PV_SSG,2020,all-year,all-week,night,1.54520000000
0,electricity,26,2045,Eastern,PV_SSG,2020,all-year,all-week,night,0.55550000000
0,electricity,27,2040,North,BIO,2020,all-year,all-week,night,0.03350000000
0,electricity,28,2040,North,CC_GAS,2020,all-year,all-week,night,22.47960000000
0,electricity,28,2045,North,CC_GAS,2020,all-year,all-week,night,9.68570000000
0,electricity,29,2040,North,COAL,2020,all-year,all-week,night,0.64910000000
0,electricity,29,2045,North,COAL,2020,all-year,all-week,night,0.64910000000
0,electricity,30,2040,North,HYD_LS,2020,all-year,all-week,night,0.19700000000
0,electricity,30,2045,North,HYD_LS,2020,all-year,all-week,night,0.19700000000
0,electricity,31,2040,North,OC_GAS,2020,all-year,all-week,night,1.28980000000
0,electricity,32,2040,North,PV_GND,2020,all-year,all-week,night,7.50840000000
0,electricity,32,2045,North,PV_GND,2020,all-year,all-week,night,0.92370000000
0,electricity,33,2040,North,PV_SSG,2020,all-year,all-week,night,1.81330000000
0,electricity,33,2045,North,PV_SSG,2020,all-year,all-week,night,0.75520000000
0,electricity,34,2040,Northeast,BIO,2020,all-year,all-week,night,0.00860000000
0,electricity,35,2040,Northeast,CC_GAS,2020,all-year,all-week,night,43.69400000000
0,electricity,35,2045,Northeast,CC_GAS,2020,all-year,all-week,night,43.69400000000
