asset,year,technology,region,installed,capacity
0,2050,resAC,BajaCalif,2045,339.35760000000
0,2051,resAC,BajaCalif,2045,339.35760000000
0,2053,resAC,BajaCalif,2045,339.35760000000
0,2054,resAC,BajaCalif,2045,339.35760000000
0,2055,resAC,BajaCalif,2045,339.35760000000
0,2056,resAC,BajaCalif,2045,339.35760000000
0,2057,resAC,BajaCalif,2045,339.35760000000
0,2058,resAC,BajaCalif,2045,339.35760000000
0,2059,resAC,BajaCalif,2045,339.35760000000
0,2063,resAC,BajaCalif,2045,339.35760000000
0,2064,resAC,BajaCalif,2045,339.35760000000
1,2050,resAC,BajaCalifSouth,2045,339.35760000000
1,2051,resAC,BajaCalifSouth,2045,339.35760000000
1,2053,resAC,BajaCalifSouth,2045,339.35760000000
1,2054,resAC,BajaCalifSouth,2045,339.35760000000
1,2055,resAC,BajaCalifSouth,2045,339.35760000000
1,2056,resAC,BajaCalifSouth,2045,339.35760000000
1,2057,resAC,BajaCalifSouth,2045,339.35760000000
1,2058,resAC,BajaCalifSouth,2045,339.35760000000
1,2059,resAC,BajaCalifSouth,2045,339.35760000000
1,2063,resAC,BajaCalifSouth,2045,339.35760000000
1,2064,resAC,BajaCalifSouth,2045,339.35760000000
2,2050,resAC,Eastern,2045,339.35760000000
2,2051,resAC,Eastern,2045,339.35760000000
2,2053,resAC,Eastern,2045,339.35760000000
2,2054,resAC,Eastern,2045,339.35760000000
2,2055,resAC,Eastern,2045,339.35760000000
2,2056,resAC,Eastern,2045,339.35760000000
2,2057,resAC,Eastern,2045,339.35760000000
2,2058,resAC,Eastern,2045,339.35760000000
2,2059,resAC,Eastern,2045,339.35760000000
2,2063,resAC,Eastern,2045,339.35760000000
2,2064,resAC,Eastern,2045,339.35760000000
3,2050,resAC,North,2045,339.35760000000
3,2051,resAC,North,2045,339.35760000000
3,2053,resAC,North,2045,339.35760000000
3,2054,resAC,North,2045,339.35760000000
3,2055,resAC,North,2045,339.35760000000
3,2056,resAC,North,2045,339.35760000000
3,2057,resAC,North,2045,339.35760000000
3,2058,resAC,North,2045,339.35760000000
3,2059,resAC,North,2045,339.35760000000
3,2063,resAC,North,2045,339.35760000000
3,2064,resAC,North,2045,339.35760000000
4,2050,resAC,Northeast,2045,339.35760000000
4,2051,resAC,Northeast,2045,339.35760000000
4,2053,resAC,Northeast,2045,339.35760000000
4,2054,resAC,Northeast,2045,339.35760000000
4,2055,resAC,Northeast,2045,339.35760000000
4,2056,resAC,Northeast,2045,339.35760000000
4,2057,resAC,Northeast,2045,339.35760000000
4,2058,resAC,Northeast,2045,339.35760000000
4,2059,resAC,Northeast,2045,339.35760000000
4,2063,resAC,Northeast,2045,339.35760000000
4,2064,resAC,Northeast,2045,339.35760000000
5,2050,resAC,Northwest,2045,339.35760000000
5,2051,resAC,Northwest,2045,339.35760000000
5,2053,resAC,Northwest,2045,339.35760000000
5,2054,resAC,Northwest,2045,339.35760000000
5,2055,resAC,Northwest,2045,339.35760000000
5,2056,resAC,Northwest,2045,339.35760000000
5,2057,resAC,Northwest,2045,339.35760000000
5,2058,resAC,Northwest,2045,339.35760000000
5,2059,resAC,Northwest,2045,339.35760000000
5,2063,resAC,Northwest,2045,339.35760000000
5,2064,resAC,Northwest,2045,339.35760000000
6,2050,resAC,Peninsular,2045,339.35760000000
6,2051,resAC,Peninsular,2045,339.35760000000
6,2053,resAC,Peninsular,2045,339.35760000000
6,2054,resAC,Peninsular,2045,339.35760000000
6,2055,resAC,Peninsular,2045,339.35760000000
6,2056,resAC,Peninsular,2045,339.35760000000
6,2057,resAC,Peninsular,2045,339.35760000000
6,2058,resAC,Peninsular,2045,339.35760000000
6,2059,resAC,Peninsular,2045,339.35760000000
6,2063,resAC,Peninsular,2045,339.35760000000
6,2064,resAC,Peninsular,2045,339.35760000000
7,2050,resAC,Western,2045,339.35760000000
7,2051,resAC,Western,2045,339.35760000000
7,2053,resAC,Western,2045,339.35760000000
