asset,year,region,installed,technology,capacity
5,2050,BajaCalif,2035,resAppliancesAdv,918.92430000000
6,2050,BajaCalif,2035,resAppliancesCon,1312.74890000000
7,2050,BajaCalif,2035,resCookingBiomass,228.25090000000
7,2051,BajaCalif,2035,resCookingBiomass,228.25090000000
7,2053,BajaCalif,2035,resCookingBiomass,228.25090000000
8,2050,BajaCalif,2035,resCookingCoal,13909.83600000000
8,2051,BajaCalif,2035,resCookingCoal,13909.83600000000
8,2053,BajaCalif,2035,resCookingCoal,13909.83600000000
9,2050,BajaCalif,2035,resCookingElec,1.39180000000
9,2051,BajaCalif,2035,resCookingElec,1.39180000000
9,2053,BajaCalif,2035,resCookingElec,1.39180000000
10,2050,BajaCalif,2035,resCookingHydrogen,1.14900000000
10,2051,BajaCalif,2035,resCookingHydrogen,1.14900000000
10,2053,BajaCalif,2035,resCookingHydrogen,1.14900000000
11,2050,BajaCalif,2035,resCookingKerosene,1.62370000000
11,2051,BajaCalif,2035,resCookingKerosene,1.62370000000
11,2053,BajaCalif,2035,resCookingKerosene,1.62370000000
12,2050,BajaCalif,2035,resCookingLPG,0.23200000000
12,2051,BajaCalif,2035,resCookingLPG,0.23200000000
12,2053,BajaCalif,2035,resCookingLPG,0.23200000000
13,2050,BajaCalif,2035,resCookingNG,0.00460000000
13,2051,BajaCalif,2035,resCookingNG,0.00460000000
13,2053,BajaCalif,2035,resCookingNG,0.00460000000
14,2050,BajaCalif,2045,resAC,339.35760000000
14,2051,BajaCalif,2045,resAC,339.35760000000
14,2053,BajaCalif,2045,resAC,339.35760000000
14,2054,BajaCalif,2045,resAC,339.35760000000
14,2055,BajaCalif,2045,resAC,339.35760000000
14,2056,BajaCalif,2045,resAC,339.35760000000
14,2057,BajaCalif,2045,resAC,339.35760000000
14,2058,BajaCalif,2045,resAC,339.35760000000
14,2059,BajaCalif,2045,resAC,339.35760000000
14,2063,BajaCalif,2045,resAC,339.35760000000
14,2064,BajaCalif,2045,resAC,339.35760000000
15,2050,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2051,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2053,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2054,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2055,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2056,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2057,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2058,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2059,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2063,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2064,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2065,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2066,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2068,BajaCalif,2045,resASHeatPump,100368.16810000000
15,2069,BajaCalif,2045,resASHeatPump,100368.16810000000
16,2050,BajaCalif,2045,resASHeatPump_solarT,100368.16810000000
16,2051,BajaCalif,2045,resASHeatPump_solarT,100368.16810000000
