timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,light,305,2050,resLightingCon,2045,all-year,all-week,night,6.04480000000
0,light,306,2050,resLightingCon,2045,all-year,all-week,night,2.14970000000
0,light,307,2050,resLightingCon,2045,all-year,all-week,night,44.77050000000
0,light,308,2050,resLightingCon,2045,all-year,all-week,night,37.72970000000
0,light,309,2050,resLightingCon,2045,all-year,all-week,night,20.63780000000
0,light,310,2050,resLightingCon,2045,all-year,all-week,night,12.95540000000
0,light,311,2050,resLightingCon,2045,all-year,all-week,night,4.45490000000
0,light,312,2050,resLightingCon,2045,all-year,all-week,night,7.87010000000
0,light,313,2050,resLightingCon,2045,all-year,all-week,night,27.07590000000
0,light,314,2050,resLightingEnergySaving,2045,all-year,all-week,night,6.04480000000
0,light,315,2050,resLightingEnergySaving,2045,all-year,all-week,night,2.14970000000
0,light,316,2050,resLightingEnergySaving,2045,all-year,all-week,night,44.77050000000
0,light,317,2050,resLightingEnergySaving,2045,all-year,all-week,night,37.72970000000
0,light,318,2050,resLightingEnergySaving,2045,all-year,all-week,night,20.63780000000
0,light,319,2050,resLightingEnergySaving,2045,all-year,all-week,night,12.95540000000
0,light,320,2050,resLightingEnergySaving,2045,all-year,all-week,night,4.45490000000
0,light,321,2050,resLightingEnergySaving,2045,all-year,all-week,night,7.87010000000
0,light,322,2050,resLightingEnergySaving,2045,all-year,all-week,night,27.07590000000
0,light,323,2045,resLightingLED,2020,all-year,all-week,night,5.76320000000
0,light,324,2050,resLightingLED,2045,all-year,all-week,night,6.04480000000
0,light,325,2045,resLightingLED,2020,all-year,all-week,night,2.06670000000
0,light,326,2050,resLightingLED,2045,all-year,all-week,night,2.14970000000
0,light,327,2045,resLightingLED,2020,all-year,all-week,night,42.72330000000
0,light,328,2050,resLightingLED,2045,all-year,all-week,night,44.77050000000
0,light,329,2045,resLightingLED,2020,all-year,all-week,night,36.18600000000
0,light,330,2050,resLightingLED,2045,all-year,all-week,night,37.72970000000
0,light,331,2045,resLightingLED,2020,all-year,all-week,night,20.07200000000
0,light,332,2050,resLightingLED,2045,all-year,all-week,night,20.63780000000
0,light,333,2045,resLightingLED,2020,all-year,all-week,night,12.36280000000
0,light,334,2050,resLightingLED,2045,all-year,all-week,night,12.95540000000
0,light,335,2045,resLightingLED,2020,all-year,all-week,night,4.32570000000
0,light,336,2050,resLightingLED,2045,all-year,all-week,night,4.45490000000
0,light,337,2045,resLightingLED,2020,all-year,all-week,night,7.48720000000
0,light,338,2050,resLightingLED,2045,all-year,all-week,night,7.87010000000
0,light,339,2045,resLightingLED,2020,all-year,all-week,night,25.92090000000
0,light,340,2050,resLightingLED,2045,all-year,all-week,night,27.07590000000
0,heating,8,2050,resASHeatPump,2045,all-year,all-week,night,0.66450000000
0,heating,9,2050,resASHeatPump,2045,all-year,all-week,night,0.72370000000
0,heating,10,2050,resASHeatPump,2045,all-year,all-week,night,0.07580000000
0,heating,11,2050,resASHeatPump,2045,all-year,all-week,night,0.18280000000
0,heating,12,2050,resASHeatPump,2045,all-year,all-week,night,0.44270000000
0,heating,13,2050,resASHeatPump,2045,all-year,all-week,night,0.55950000000
0,heating,14,2050,resASHeatPump,2045,all-year,all-week,night,0.68870000000
0,heating,15,2050,resASHeatPump,2045,all-year,all-week,night,0.63680000000
0,heating,16,2050,resASHeatPump,2045,all-year,all-week,night,0.34480000000
0,heating,17,2050,resASHeatPump_solarT,2045,all-year,all-week,night,0.66450000000
