ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
procRefineryOilA,Central,PJ/y,41.11968,39.8860896,39.063696,37.8301056,36.5965152,34.951728,328.95744
procGTL,Central,PJ/y,0,0,0,0,0,0,0
procCTLwCCS,Central,PJ/y,0,0,0,0,0,0,0
procCTL,Central,PJ/y,0,0,0,0,0,0,0
procBTL,Central,PJ/y,0,0,0,0,0,0,0
procBTLwCCS,Central,PJ/y,0,0,0,0,0,0,0
procElectrolysis,Central,PJ/y,0,0,0,0,0,0,0
procH2Biomass,Central,PJ/y,0,0,0,0,0,0,0
procH2BiomasswCCS,Central,PJ/y,0,0,0,0,0,0,0
procH2NGwCCS,Central,PJ/y,0,0,0,0,0,0,0
procH2NG,Central,PJ/y,0,0,0,0,0,0,0
procH2CoalwCCS,Central,PJ/y,0,0,0,0,0,0,0
procH2Coal,Central,PJ/y,0,0,0,0,0,0,0
procEthanolStarchCrops,Central,PJ/y,0,0,0,0,0,0,0
procEthanolSugarCrops,Central,PJ/y,0,0,0,0,0,0,0
procEthanolBiomass,Central,PJ/y,0,0,0,0,0,0,0
procEthanolBiomasswCCS,Central,PJ/y,0,0,0,0,0,0,0
procMethanolBiomass,Central,PJ/y,0,0,0,0,0,0,0
procMethanolBiomasswCCS,Central,PJ/y,0,0,0,0,0,0,0
procBiogasBiomass,Central,PJ/y,0.347400576,0.357822593,0.364770605,0.371718616,0.382140634,0.399510662,0.416880691
procBiogasLandfill,Central,PJ/y,0,0,0,0,0,0,0
procBiosyngasBiomass,Central,PJ/y,0,0,0,0,0,0,0
procPyrolysisUpgradeBiomass,Central,PJ/y,0,0,0,0,0,0,0
procBiodieselOil,Central,PJ/y,0,0,0,0,0,0,0
procBiodieselAlgae,Central,PJ/y,0,0,0,0,0,0,0
procRefineryOilA,Eastern,PJ/y,45.15822,70.12374,66.617553,64.5138408,62.4101286,59.605179,560.98992
procGTL,Eastern,PJ/y,0,0,0,0,0,0,0
procCTLwCCS,Eastern,PJ/y,0,0,0,0,0,0,0
procCTL,Eastern,PJ/y,0,0,0,0,0,0,0
procBTL,Eastern,PJ/y,0,0,0,0,0,0,0
procBTLwCCS,Eastern,PJ/y,0,0,0,0,0,0,0
procElectrolysis,Eastern,PJ/y,0,0,0,0,0,0,0
procH2Biomass,Eastern,PJ/y,0,0,0,0,0,0,0
procH2BiomasswCCS,Eastern,PJ/y,0,0,0,0,0,0,0
procH2NGwCCS,Eastern,PJ/y,0,0,0,0,0,0,0
procH2NG,Eastern,PJ/y,0,0,0,0,0,0,0
procH2CoalwCCS,Eastern,PJ/y,0,0,0,0,0,0,0
procH2Coal,Eastern,PJ/y,0,0,0,0,0,0,0
procEthanolStarchCrops,Eastern,PJ/y,0,0,0,0,0,0,0
procEthanolSugarCrops,Eastern,PJ/y,0,0,0,0,0,0,0
procEthanolBiomass,Eastern,PJ/y,1.895967,1.95284601,1.99076535,2.02868469,2.0855637,2.18036205,2.2751604
procEthanolBiomasswCCS,Eastern,PJ/y,0,0,0,0,0,0,0
procMethanolBiomass,Eastern,PJ/y,0,0,0,0,0,0,0
procMethanolBiomasswCCS,Eastern,PJ/y,0,0,0,0,0,0,0
procBiogasBiomass,Eastern,PJ/y,0,0,0,0,0,0,0
procBiogasLandfill,Eastern,PJ/y,0,0,0,0,0,0,0
procBiosyngasBiomass,Eastern,PJ/y,0,0,0,0,0,0,0
procPyrolysisUpgradeBiomass,Eastern,PJ/y,0,0,0,0,0,0,0
procBiodieselOil,Eastern,PJ/y,0.00875053,0.009013046,0.009188056,0.009363067,0.009625583,0.010063109,0.010500636
procBiodieselAlgae,Eastern,PJ/y,0,0,0,0,0,0,0
procRefineryOilA,Western,PJ/y,0,0,0,0,0,0,0
procGTL,Western,PJ/y,0,0,0,0,0,0,0
procCTLwCCS,Western,PJ/y,0,0,0,0,0,0,0
procCTL,Western,PJ/y,0,0,0,0,0,0,0
procBTL,Western,PJ/y,0,0,0,0,0,0,0
procBTLwCCS,Western,PJ/y,0,0,0,0,0,0,0
procElectrolysis,Western,PJ/y,0,0,0,0,0,0,0
procH2Biomass,Western,PJ/y,0,0,0,0,0,0,0
procH2BiomasswCCS,Western,PJ/y,0,0,0,0,0,0,0
procH2NGwCCS,Western,PJ/y,0,0,0,0,0,0,0
procH2NG,Western,PJ/y,0,0,0,0,0,0,0
procH2CoalwCCS,Western,PJ/y,0,0,0,0,0,0,0
procH2Coal,Western,PJ/y,0,0,0,0,0,0,0
procEthanolStarchCrops,Western,PJ/y,0,0,0,0,0,0,0
procEthanolSugarCrops,Western,PJ/y,0,0,0,0,0,0,0
procEthanolBiomass,Western,PJ/y,0,0,0,0,0,0,0
procEthanolBiomasswCCS,Western,PJ/y,0,0,0,0,0,0,0
procMethanolBiomass,Western,PJ/y,0,0,0,0,0,0,0
procMethanolBiomasswCCS,Western,PJ/y,0,0,0,0,0,0,0
procBiogasBiomass,Western,PJ/y,0.300399322,0.309411301,0.315419288,0.321427274,0.330439254,0.34545922,0.360479186
procBiogasLandfill,Western,PJ/y,0,0,0,0,0,0,0
procBiosyngasBiomass,Western,PJ/y,0,0,0,0,0,0,0
procPyrolysisUpgradeBiomass,Western,PJ/y,0,0,0,0,0,0,0
procBiodieselOil,Western,PJ/y,0.007875477,0.008111741,0.008269251,0.00842676,0.008663024,0.009056798,0.009450572
procBiodieselAlgae,Western,PJ/y,0,0,0,0,0,0,0
procRefineryOilA,Northwest,PJ/y,0,0,0,0,0,0,0
procGTL,Northwest,PJ/y,0,0,0,0,0,0,0
procCTLwCCS,Northwest,PJ/y,0,0,0,0,0,0,0
procCTL,Northwest,PJ/y,0,0,0,0,0,0,0
procBTL,Northwest,PJ/y,0,0,0,0,0,0,0
procBTLwCCS,Northwest,PJ/y,0,0,0,0,0,0,0
procElectrolysis,Northwest,PJ/y,0,0,0,0,0,0,0
procH2Biomass,Northwest,PJ/y,0,0,0,0,0,0,0
procH2BiomasswCCS,Northwest,PJ/y,0,0,0,0,0,0,0
procH2NGwCCS,Northwest,PJ/y,0,0,0,0,0,0,0
procH2NG,Northwest,PJ/y,0,0,0,0,0,0,0
procH2CoalwCCS,Northwest,PJ/y,0,0,0,0,0,0,0
procH2Coal,Northwest,PJ/y,0,0,0,0,0,0,0
procEthanolStarchCrops,Northwest,PJ/y,0,0,0,0,0,0,0
procEthanolSugarCrops,Northwest,PJ/y,0,0,0,0,0,0,0
procEthanolBiomass,Northwest,PJ/y,0,0,0,0,0,0,0
procEthanolBiomasswCCS,Northwest,PJ/y,0,0,0,0,0,0,0
procMethanolBiomass,Northwest,PJ/y,0,0,0,0,0,0,0
procMethanolBiomasswCCS,Northwest,PJ/y,0,0,0,0,0,0,0
procBiogasBiomass,Northwest,PJ/y,1.293556262,1.33236295,1.358234076,1.384105201,1.422911889,1.487589702,1.552267515
procBiogasLandfill,Northwest,PJ/y,0,0,0,0,0,0,0
procBiosyngasBiomass,Northwest,PJ/y,0,0,0,0,0,0,0
procPyrolysisUpgradeBiomass,Northwest,PJ/y,0,0,0,0,0,0,0
