asset,year,region,installed,technology,capacity
5,2045,BajaCalif,2020,comCHPBiomass,7051.70500000000
5,2046,BajaCalif,2020,comCHPBiomass,7051.70500000000
5,2048,BajaCalif,2020,comCHPBiomass,7051.70500000000
5,2049,BajaCalif,2020,comCHPBiomass,7051.70500000000
6,2045,BajaCalif,2020,comCHPFuelCellHdg,479428.38299999997
6,2046,BajaCalif,2020,comCHPFuelCellHdg,479428.38299999997
6,2048,BajaCalif,2020,comCHPFuelCellHdg,479428.38299999997
6,2049,BajaCalif,2020,comCHPFuelCellHdg,479428.38299999997
7,2045,BajaCalif,2020,comCHPHydrogen,479428.38299999997
7,2046,BajaCalif,2020,comCHPHydrogen,479428.38299999997
7,2048,BajaCalif,2020,comCHPHydrogen,479428.38299999997
7,2049,BajaCalif,2020,comCHPHydrogen,479428.38299999997
8,2045,BajaCalif,2020,comCHPNG,7057.78690000000
8,2046,BajaCalif,2020,comCHPNG,7057.78690000000
8,2048,BajaCalif,2020,comCHPNG,7057.78690000000
8,2049,BajaCalif,2020,comCHPNG,7057.78690000000
11,2045,BajaCalif,2020,comLightingLED,19777.09590000000
12,2045,BajaCalif,2030,comAC,57435.61910000000
12,2046,BajaCalif,2030,comAC,57435.61910000000
12,2048,BajaCalif,2030,comAC,57435.61910000000
12,2049,BajaCalif,2030,comAC,57435.61910000000
13,2045,BajaCalif,2030,comACHFC_HC,126717.28660000001
13,2046,BajaCalif,2030,comACHFC_HC,126717.28660000001
13,2048,BajaCalif,2030,comACHFC_HC,126717.28660000001
13,2049,BajaCalif,2030,comACHFC_HC,126717.28660000001
14,2045,BajaCalif,2030,comACHFO_HC,126717.28660000001
14,2046,BajaCalif,2030,comACHFO_HC,126717.28660000001
14,2048,BajaCalif,2030,comACHFO_HC,126717.28660000001
14,2049,BajaCalif,2030,comACHFO_HC,126717.28660000001
15,2045,BajaCalif,2030,comASHeatPump,3927.98900000000
15,2046,BajaCalif,2030,comASHeatPump,3927.98900000000
15,2048,BajaCalif,2030,comASHeatPump,3927.98900000000
15,2049,BajaCalif,2030,comASHeatPump,3927.98900000000
15,2050,BajaCalif,2030,comASHeatPump,3927.98900000000
15,2051,BajaCalif,2030,comASHeatPump,3927.98900000000
15,2052,BajaCalif,2030,comASHeatPump,3927.98900000000
15,2054,BajaCalif,2030,comASHeatPump,3927.98900000000
16,2045,BajaCalif,2030,comASHeatPump_solarT,1560.26770000000
16,2046,BajaCalif,2030,comASHeatPump_solarT,1560.26770000000
16,2048,BajaCalif,2030,comASHeatPump_solarT,1560.26770000000
16,2049,BajaCalif,2030,comASHeatPump_solarT,1560.26770000000
16,2050,BajaCalif,2030,comASHeatPump_solarT,1560.26770000000
16,2051,BajaCalif,2030,comASHeatPump_solarT,1560.26770000000
16,2052,BajaCalif,2030,comASHeatPump_solarT,1560.26770000000
16,2054,BajaCalif,2030,comASHeatPump_solarT,1560.26770000000
18,2045,BajaCalif,2030,comBoilerBiomass,7048.52440000000
18,2046,BajaCalif,2030,comBoilerBiomass,7048.52440000000
18,2048,BajaCalif,2030,comBoilerBiomass,7048.52440000000
18,2049,BajaCalif,2030,comBoilerBiomass,7048.52440000000
18,2050,BajaCalif,2030,comBoilerBiomass,7048.52440000000
18,2051,BajaCalif,2030,comBoilerBiomass,7048.52440000000
18,2052,BajaCalif,2030,comBoilerBiomass,7048.52440000000
18,2054,BajaCalif,2030,comBoilerBiomass,7048.52440000000
19,2045,BajaCalif,2030,comBoilerBiomass_HC,2858.08350000000
19,2046,BajaCalif,2030,comBoilerBiomass_HC,2858.08350000000
