asset,year,region,installed,technology,capacity
0,2020,BajaCalif,2020,procChemFertiliz,0.02670000000
0,2025,BajaCalif,2020,procChemFertiliz,0.02000000000
0,2030,BajaCalif,2020,procChemFertiliz,0.01340000000
0,2035,BajaCalif,2020,procChemFertiliz,0.00670000000
1,2020,BajaCalif,2020,procChemNG_NG,1.91020000000
1,2025,BajaCalif,2020,procChemNG_NG,1.43270000000
1,2030,BajaCalif,2020,procChemNG_NG,0.95510000000
1,2035,BajaCalif,2020,procChemNG_NG,0.47760000000
2,2020,BajaCalif,2020,procGlass,5.52050000000
2,2025,BajaCalif,2020,procGlass,4.14040000000
2,2030,BajaCalif,2020,procGlass,2.76020000000
2,2035,BajaCalif,2020,procGlass,1.38010000000
3,2020,BajaCalif,2020,procIron_NG,4.48710000000
3,2025,BajaCalif,2020,procIron_NG,3.36530000000
3,2030,BajaCalif,2020,procIron_NG,2.24360000000
3,2035,BajaCalif,2020,procIron_NG,1.12180000000
4,2020,BajaCalif,2020,procMining,0.09580000000
4,2025,BajaCalif,2020,procMining,0.07190000000
4,2030,BajaCalif,2020,procMining,0.04790000000
4,2035,BajaCalif,2020,procMining,0.02400000000
5,2020,BajaCalif,2020,procNonmetminDry_NG,22.86350000000
5,2025,BajaCalif,2020,procNonmetminDry_NG,17.14770000000
5,2030,BajaCalif,2020,procNonmetminDry_NG,11.43180000000
5,2035,BajaCalif,2020,procNonmetminDry_NG,5.71590000000
6,2020,BajaCalif,2020,procOtherInd,22.86350000000
6,2025,BajaCalif,2020,procOtherInd,17.14770000000
6,2030,BajaCalif,2020,procOtherInd,11.43180000000
6,2035,BajaCalif,2020,procOtherInd,5.71590000000
7,2020,BajaCalif,2020,procPulppChem_NG,9.18080000000
7,2025,BajaCalif,2020,procPulppChem_NG,6.88560000000
7,2030,BajaCalif,2020,procPulppChem_NG,4.59040000000
7,2035,BajaCalif,2020,procPulppChem_NG,2.29520000000
8,2020,BajaCalif,2020,procRubber,0.31130000000
8,2025,BajaCalif,2020,procRubber,0.23350000000
8,2030,BajaCalif,2020,procRubber,0.15560000000
8,2035,BajaCalif,2020,procRubber,0.07780000000
9,2020,BajaCalifSouth,2020,procChemNG_NG,0.00640000000
9,2025,BajaCalifSouth,2020,procChemNG_NG,0.00480000000
9,2030,BajaCalifSouth,2020,procChemNG_NG,0.00320000000
9,2035,BajaCalifSouth,2020,procChemNG_NG,0.00160000000
10,2020,BajaCalifSouth,2020,procGlass,0.00060000000
10,2025,BajaCalifSouth,2020,procGlass,0.00040000000
10,2030,BajaCalifSouth,2020,procGlass,0.00030000000
10,2035,BajaCalifSouth,2020,procGlass,0.00010000000
11,2020,BajaCalifSouth,2020,procIron_NG,0.00010000000
11,2025,BajaCalifSouth,2020,procIron_NG,0.00010000000
11,2030,BajaCalifSouth,2020,procIron_NG,0.00010000000
12,2020,BajaCalifSouth,2020,procMining,0.52690000000
12,2025,BajaCalifSouth,2020,procMining,0.39520000000
12,2030,BajaCalifSouth,2020,procMining,0.26350000000
12,2035,BajaCalifSouth,2020,procMining,0.13170000000
13,2020,BajaCalifSouth,2020,procNonmetminDry_NG,2.56550000000
13,2025,BajaCalifSouth,2020,procNonmetminDry_NG,1.92410000000
13,2030,BajaCalifSouth,2020,procNonmetminDry_NG,1.28270000000
13,2035,BajaCalifSouth,2020,procNonmetminDry_NG,0.64140000000
14,2020,BajaCalifSouth,2020,procOtherInd,2.56550000000
14,2025,BajaCalifSouth,2020,procOtherInd,1.92410000000
14,2030,BajaCalifSouth,2020,procOtherInd,1.28270000000
14,2035,BajaCalifSouth,2020,procOtherInd,0.64140000000
15,2020,BajaCalifSouth,2020,procPulppChem_NG,0.00100000000
15,2025,BajaCalifSouth,2020,procPulppChem_NG,0.00080000000
15,2030,BajaCalifSouth,2020,procPulppChem_NG,0.00050000000
15,2035,BajaCalifSouth,2020,procPulppChem_NG,0.00030000000
16,2020,BajaCalifSouth,2020,procRubber,0.00310000000
16,2025,BajaCalifSouth,2020,procRubber,0.00230000000
16,2030,BajaCalifSouth,2020,procRubber,0.00150000000
16,2035,BajaCalifSouth,2020,procRubber,0.00080000000
17,2020,Central,2020,procChemFertiliz,0.42160000000
17,2025,Central,2020,procChemFertiliz,0.31620000000
17,2030,Central,2020,procChemFertiliz,0.21080000000
17,2035,Central,2020,procChemFertiliz,0.10540000000
18,2020,Central,2020,procChemNG_NG,68.62210000000
18,2025,Central,2020,procChemNG_NG,51.46660000000
18,2030,Central,2020,procChemNG_NG,34.31110000000
18,2035,Central,2020,procChemNG_NG,17.15550000000
19,2020,Central,2020,procGlass,34.60180000000
19,2025,Central,2020,procGlass,25.95140000000
19,2030,Central,2020,procGlass,17.30090000000
19,2035,Central,2020,procGlass,8.65050000000
20,2020,Central,2020,procIron_NG,86.32240000000
20,2025,Central,2020,procIron_NG,64.74180000000
20,2030,Central,2020,procIron_NG,43.16120000000
20,2035,Central,2020,procIron_NG,21.58060000000
21,2020,Central,2020,procMining,0.75050000000
21,2025,Central,2020,procMining,0.56290000000
21,2030,Central,2020,procMining,0.37520000000
21,2035,Central,2020,procMining,0.18760000000
22,2020,Central,2020,procNonmetminDry_NG,94.10110000000
22,2025,Central,2020,procNonmetminDry_NG,70.57580000000
22,2030,Central,2020,procNonmetminDry_NG,47.05050000000
22,2035,Central,2020,procNonmetminDry_NG,23.52530000000
23,2020,Central,2020,procOtherInd,94.10110000000
23,2025,Central,2020,procOtherInd,70.57580000000
23,2030,Central,2020,procOtherInd,47.05050000000
23,2035,Central,2020,procOtherInd,23.52530000000
24,2020,Central,2020,procPulppChem_NG,28.77520000000
24,2025,Central,2020,procPulppChem_NG,21.58140000000
24,2030,Central,2020,procPulppChem_NG,14.38760000000
24,2035,Central,2020,procPulppChem_NG,7.19380000000
25,2020,Central,2020,procRubber,2.14120000000
25,2025,Central,2020,procRubber,1.60590000000
25,2030,Central,2020,procRubber,1.07060000000
25,2035,Central,2020,procRubber,0.53530000000
26,2020,Central,2020,procSugar,2.79550000000
26,2025,Central,2020,procSugar,2.09670000000
26,2030,Central,2020,procSugar,1.39780000000
26,2035,Central,2020,procSugar,0.69890000000
27,2020,Eastern,2020,procChemFertiliz,0.63420000000
27,2025,Eastern,2020,procChemFertiliz,0.47570000000
27,2030,Eastern,2020,procChemFertiliz,0.31710000000
27,2035,Eastern,2020,procChemFertiliz,0.15860000000
28,2020,Eastern,2020,procChemNG_NG,41.51580000000
28,2025,Eastern,2020,procChemNG_NG,31.13690000000
28,2030,Eastern,2020,procChemNG_NG,20.75790000000
28,2035,Eastern,2020,procChemNG_NG,10.37900000000
29,2020,Eastern,2020,procGlass,9.77100000000
29,2025,Eastern,2020,procGlass,7.32830000000
29,2030,Eastern,2020,procGlass,4.88550000000
29,2035,Eastern,2020,procGlass,2.44280000000
30,2020,Eastern,2020,procIron_NG,61.28200000000
30,2025,Eastern,2020,procIron_NG,45.96150000000
30,2030,Eastern,2020,procIron_NG,30.64100000000
30,2035,Eastern,2020,procIron_NG,15.32050000000
31,2020,Eastern,2020,procMining,2.36330000000
31,2025,Eastern,2020,procMining,1.77240000000
31,2030,Eastern,2020,procMining,1.18160000000
31,2035,Eastern,2020,procMining,0.59080000000
32,2020,Eastern,2020,procNonmetminDry_NG,54.79950000000
32,2025,Eastern,2020,procNonmetminDry_NG,41.09960000000
32,2030,Eastern,2020,procNonmetminDry_NG,27.39980000000
32,2035,Eastern,2020,procNonmetminDry_NG,13.69990000000
33,2020,Eastern,2020,procOtherInd,54.79950000000
33,2025,Eastern,2020,procOtherInd,41.09960000000
33,2030,Eastern,2020,procOtherInd,27.39980000000
33,2035,Eastern,2020,procOtherInd,13.69990000000
34,2020,Eastern,2020,procPulppChem_NG,8.69000000000
34,2025,Eastern,2020,procPulppChem_NG,6.51750000000
34,2030,Eastern,2020,procPulppChem_NG,4.34500000000
34,2035,Eastern,2020,procPulppChem_NG,2.17250000000
35,2020,Eastern,2020,procRubber,11.69840000000
35,2025,Eastern,2020,procRubber,8.77380000000
35,2030,Eastern,2020,procRubber,5.84920000000
35,2035,Eastern,2020,procRubber,2.92460000000
36,2020,Eastern,2020,procSugar,42.36300000000
36,2025,Eastern,2020,procSugar,31.77230000000
36,2030,Eastern,2020,procSugar,21.18150000000
36,2035,Eastern,2020,procSugar,10.59080000000
37,2020,North,2020,procChemFertiliz,0.06850000000
37,2025,North,2020,procChemFertiliz,0.05140000000
37,2030,North,2020,procChemFertiliz,0.03430000000
37,2035,North,2020,procChemFertiliz,0.01710000000
38,2020,North,2020,procChemNG_NG,2.32550000000
38,2025,North,2020,procChemNG_NG,1.74410000000
38,2030,North,2020,procChemNG_NG,1.16270000000
38,2035,North,2020,procChemNG_NG,0.58140000000
39,2020,North,2020,procGlass,0.06710000000
39,2025,North,2020,procGlass,0.05030000000
39,2030,North,2020,procGlass,0.03350000000
39,2035,North,2020,procGlass,0.01680000000
40,2020,North,2020,procIron_NG,4.68590000000
40,2025,North,2020,procIron_NG,3.51440000000
40,2030,North,2020,procIron_NG,2.34300000000
40,2035,North,2020,procIron_NG,1.17150000000
41,2020,North,2020,procMining,123.60830000000
41,2025,North,2020,procMining,92.70620000000
41,2030,North,2020,procMining,61.80410000000
41,2035,North,2020,procMining,30.90210000000
42,2020,North,2020,procNonmetminDry_NG,16.85550000000
42,2025,North,2020,procNonmetminDry_NG,12.64160000000
42,2030,North,2020,procNonmetminDry_NG,8.42780000000
42,2035,North,2020,procNonmetminDry_NG,4.21390000000
43,2020,North,2020,procOtherInd,16.85550000000
43,2025,North,2020,procOtherInd,12.64160000000
43,2030,North,2020,procOtherInd,8.42780000000
43,2035,North,2020,procOtherInd,4.21390000000
44,2020,North,2020,procPulppChem_NG,3.39150000000
44,2025,North,2020,procPulppChem_NG,2.54360000000
44,2030,North,2020,procPulppChem_NG,1.69580000000
44,2035,North,2020,procPulppChem_NG,0.84790000000
45,2020,North,2020,procRubber,0.22050000000
45,2025,North,2020,procRubber,0.16540000000
45,2030,North,2020,procRubber,0.11030000000
45,2035,North,2020,procRubber,0.05510000000
46,2025,North,2020,procSugar,3000.00000000000
46,2030,North,2020,procSugar,3000.00000000000
46,2035,North,2020,procSugar,3000.00000000000
46,2040,North,2020,procSugar,3000.00000000000
46,2045,North,2020,procSugar,3000.00000000000
46,2049,North,2020,procSugar,3000.00000000000
47,2020,Northeast,2020,procChemFertiliz,0.11860000000
47,2025,Northeast,2020,procChemFertiliz,0.08890000000
47,2030,Northeast,2020,procChemFertiliz,0.05930000000
47,2035,Northeast,2020,procChemFertiliz,0.02960000000
48,2020,Northeast,2020,procChemNG_NG,37.63610000000
