timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,steel,3,2030,2020,procIron_NG,all-year,all-week,night,0.33650000000
0,steel,3,2035,2020,procIron_NG,all-year,all-week,night,0.16830000000
0,steel,18,2030,2025,procIron_Biogas,all-year,all-week,night,0.41810000000
0,steel,18,2035,2025,procIron_Biogas,all-year,all-week,night,0.44020000000
0,steel,19,2030,2025,procIron_Biogas_CCS,all-year,all-week,night,0.41810000000
0,steel,19,2035,2025,procIron_Biogas_CCS,all-year,all-week,night,0.44020000000
0,steel,20,2030,2025,procIron_ForRes,all-year,all-week,night,0.41810000000
0,steel,20,2035,2025,procIron_ForRes,all-year,all-week,night,0.44020000000
0,steel,21,2030,2025,procIron_ForRes_CCS,all-year,all-week,night,0.41810000000
0,steel,21,2035,2025,procIron_ForRes_CCS,all-year,all-week,night,0.44020000000
0,steel,22,2030,2025,procIron_HFO,all-year,all-week,night,0.41810000000
0,steel,22,2035,2025,procIron_HFO,all-year,all-week,night,0.44020000000
0,steel,23,2030,2025,procIron_HFO_CCS,all-year,all-week,night,0.41810000000
0,steel,23,2035,2025,procIron_HFO_CCS,all-year,all-week,night,0.44020000000
0,steel,24,2030,2025,procIron_Hardcoal,all-year,all-week,night,0.41810000000
0,steel,24,2035,2025,procIron_Hardcoal,all-year,all-week,night,0.44020000000
0,steel,25,2030,2025,procIron_LPG,all-year,all-week,night,0.41810000000
0,steel,25,2035,2025,procIron_LPG,all-year,all-week,night,0.44020000000
0,steel,26,2030,2025,procIron_LPG_CCS,all-year,all-week,night,0.41810000000
0,steel,26,2035,2025,procIron_LPG_CCS,all-year,all-week,night,0.44020000000
0,steel,27,2030,2025,procIron_NG,all-year,all-week,night,0.41810000000
0,steel,27,2035,2025,procIron_NG,all-year,all-week,night,0.44020000000
0,steel,28,2030,2025,procIron_NG_CCS,all-year,all-week,night,0.41810000000
0,steel,28,2035,2025,procIron_NG_CCS,all-year,all-week,night,0.44020000000
0,steel,109,2030,2020,procIron_NG,all-year,all-week,night,6.47420000000
0,steel,109,2035,2020,procIron_NG,all-year,all-week,night,3.23710000000
0,steel,125,2030,2025,procIron_Biogas,all-year,all-week,night,8.04390000000
0,steel,125,2035,2025,procIron_Biogas,all-year,all-week,night,8.46910000000
0,steel,126,2030,2025,procIron_Biogas_CCS,all-year,all-week,night,8.04390000000
0,steel,126,2035,2025,procIron_Biogas_CCS,all-year,all-week,night,8.46910000000
0,steel,127,2030,2025,procIron_ForRes,all-year,all-week,night,8.04390000000
0,steel,127,2035,2025,procIron_ForRes,all-year,all-week,night,8.46910000000
0,steel,128,2030,2025,procIron_ForRes_CCS,all-year,all-week,night,8.04390000000
0,steel,128,2035,2025,procIron_ForRes_CCS,all-year,all-week,night,8.46910000000
0,steel,129,2030,2025,procIron_HFO,all-year,all-week,night,8.04390000000
0,steel,129,2035,2025,procIron_HFO,all-year,all-week,night,8.46910000000
0,steel,130,2030,2025,procIron_HFO_CCS,all-year,all-week,night,8.04390000000
