asset,dst_region,year,region,technology,installed,capacity
0,BajaCalif,2020,BajaCalif,CC_GAS,2020,236.08040000000
0,BajaCalif,2025,BajaCalif,CC_GAS,2020,236.08040000000
0,BajaCalif,2030,BajaCalif,CC_GAS,2020,167.14270000000
0,BajaCalif,2035,BajaCalif,CC_GAS,2020,51.55570000000
0,BajaCalif,2040,BajaCalif,CC_GAS,2020,47.28570000000
0,BajaCalif,2044,BajaCalif,CC_GAS,2020,43.24910000000
0,BajaCalif,2045,BajaCalif,CC_GAS,2020,42.23990000000
0,BajaCalif,2049,BajaCalif,CC_GAS,2020,8.44800000000
2,BajaCalif,2020,BajaCalif,GEOTH,2020,36.25690000000
2,BajaCalif,2025,BajaCalif,GEOTH,2020,36.25690000000
3,BajaCalif,2020,BajaCalif,OC_GAS,2020,38.57290000000
3,BajaCalif,2025,BajaCalif,OC_GAS,2020,38.57290000000
3,BajaCalif,2030,BajaCalif,OC_GAS,2020,16.81310000000
3,BajaCalif,2035,BajaCalif,OC_GAS,2020,16.81310000000
3,BajaCalif,2040,BajaCalif,OC_GAS,2020,16.81310000000
3,BajaCalif,2044,BajaCalif,OC_GAS,2020,6.93500000000
3,BajaCalif,2045,BajaCalif,OC_GAS,2020,4.46550000000
3,BajaCalif,2049,BajaCalif,OC_GAS,2020,0.89310000000
4,BajaCalif,2020,BajaCalif,OC_OIL,2020,6.44970000000
4,BajaCalif,2025,BajaCalif,OC_OIL,2020,6.44970000000
4,BajaCalif,2030,BajaCalif,OC_OIL,2020,0.80920000000
4,BajaCalif,2035,BajaCalif,OC_OIL,2020,0.21000000000
6,BajaCalif,2020,BajaCalif,ON_WIND,2020,12.36210000000
6,BajaCalif,2025,BajaCalif,ON_WIND,2020,12.36210000000
6,BajaCalif,2030,BajaCalif,ON_WIND,2020,12.36210000000
6,BajaCalif,2035,BajaCalif,ON_WIND,2020,11.73140000000
6,BajaCalif,2040,BajaCalif,ON_WIND,2020,11.73140000000
6,BajaCalif,2044,BajaCalif,ON_WIND,2020,2.34630000000
7,BajaCalif,2020,BajaCalif,PV_GND,2020,0.06560000000
